8:02 AM - 1 Dec 2015|Bungy Jumping Go or No http ow ly ViGt5 #TravelTuesday @how2travelers pic twitter com WW4GO6MTrh 
2:24 PM - 30 Nov 2015|Missing my girl @alyssabakertv today- always love having a GNO with her Dress @marciano @ https www instagram com p -uaog3gSXU 
11:01 PM - 29 Nov 2015|#SelfieSunday Snowman Edition https instagram com p -suEiOgSXE 
4:35 PM - 29 Nov 2015|Happy birthday to my two favorite travel buddies @RachelRoams and Jennifer from @LATravelMag 
2:14 PM - 29 Nov 2015|Do I have Amazing Hair or Hot Mess Hair in this pic My friend and I need help settling this argument #GirlProblems pic twitter com Q1S5Tqeglf 
1:10 PM - 28 Nov 2015|My idea of heaven- @sprinkles cupcakes that I overdosed on @TheMcCordList Top Ten event #TheMcCordList pic twitter com ZJEeu654Tb 
12:04 PM - 28 Nov 2015|Working off that Thanksgiving dinner with a little walk Oh who am I kidding- just taking a stroll https instagram com p -n1ZOtgSV1 
11:57 AM - 27 Nov 2015|Fall is the most beautiful season of all- make the most of it http ow ly Var9c @HuffPost #FallTravel pic twitter com WVhAILc26k 
9:11 AM - 27 Nov 2015|I had chocolate milk for breakfast like I am 5 years old It was delicious Now I'm off to play with coloring books 
5:23 PM - 26 Nov 2015|Happy Thanksgiving With everything that's happened this year this holiday means more to me than https instagram com p -j8JW2gSRn 
12:54 PM - 26 Nov 2015|Happy Thanksgiving Sending you much love wine and stuffing today pic twitter com OokWtEAgJ4 
3:22 PM - 25 Nov 2015|Trading for En route to Chicago for #Thanksgiving 
7:27 PM - 24 Nov 2015|I have high expectations for tonight pic twitter com 0ylHrtkVMk 
3:50 PM - 24 Nov 2015|Pumped to start my new workout routine #Fitspiration pic twitter com DQiFTSXMuy 
9:33 AM - 24 Nov 2015|Travel Tip - 5 Best Travel Apps http ow ly V1RK7 #TravelTuesday pic twitter com AtG2COWWKJ 
3:00 PM - 23 Nov 2015|One eye with lashes- one eye without-- can you tell pic twitter com 3sbVCsjYNv 
4:01 PM - 22 Nov 2015|#SelfieSunday at @beverlystyle -And yes being at a salon makes me this ridiculously happy @ Brighton https instagram com p -Zld1NASS_ 
