6:10 AM - 30 Nov 2015|Please RT my #LRT it's for a good reason 
9:13 AM - 29 Nov 2015|Tell me what you think about the video 
9:11 AM - 29 Nov 2015|Check out my video about Lionel Messi #Lionel #Messi #Skills #Goals #Assist #FCB #Barcelona http youtu be 0_vkRQ9tGM0 
12:33 AM - 29 Nov 2015|Lionel Messi is in my new video go check it out #Lionel #Messi #Skills #Goals #Assists #FCB #Barcelona http youtu be 0_vkRQ9tGM0 
7:33 PM - 27 Nov 2015|Who would you want me to do a video about 
11:00 PM - 22 Nov 2015|Check out this video about Neymar it really is the best #Neymar #Skills #Assists #Goals #FCBarcelona #FCB http youtu be nekvrfT3UaE 
11:03 PM - 14 Nov 2015|Mesut Ozil is the best check this out #Mesut #Ozil #Skills #Goals #Assists #Arsenal http youtu be 7-xwDk9AYls 
9:19 AM - 12 Nov 2015|Check out my new video about Marco Reus #Marco #Reus #Skills #Goals #Assists #Borussia #Dortmund http youtu be ENOmx5KVzgU 
11:50 PM - 11 Nov 2015|Hey check out and enjoy my new video about Marco Reus #Marco #Reus #Skills #Goals #Assists #Borussia #Dortmund http youtu be ENOmx5KVzgU 
10:37 PM - 11 Nov 2015|A new video will be out later today 
9:41 PM - 10 Nov 2015|Next video will be out soon meanwhile check this one #Mesut #Ozil #Skills #Goals #Assists #Arsenal #ArsenalFC http youtu be 7-xwDk9AYls 
9:46 PM - 8 Nov 2015|Another assist from him yesterday check this out #Mesut #Ozil #Skills #Goals #Assists #Arsenal http youtu be 7-xwDk9AYls 
6:42 PM - 5 Nov 2015|Go check this one #Mesut #Ozil #Skills #Goals #Assists #Arsenal http youtu be 7-xwDk9AYls 
3:49 PM - 4 Nov 2015|Horror Night for Arsenal 
4:53 PM - 3 Nov 2015|Don't forget to check out this one #Mesut #Ozil #Skills #Goals #Assists #Arsenal http youtu be 7-xwDk9AYls 
1:50 PM - 3 Nov 2015|Special Game tomorrow as Mesut Ozil is check out this video #Mesut #Ozil #Skills #Goals #Assists #Arsenal http youtu be 7-xwDk9AYls 
10:03 PM - 2 Nov 2015|Will Ozil be important against Bayern Make sure by watching this #Mesut #Ozil #Skills #Goals #Assists #Arsenal http youtu be 7-xwDk9AYls 
2:56 PM - 2 Nov 2015|My last video is out go check it out and enjoy #Mesut #Ozil #Skills #Goals #Assists #Arsenal http youtu be 7-xwDk9AYls 
6:10 AM - 2 Nov 2015|Check out Mesut Ozil skills with this video #Mesut #Ozil #Skills #Goals #Assists #Arsenal http youtu be 7-xwDk9AYls 
10:28 PM - 1 Nov 2015|Mesut Ozil is the main man in my new video Enjoy #Mesut #Ozil #Skills #Goals #Assists #Arsenal http youtu be 7-xwDk9AYls 
6:17 PM - 1 Nov 2015|New video about Mesut Ozil Enjoy #Mesut #Ozil #Skills #Goals #Assists http youtu be 7-xwDk9AYls 
5:54 PM - 1 Nov 2015|New video in a few seconds 
3:40 PM - 31 Oct 2015|Here's Neymar skills video enjoy it #Skills #Goals #Assists http youtu be nekvrfT3UaE 
3:36 PM - 31 Oct 2015|New video will soon be out don't forget to check out my channel before that 
6:07 PM - 21 Oct 2015|Neymar' video seems to be the one you like the most don't hold it and click the link #Neymar #Skills #Goals http youtu be nekvrfT3UaE 
9:49 AM - 18 Oct 2015|Check out my new video about Zlatan Ibrahimovic you'll love it Don't forget to like and to share #Zlatan #Skills http youtu be E-JYhLXE9ZU 
10:25 PM - 17 Oct 2015|Zlatan Ibrahimovic - Skills Goals Assists New video about Zlatan go check it out #Zlatan #Ibra #Skills http youtu be E-JYhLXE9ZU 
10:31 AM - 17 Oct 2015|Neymar - Skills Goals Assists Please look at it #Neymar #Skills #Goals #Assists #Football #Soccer http youtu be nekvrfT3UaE 
