11:42 AM - 22 Nov 2015|A huge congrats to both the @cuse men's cross country team and the women's field hockey team for winning National Championships 
3:41 PM - 15 Nov 2015|Welcome to the #SUsnowflakeball 
11:34 PM - 31 Oct 2015|Happy Daylights Savings everyone Don't forget to turn your clocks back 1 hour 
2:20 PM - 25 Oct 2015|As #SURemembrance15 Week begins tonight we remember the 270 people who lost their lives in the Pan Am 103 bombing http ow ly TM3sM 
11:54 AM - 24 Oct 2015|Happy Orange Central For those of you attending tonight's show featuring Broad City please be advised that http fb me 2vfV76Uun 
9:41 AM - 20 Oct 2015|Our office got 3rd place in the office decorating competition Kudos to the students who helped #OrangeCentral pic twitter com gNN4r9QpAe 
6:12 PM - 18 Oct 2015|Happy 30th Birthday to our Schine Student Center You have been a wonderful gathering place for the @SyracuseU community 
1:54 PM - 16 Oct 2015|@SyracuseU double rainbow over South Campus pic twitter com ehp0T53jGe 
6:33 PM - 14 Oct 2015|Please note that the Goldstein Student Center is currently locked down #shelterinplace 
6:14 PM - 14 Oct 2015|Please stay inside and follow updates from @SyracuseU #shelterinplace 
5:38 PM - 14 Oct 2015|@SyracuseU students if you never received an Orange Alert via text call and e-mail please update your contact information in MySlice 
5:28 PM - 14 Oct 2015|Orange Alert SPD investigating crime off campus shelter in place Remain in doors don't let anyone in stay out of Oakwood Cemetery report 
6:48 AM - 14 Oct 2015|What are your thoughts http fb me 1Qkdb50W8 
4:26 AM - 14 Oct 2015|People are lining up for @NPHCatSU In justice For All tickets come on down to Goldstein Aud 
6:02 AM - 29 Sep 2015|Thirsty Like Coffee Come celebrate National Coffee Day with a FREE Medium Dark Roast at the Schine Dining http fb me 4PyTYAvaz 
10:12 AM - 24 Sep 2015|For those of you planning to attend tomorrow night's show featuring Kenan Thompson please be advised that http fb me 7rBTg7DLM 
5:39 AM - 22 Sep 2015|What's your #kissCam opinion Keep it Ban it Alter it http fb me 3aRmKJCr5 
8:17 AM - 15 Sep 2015|Back by popular demand Your Student Association is providing free shuttles to Target and Wegmans Tell your Friends pic twitter com atfqFTdX4p 
6:49 AM - 16 Sep 2015|Congrats to all our student employees in the SUMB Share some #CAPS with the world http fb me 38n2hoEbd 
6:28 PM - 12 Sep 2015|Despite some miserable weather Juice Jam is ready to rock Shout out to our student and professional staff for http fb me 1NJIGzFrx 
6:46 AM - 10 Sep 2015|How these colleges are training people to help prevent suicides http cnn it 1LZfcol #WorldSuicidePreventionDay pic twitter com xVE8nbPKG2 
8:11 AM - 9 Sep 2015|Today in Geek History Grace Hopper finds the first actual computer bug in 1945 caused by a moth stuck in Relay #70 pic twitter com zZzznLsjBP 
5:41 AM - 3 Sep 2015|What's your take Will you ask someone to stop http fb me 7r0VejIVh 
5:37 AM - 2 Sep 2015|Well written by one of our one student employees http fb me 1SpjpSKkX 
11:45 AM - 28 Aug 2015|Please note that Parking Services will be at the College Place bus stop Monday and Tuesday from 9am-1pm to answer all your bus questions 
10:25 AM - 28 Aug 2015|If you need help setting your TV up call us at 315-443-2677 or come see us in the lobby of your residence hall #SUWelcome GA 
4:38 PM - 24 Aug 2015|Thank makes me proud We humbly accept http fb me 7Dy7iiRkH 
7:38 AM - 22 Aug 2015|Despite not getting any bonus points team Scarlene was the big winner of the ProStaff round 
7:36 AM - 22 Aug 2015|Just a little hungry hungry hippos to kick off lead training http fb me u6FINQKi 
9:27 AM - 20 Aug 2015|Welcome to Devon and Sarah our new Graduate Assistants Otto can take some getting used to 
8:31 AM - 21 Jul 2015|Event Technical Services is now accepting applications for the Fall semester Apply Today http fb me 6EcuZaMzP 
6:01 AM - 8 Jul 2015|Summer CAPS http fb me 6E3xzg6Cw 
10:38 AM - 24 Jun 2015|Proof that the orange tree in Schine does actually produce oranges http fb me 3VLah5sZj 
9:28 AM - 17 Jun 2015|Interested in working this Fall 2015 Our Reservations Building Operations staff are looking for new members http fb me 1X4oBOkPR 
9:38 AM - 5 Jun 2015|The Quad Movie for tonight Insurgent is being moved to Shemin Aud in Shaffer Art Building due to weather It starts at 8 30pm 
2:59 PM - 29 May 2015|We always love this view http fb me 3WrsINEWJ 
10:53 AM - 28 May 2015|#ThrowbackThursday Juice Jam 2007 http fb me 3axxK6CKc 
6:52 AM - 28 May 2015|Just wanted to let everyone know that while @megtoom is out on vacation we've brought in a temp pic twitter com JjITAP2YkU 
4:20 AM - 14 May 2015|I've got that summer Schine summer Schine sadness Happy summer everyone Schine is one quiet place without you all 
7:00 AM - 10 May 2015|Congratulations to all our #SUGrad15 students We hope we have helped to prepare you to move forward We will miss you all 
7:09 AM - 8 May 2015|Don't forget http fb me 4XHn5apG8 
6:34 AM - 5 May 2015|Thanks to all our amazing student staff for another great year Congrats to those who are graduating we will http fb me 6noScvpAL 
12:37 PM - 4 May 2015|Happy Monday yall Schine Goldstein will be open late for you tonight Tues 5 5 until 2 30 am Complimentary brain food donuts coffee 
2:26 PM - 2 May 2015|We're takin it back to the 90s tonight for Pancake Breakfast at Schine Stop by tonight anytime from 10 pm - 1 am pic twitter com K3k5ZS8sdW 
7:40 AM - 1 May 2015|Do you like free food inflatable fun puppies massages Visit Schine tomorrow Sat night from 10 pm - 1 am for Pancake Breakfast 
10:47 AM - 24 Apr 2015|Come on down to #Mayfest you could save 15 or more http moby to 7ja4xy 
9:36 AM - 24 Apr 2015|Almost time for Snowfest #Mayfest pic twitter com NKISBxDeha 
4:08 AM - 24 Apr 2015|Setting up for Snowfest #Mayfest pic twitter com EtExRirvNl 
8:26 PM - 8 Apr 2015|Reservations Building Operations and Event Technical Services are now hiring for Fall 2015 RBO http fb me 3dPXtv35P 
9:13 AM - 2 Apr 2015|Event Technical Services and Reservations Building Operations are now hiring for Fall 2015 If interested http fb me 6wWIXkaCa 
10:16 AM - 1 Apr 2015|If you are attending tomorrow's concert at the South Campus Skybarn featuring Micheal Christmas and Sweater Beats http fb me 291crZ5fV 
7:55 AM - 1 Apr 2015|Event Technical Services is now hiring for Fall 2015 If interested please complete the online application http fb me 7cQWSR9VS 
10:03 AM - 11 Mar 2015|The streak continues Thanks food services #CreativeMenuExpo http fb me 3E8TJ8fQE 
3:58 PM - 2 Mar 2015|Shout out to #CAPS alumni @viva_la_bcj with a great rendition of the Star Spangled Banner at the @CarrierDome44 tonight 
1:47 PM - 20 Feb 2015|Our last full staff photo for awhile We'll miss you Becky Good luck http fb me 75iT8ttpq 
9:57 AM - 11 Feb 2015|Calling #Cuse students staff Be a hero Give blood today from 1-9pm at the Goldstein Auditorium #givebloodatSU 
6:55 AM - 6 Feb 2015|Come to Schine on Wednesday from 1-9pm and participate in the Blood Battle against Boston College pic twitter com STzNZNPzU4 
6:53 AM - 3 Feb 2015|Welcome to the @CareerSU Spring Fair #SUCareerFair 
7:32 AM - 31 Jan 2015|Lesson for life Learn everything you can from your current job boss colleagues I never appreciated mentoring until I was on my own 
3:03 PM - 30 Jan 2015|Due to unforeseen circumstances the NALFO concert tonight featuring Toby Love will begin at 8pm and not 7pm as http fb me 3TncsBa78 
10:03 AM - 30 Jan 2015|Support CAPS alumni RT @wrappedinRED MY COMIC IS FOR SALE AT A RLY BIG ART BOOK FAIR IN LA THIS WEEKEND GO BUY IT 3 http womenscenterforcreativework com events wccw-at-laabf-2015 
8:33 AM - 27 Jan 2015|Check out our new furniture in the Panasci lounge 
9:05 AM - 20 Jan 2015|Our office is hiring two graduate assistants for the 2015-2016 academic year Please view the link to the http fb me 3bwIgb9gh 
11:50 AM - 15 Jan 2015|The Midnight Movies series kicks-off this weekend Catch Gone Girl on Friday Dumb and Dumber To on Saturday http ow ly HmZWV 
9:22 AM - 14 Jan 2015|Come check out the Winter Student Involvement Fair in the Goldstein Auditorium It is happening until 3pm today pic twitter com pV1mImVsur 
7:39 AM - 8 Jan 2015|Looking for an on campus job this Spring 2015 semester Our Reservations and Building Operations unit is looking http fb me 2hkhSuMeY 
10:16 AM - 22 Dec 2014|The Schine and Goldstein Student Centers will be closed 12 24-1 4 15 You can find our hours on our main webpage http scps syr edu 
10:53 AM - 17 Dec 2014|Happy Holidays from all of us here at SCPS We hope you have a fun and relaxing break and we look forward to http fb me 1oY59PFqj 
10:50 AM - 15 Dec 2014|Looking for an on campus job this Spring 2015 semester Our Reservations and Building Operations unit is looking http fb me 6lqsbKFrm 
7:12 PM - 6 Dec 2014|Come down to Schine now till 1am for free pancakes massages therapy dogs and inflatables 
1:55 PM - 5 Dec 2014|The last Midnight Movie of the semester is tonight Stop by HBC Gifford to relax from the stress of finals and http fb me 3oWbqTbqZ 
1:44 PM - 5 Dec 2014|Turn down for what How about you turn up for the Alpha Phi Alpha Hope Benefit Concert It's gonna be hot http fb me 3rts4RGMo 
11:38 AM - 5 Dec 2014|We're hiring for the Spring 2015 semester Our Reservations and Building Operations unit is looking for motivated http fb me 75q8jX9Vg 
12:37 PM - 4 Dec 2014|Looking for some stress relief from finals and papers Come over to Schine from 10pm-1am on Saturday night We http fb me 2H2qDaGyZ 
11:39 AM - 1 Dec 2014|As you prepare your final papers and study for final exams the student centers are the place to be We will be http fb me 7faYmNts2 
10:18 AM - 14 Nov 2014|It's beginning to look a lot like November #syracuse #halloflanguages #su #cny #snowacuse http instagram com p vY8vweBW2n 
12:35 PM - 13 Nov 2014|Hey come check out the movies Wish I Was Here on Friday night and Neighbors on Saturday night at midnight in http fb me 3gkavXSVu 
8:06 AM - 6 Nov 2014|Hey the next round of midnight movies is this Friday and Saturday night Friday's movie A Most Wanted Man will http fb me 2uAaJyHYO 
4:34 PM - 31 Oct 2014|Guarding the doors before we open family weekend http fb me 3sVt9wfdO 
1:17 PM - 31 Oct 2014|Don't forget to check out the Midnight Movie Series tonight at HBC Gifford http fb me 3EtzilIZ1 
9:59 AM - 31 Oct 2014|The first place team Great all around effort http fb me 711PuHwFN 
9:41 AM - 31 Oct 2014|Happy Halloween from all of us at SCPS http fb me 3GeuVFGw3 
8:43 AM - 31 Oct 2014|Our team getting their pumpkin carved http fb me 43UmER5aa 
7:57 AM - 29 Oct 2014|Looking for something to do late at night on campus Come by HBC's Gifford Auditorium on Friday and Saturday http fb me 2CS4N81PK 
7:53 AM - 29 Oct 2014|Check out the Midnight Movies Series starting Friday in HBC Gifford Auditorium Free entry popcorn and soda pic twitter com VOlZPWTxgy 
6:01 AM - 24 Oct 2014|We sure hope you're already in line for your @KevinHart4real tickets pic twitter com 3yK2VcIfnd 
1:00 PM - 22 Oct 2014|Hey @SU_OMA Do you want to come carve some pumpkins with us in the atrium next week Everyone is doing it #Schinoween 
12:56 PM - 22 Oct 2014|Hey @CareerSU Do you want to come carve some pumpkins with us in the atrium next week Everyone is doing it #Schinoween 
1:03 PM - 15 Oct 2014|Hi Everyone If you plan on going to tomorrow night's NPHC Concert Featuring Migos and K CAMP at the Goldstein http fb me 3hN8iTWzh 
1:11 PM - 7 Oct 2014|Come by and see this exhibit in the Schine Student Center http fb me 1yn4DYMue 
8:31 AM - 30 Sep 2014|Our own Daniella Rasho scanning tickets for the Newhouse Oprah event yesterday http fb me 73R91gMdu 
6:25 PM - 28 Sep 2014|One of our ETS students Malik McPherson made it on the Humans of Syracuse University page http fb me 3j4fYgUxR 
5:46 AM - 10 Sep 2014|People are lining up for @NewhouseSU dedication tickets already pic twitter com J11HAjVNoA 
8:24 AM - 7 Sep 2014|Happy Juice Jam Please remember you MUST have a ticket AND SUID for entry There are absolutely no exceptions Have a great day 
8:41 AM - 3 Sep 2014|I posted 112 photos on Facebook in the album 2014 SCPS Fall Orientation http fb me 6QB6JIkda 
10:51 AM - 1 Sep 2014|Hi Everyone Have you been waiting years for SCPS to jump on the Instragram bandwagon Well you're in luck http fb me 6OBRqECuf 
5:25 PM - 23 Aug 2014|Celebrating another successful opening of school http fb me 3LYilS60a 
2:39 PM - 23 Aug 2014|ETS living it up at Citrus In The City http fb me 3fqH5cb1S 
7:05 AM - 21 Aug 2014|New Student Move-In has been temporarily halted until further notice due to weather We appreciate your patience #SUWelcome 
6:09 AM - 19 Aug 2014|Back to work at @SyracuseSCPS for an exciting orientation and year to come #Schinannigans 
7:33 AM - 19 Aug 2014|@SyracuseSCPS is now on Instsgram Follow us there at syracuse_scps #schinecamp #caps4lyfe 
10:36 AM - 19 Aug 2014|@SyracuseSCPS so stoked the new #CAPS video taught me how to properly CAPS through life 
6:48 AM - 19 Aug 2014|FOLLOW ME #SchineCamp 
4:40 PM - 16 Aug 2014|The SCPS staff accepts the ALS challenge You have 24 hours to do this challenge or donate 100 Game on Chancellor http fb me 1hrjC2AuS 
4:37 PM - 16 Aug 2014|The SCPS ALS challenge accepted Game on Chancellor http fb me 3uT5E35nh 
4:35 PM - 16 Aug 2014|the SCPS ALS challenge accepted http fb me 2dneMsFmC 
3:29 PM - 16 Aug 2014|Big thanks to SU Recreation Services for showing us the ropes today 
1:24 PM - 11 Aug 2014|Syracuse students and friends as we gear up to get ready for the beginning of the school year there are many http fb me 1fzttV1AP 
1:56 PM - 7 Aug 2014|Schine is closed for the evening but will reopen in the morning Power is being restored across campus as we tweet 
1:07 PM - 7 Aug 2014|Power outage affecting Syracuse University Campus http news syr edu power-outage-on-campus-83575 
1:05 PM - 7 Aug 2014|The Schine Student Center is currently experiencing a power outage We will be closed for the remainder of http fb me 6FrWGEno5 
12:28 PM - 7 Aug 2014|Newhouse is included in the power outage 
12:25 PM - 7 Aug 2014|We are currently experiencing a power outage at the Schine student center Details to follow 
5:20 AM - 30 Jul 2014|Orange After Dark FALL 2014 http fb me 1hDfab6O4 
1:05 PM - 30 Jun 2014|Hours at Goldstein Student Center will be extended Tuesday due to a heat advisory More details cooling locations http ow ly yCv63 
7:11 AM - 26 Jun 2014|With regards to the water main break we are working with changing situation Please stay tuned for updates http fb me 3jMk9EEdG 
6:53 AM - 26 Jun 2014|Due to the water main break on South Campus we will be closing the Goldstein Student Center for health and safety http fb me 3FkXr98D7 
5:58 AM - 26 Jun 2014|We are currently experiencing a water main break at the Goldstein Student Center on South Campus Laundry http fb me 3C6fL60bm 
7:52 PM - 21 Jun 2014|Looks like @BookstoreSU will be staying in Schine after all http m localsyr com display 1112 story 2afbeccf797e34047fbb47c4316649a4 
9:28 AM - 20 Jun 2014|Hey #Schine let's see if we can keep it looking like this #NewFridgeFriday pic twitter com dLcf7c84Gf 
7:27 AM - 18 Jun 2014|Former SCPS staff member @Latinegro is running the @workingorange account today Give him a follow 
7:14 AM - 18 Jun 2014|I worked at @SyracuseSCPS before they were called that If u know @bmyulelog then you know she talks about how she knew me when I was a kid 
11:43 AM - 27 May 2014|Sticking around for the summer and looking for fun stuff to do Summer in Syracuse has a lot to offer so get out http fb me 30Zk9Ji1i 
7:45 PM - 25 May 2014|Great late game effort by @SyracuseLax but it wasn't to be Keep you heads high it was another spectacular season #OrangeNation 
6:34 PM - 25 May 2014|Tough first half the @SyracuseLax Heads high ladies Own the second half #OrangeNation 
5:30 PM - 25 May 2014|Game time #Leggoooooo #OrangeNation 
4:47 PM - 25 May 2014|45 minutes to game time ESPNU GO ORANGE #OrangeNation 
12:41 PM - 25 May 2014|Don't forget the @SyracuseLax women's lacrosse team plays for the national championship tonight at 8 30p on ESPNU #OrangeNation 
4:36 AM - 25 May 2014|Don't forget to watch the @SyracuseLax women's lacrosse team play for the national championship tonight at 8 30p on ESPNU #OrangeNation 
7:20 AM - 15 May 2014|Check out our summer hours for Schine and Goldstein Student Centers Schine http fb me 1fy13EKWL 
5:20 AM - 15 May 2014|Looks like the future of Schine starts today http fb me 1lCr67PEn 
6:56 AM - 12 May 2014|Check out the summer bus schedule for south campus http fb me 3lxk8MgMw 
6:19 PM - 8 May 2014|SCPS hopes to see YOU at Senior Celebration Come on down to the Oncenter http fb me 16qKZdM5T 
3:07 PM - 3 May 2014|End of the year banquet at Dave and Buster's http fb me 32VJEtJJy 
12:02 PM - 2 May 2014|BE Wise Peer Educators http fb me 2T3gMYwfs 
6:23 AM - 2 May 2014|Best Boss Ever http fb me 6xyNwWgOi 
8:18 PM - 23 Apr 2014|I think I'll miss working for @SyracuseSCPS forever 
4:59 PM - 28 Apr 2014|The best part about live TV is that you're guaranteed to start on time pic twitter com ZiW5fNidyw 
2:05 PM - 28 Apr 2014|Some last minute preparations for the @Cuse awards pic twitter com RA0fouHNpg 
7:08 AM - 25 Apr 2014|Who is ready for Mayfest http fb me 1shrgKFh2 
10:32 AM - 18 Apr 2014|Bridget and Meghan are helping to wrap up Student Employee Appreciation Week http fb me 6wNgoCqPr 
8:34 PM - 16 Apr 2014|Event Technical Services is now hiring for Fall 2014 Check it out https www sujobopps com postings 53958 http fb me D3k6xVL6 
1:18 PM - 15 Apr 2014|Forms are back up #CAPS 
1:04 PM - 15 Apr 2014|All of our forms are currently down Please bear with us while we sort this out 
6:33 AM - 11 Apr 2014|Our new @SyracuseU students being welcomed in the Goldstein Auditorium this morning pic twitter com rvFnHH7Run 
11:46 AM - 22 Mar 2014|Our students definitely love working here http fb me 26CkesJey 
6:05 AM - 22 Mar 2014|Conference room #CAPS for #SES2014 http fb me 6Kexc53Jo 
6:39 AM - 21 Mar 2014|#SES2014 selfie pic twitter com ZbY6xNJeJD 
6:37 AM - 21 Mar 2014|#SES2014 is in the house 
11:52 AM - 20 Mar 2014|The students are ready for the #Cuse game in Schine Dining pic twitter com 4ep50sBd0S 
10:29 AM - 19 Mar 2014|They're selling Girl Scout cookies in the Schine Atrium You know you want to 
2:52 PM - 6 Mar 2014|Don't forget to Spring ahead this weekend #DST 
6:19 PM - 5 Mar 2014|CAPS http fb me 6rQkomwk6 
6:20 AM - 24 Feb 2014|Seeing the world helps you realize Syracuse is the best place to be Right Am I right http fb me 29bOoU6Kz 
7:39 PM - 18 Feb 2014|Important Announcement for Caz Limo Nob Hill James Street East Campus Customers http Parking syr edu Parking display cfm content_ID 23 2BH1 2A 0A 
2:46 PM - 18 Feb 2014|@Latinegro Once said SCPS is the best job you'll have Well from a girl that's doing her 35hr week internship capstone you were right 
6:01 AM - 18 Feb 2014|Help be a part of keeping campus awesome http fb me 3OB6LErvy 
9:37 AM - 17 Feb 2014|Don't forget to stop by Panasci Lounge for a snow globe picture as part of Winter Carnival http fb me 6ieuDRYMQ 
7:26 AM - 17 Feb 2014|Who is ready for Winter Carnival http fb me TMsiyv8o 
12:18 PM - 13 Feb 2014|Living SU Presents Can It Food Drive at Syracuse University 2 15 2014 http fb me 1i8SccOub 
7:36 AM - 11 Feb 2014|Don't forget today is the #SUCareerFair 
1:22 PM - 5 Feb 2014|We are hiring Check out the link for this super awesome student position http fb me 6v0OCIdNY 
11:37 AM - 5 Feb 2014|Classes may be cancelled for the rest of the day but the Schine Goldstein Student Centers dining centers http fb me 1bcsHkrOm 
5:59 AM - 28 Jan 2014|Graduating this year Need to file your diploma request Then this video is for you https www youtube com watch v tArM55_NOeE list PL676E81C7106E0E33 feature c4-overview-vl 
9:29 AM - 27 Jan 2014|Let's #BeatWake first RT @SyracuseU Are you ready for the Duke on Saturday Show us your excitement using #BeatDuke 
7:57 PM - 23 Jan 2014|Thanks for keeping it real tonight RT @deee_nick @SyracuseSCPS False alarm power has gone out again You don't say Lying Ass 
6:41 PM - 23 Jan 2014|National Grid reporting power has been restored to normal in all neighborhoods Stay warm everyone 
6:37 PM - 23 Jan 2014|Power has been restored on South Campus and SHOULD hold according to SU Fixit Parts of the East Campus http fb me 6p4tMtvfp 
6:01 PM - 23 Jan 2014|National grid has updated the restoration time to 9 45pm Power and heat remain on at the Schine and Goldstein Student Centers 
5:56 PM - 23 Jan 2014|False alarm power has gone out again Power will cut in and out as National Grid continues to work out the http fb me 3eqhNHQN6 
5:45 PM - 23 Jan 2014|Power has been restored on South Campus 
4:47 PM - 23 Jan 2014|National Grid is estimating an 8 45p restoration time We're prepared to stay open all night if necessary We http fb me 6AeKeknCo 
4:04 PM - 23 Jan 2014|Looking like 8 45p for power restoration but don't hold your breath We're ready to go all night if necessary #PolarVortexBlackout2K14 
3:57 PM - 23 Jan 2014|According to National Grid the #CuseBlackout is affecting 3 370 people and should be restored around 8 45 p m pic twitter com v6rCZVYFpK 
3:47 PM - 23 Jan 2014|Syracuse police department A transformer blew and went out on Comstock and Jamesville Ave is related to the #cuseblackout @dailyorange 
3:37 PM - 23 Jan 2014|Lose power We are up and running at both the Goldstein and Schine Student Centers Come stay warm #polarvortexblackout2k14 
3:36 PM - 23 Jan 2014|Closer to main campus Schine has power too #PolarVortexBlackout2K14 
3:35 PM - 23 Jan 2014|#PolarVortexBlackout2K14 RT @SU_South Goldstein is using a back up generator and has power 
3:34 PM - 23 Jan 2014|Goldstein is using a back up generator and has power If you need to you can head over there to charge phones etc 
3:24 PM - 23 Jan 2014|National Grid outage map shows around 7 000 without power in neighborhoods surrounding SU pic twitter com UBV6pqNKHC 
3:29 PM - 23 Jan 2014|@SyracuseSCPS Stop trying to make '#PolarVortexBlackout2k14' happen It's not going to happen 
3:27 PM - 23 Jan 2014|Looking for a place to keep warm during #PolarVortexBlackout2K14 Come on up to Goldstein Student Center and cuddle up with CAPS 
5:15 AM - 19 Jan 2014|Happy Spring Orientation Day Welcome to our newly hired student employees We are happy to have you aboard 
1:04 PM - 14 Jan 2014|BE Wise Peer Educators http fb me 1a46Zh0X6 
6:32 AM - 9 Jan 2014|Can't wait to have our students back tomorrow We hope you had a fun and relaxing break We're still operating on http fb me 6zHI8VB0m 
2:58 PM - 14 Dec 2013|CAPS in Action at the Stessbuster Pancake Breakfast http fb me 6j4xNXkf3 
6:45 PM - 7 Dec 2013|Come on down to Schine pic twitter com yol5dDzwlY 
6:01 PM - 7 Dec 2013|Come on down to Schine for some FREE pancakes massages and more Your SUID is all you need to get in Hope to http fb me 13RFnVRUT 
5:08 PM - 3 Dec 2013|CAPS is in the house http fb me 2H7m6UiZ2 
10:22 AM - 27 Nov 2013|We are sad that Jenn has left us but we now have an opening in our office Please see the job posting below http fb me 27n1gajZm 
12:19 PM - 22 Nov 2013|We at SCPS would like to take a moment to recognize Jennifer Stier and thank her for all she's done for our http fb me 2yVhZuzl1 
3:11 PM - 16 Nov 2013|No better place to do it RT @margaretglin About to cover my third daily orange story in the past 48 hours @ Schine - @syracusescps 
2:07 PM - 13 Nov 2013|Hard to believe Thanksgiving is just around the corner Anyone traveling anywhere fun 
9:36 AM - 5 Nov 2013|It's a Student It's a Fan It's Orange Man http fb me 2xzn8umoh 
12:38 PM - 31 Oct 2013|I posted a new photo to Facebook http fb me 37id9pdz4 
12:38 PM - 31 Oct 2013|I posted a new photo to Facebook http fb me 2L11xMlMJ 
12:38 PM - 31 Oct 2013|I posted a new photo to Facebook http fb me 2xvwHaswc 
12:38 PM - 31 Oct 2013|I posted a new photo to Facebook http fb me 6qjyJOLnN 
12:38 PM - 31 Oct 2013|I posted a new photo to Facebook http fb me 2UE5FLMZa 
12:38 PM - 31 Oct 2013|I posted a new photo to Facebook http fb me 2TSU4H2F1 
12:38 PM - 31 Oct 2013|I posted a new photo to Facebook http fb me YVQcRfqY 
12:38 PM - 31 Oct 2013|I posted a new photo to Facebook http fb me Nt8hrU7b 
12:38 PM - 31 Oct 2013|I posted a new photo to Facebook http fb me 6z5O2LWEY 
12:38 PM - 31 Oct 2013|I posted a new photo to Facebook http fb me 31nLtg99p 
12:38 PM - 31 Oct 2013|I posted a new photo to Facebook http fb me 1GcvKzg4G 
12:38 PM - 31 Oct 2013|Great contest this year Congrats to Schine Dining for taking First Prize this year Thank you to all participants 
10:26 AM - 31 Oct 2013|The SCPS pumpkin Kudos to @theryancampbell Alex and Elda for their efforts pic twitter com fR1UU5MrbO 
6:59 AM - 31 Oct 2013|Happy Halloween SU Join us for the annual SCPS Pumpkin Carving Contest today at noon in the Schine atrium 
10:33 AM - 16 Oct 2013|SCPS getting in the Halloween spirit http fb me 1RzMGddrQ 
10:21 AM - 16 Oct 2013|Check out our new staff photo pic twitter com odnf5lea9a 
6:35 PM - 5 Oct 2013|The Cuse carnival is happening right now in Schine Free food video games inflatables and karaoke @ http instagram com p fG5CMLSHtW 
11:13 AM - 26 Sep 2013|What does the Orange say http fb me 2P3S3pz4p 
7:13 AM - 24 Sep 2013|SCPS had a great time at Beak Skiff Apple Farm this weekend http fb me Pds5zXti 
7:05 AM - 21 Sep 2013|What a great way to honor Rob Edson This is where he stood for every game #RiseUpForRob #OrangeNation pic twitter com mYqI9Xla4W 
6:03 AM - 19 Sep 2013|Three of them work for us Congrats to Allie Lauren and Anthony for spreading the #CAPS http fb me 24jspcS0R 
8:52 AM - 18 Sep 2013|Check out this article in the Daily Orange from SCPS employee Bobby O'Brien http fb me 2mSfKZTUy 
7:31 AM - 17 Sep 2013|Love #CUSE swag If @sugenorange reaches 1K followers today one random follower will win THIS pic twitter com atdPb8Y3hu 
5:37 AM - 13 Sep 2013|Happy Friday the 13th everyone 
9:16 AM - 10 Sep 2013|@SU_ITS Going to the game this weekend in the Dome Please turn off your personal wireless hotspots- your fellow fans will appreciate it 
