10:07 AM - 13 Nov 2013|We all have that friend that will draw a penis every chance they get 
7:52 AM - 12 Aug 2013|Be awesome today 
2:38 AM - 3 Jul 2013|@MensHumor The coolest thing about being a dog must be the ability to use your own ass for a pillow 
8:02 PM - 2 Jul 2013|Time for something that starts with P and ends in orn that's right Popcorn 
11:23 AM - 31 Dec 2012|Happy new year 
8:05 PM - 27 Nov 2012|BEST PICK UP LINE Your clothes are making me extremely uncomfortable Please take them off 
8:20 PM - 1 Nov 2012|BEST PICK UP LINE Wanna have sex Breathe for yes lick your elbow for no 
12:05 PM - 2 Nov 2012|In boring classes I always improve my drawing skills 
6:45 PM - 3 Nov 2012|Why people use Twitter because updating 100 times a day on Facebook is not socially acceptable 
8:37 PM - 31 Oct 2012|1 RT @AtulChitnis Damn this cyclone Bangalore weather feels like a cold wet sponge I need sunlight 
9:00 AM - 6 Jul 2012|Men have feelings too I FEEEEL horny and hungry all the time 
7:00 PM - 6 Jul 2012|Many things can be preserved in alcohol Dignity is not one of them #FridayNight 
4:00 PM - 14 Jun 2012|Don't you wish you could just google anything Like where's the remote Google under the couch 
3:26 AM - 10 Mar 2012|I'm single and you need to be something really special to change that 
8:00 AM - 9 Mar 2012|My room is the cleanest when I am expecting to get laid 
3:07 AM - 7 Mar 2012|#iLoveWhenYou smile and give dat super cute confused look 
9:46 AM - 2 Mar 2012|@keshasuxx if u love simple thg life follow me 
7:29 PM - 28 Feb 2012|@PrInCeSs_ApPy followed Gve me a follow back 
7:24 PM - 28 Feb 2012|Travelling in a 2 day train nonstop is just so pathetic 
8:47 AM - 27 Feb 2012|passed yipee D 
11:40 AM - 12 Feb 2012|@ninadobrev you are a grt actor handsoff to u love u 
11:38 AM - 12 Feb 2012|@KieranStrange means special coz u said twitter valentines guess it would be better as valentine only no plurals 
11:32 AM - 12 Feb 2012|@KieranStrange y not the special one 
11:28 AM - 12 Feb 2012|@KieranStrange vl u be my valentine then 
11:24 AM - 12 Feb 2012|@KieranStrange vl u be my valentine then 
11:23 AM - 12 Feb 2012|@KieranStrange are u alone dis valentine 
11:22 AM - 12 Feb 2012|@ohsoscottish you got grt eyes 
11:20 AM - 12 Feb 2012|@KieranStrange are u alone dis valentine 
7:43 AM - 12 Feb 2012|@ohsoscottish need a follow back 
2:31 AM - 12 Feb 2012|#thingsthatpissmeoffingeneral People who just talk to you when they want something 
11:09 PM - 11 Feb 2012|How can you not know who Whitney Houston is -___- 
1:06 PM - 11 Feb 2012|#iGotNoRespectForYou Fake friends 
10:00 AM - 10 Feb 2012|@RobertsEmma happy birthday dear 
8:51 AM - 10 Feb 2012|@KieranStrange hi dear 
11:07 PM - 9 Feb 2012|If chicks ran the world there'd be no wars only a bunch of jealous countries not talking to each other #Truth 
5:30 PM - 7 Feb 2012|I'd rather buy condoms than huggies 
7:11 AM - 28 Jan 2012|@KitWatson I told you to stay out of it but you keep interfering dat made me pissed On the topic 
4:30 AM - 25 Jan 2012|Sex is like high school you miss a period you're in trouble 
6:30 AM - 20 Jan 2012|Ladies if you take photos of yourself in the mirror there is pretty big chance you also have a lower back tattoo 
1:00 PM - 24 Jan 2012|If you don't party until you hear birds chirping outside you're doing it wrong 
1:28 PM - 24 Jan 2012|@KitWatson k i wnt talk wid her at all happy 
11:08 AM - 24 Jan 2012|Don't play with a girl's heart she only has one Just play with her tits she's got two of those #tittytuesday 
7:35 PM - 23 Jan 2012|Hey audi- make your wheels less complicated to remove in case someone gets a flat tire 
10:30 AM - 24 Jan 2012|@Brookelynbeats you look like barbie According to my sis 
10:09 AM - 22 Jan 2012|@EshaanGhosh those r called signature moves 
10:03 AM - 22 Jan 2012|@EshaanGhosh Weird thgs a compliment adjective to unfortunate 
9:58 AM - 22 Jan 2012|When you #HaveSex its basically a way for you to let your wild side come out strange but true Its kinda warewolf thg 
9:55 AM - 22 Jan 2012|@EshaanGhosh sexually unfortunate Incredible India 
9:47 AM - 22 Jan 2012|@EshaanGhosh same thg happened to us 
8:27 AM - 22 Jan 2012|According to your parents If you do not get into an IIT or NIT means you have committed one of the biggest sins 
5:30 AM - 22 Jan 2012|@K_Cruella can get a follow back 
5:29 AM - 22 Jan 2012|Don't #havesex through phone you could get hearing aids 
11:56 PM - 21 Jan 2012|#canSomeoneExplaintoMeWhy your closest of friends become strangers in the blink of an eye 
11:41 PM - 21 Jan 2012|@KitWatson plz stay out of dis 
11:20 PM - 21 Jan 2012|Give Me Money I will give you Love - Motto of girls having multiple boyfriends 
11:29 PM - 21 Jan 2012|@paulwesley now y is dat mr salvatore 
2:41 PM - 21 Jan 2012|@KieranStrange find out tym for loved ones atleast in ur busy scheduled 
8:29 PM - 20 Jan 2012|@KieranStrange Try harder to apologise then i vl thk 
2:34 PM - 20 Jan 2012|@KieranStrange forgetting me would have been better dan neglecting me 
1:25 PM - 20 Jan 2012|@KieranStrange hi dear 
12:07 AM - 10 Jan 2012|@KitWatson its not one tym its happened many tym 
12:04 PM - 9 Jan 2012|@KitWatson and y you replying on her behalf 
12:58 AM - 9 Jan 2012|@KieranStrange you aint replying dats y i was pissed chk ur dm 
10:34 AM - 8 Jan 2012|@justinbieber you Really have a god gifted voice born to sing now can i have a follow back p 
10:31 AM - 8 Jan 2012|@KieranStrange i am really pissed at you right now for ignoring your bff 
4:47 AM - 7 Jan 2012|@KieranStrange hey dear wats up Wats todays plan 
10:12 AM - 2 Jan 2012|@Brookelynbeats give me a follow on dis new year #mynewyearwish 
