10:58 PM - 27 Nov 2015|Working on Saturday is something which does not excite but it's work after all 
10:40 PM - 16 Jun 2015|Started the day on a very enthusiastic way 
3:15 AM - 16 Jun 2015|Life has got many good things to enjoy rather than to worry about some of bad things that exists as there is two sides to a coin 
11:26 PM - 15 Jun 2015|World is very selfish and we need to gaurd ourselves against these selfish guys out there and the only way is to avoid them 
11:06 PM - 15 Jun 2015|Moving back to iOS Looks like I can't stay away from ios 
4:29 AM - 3 Apr 2015|We human always think that in a crowd we are the one who is suffering and others have got privilege It's my opinion based on experience 
4:28 AM - 3 Apr 2015|There are something which can only be followed and there is nothing that one can do to change 
10:47 PM - 1 Apr 2015|Searching for new house is always a tough task I am now onto one such task 
9:16 AM - 30 Mar 2015|A very eventful day but travelling is a bit problem 
8:16 AM - 30 Mar 2015|First day of job Great opportunities lies ahead Looking forward to it and hopefully will overcome all challenges 
10:30 AM - 28 Mar 2015|A new phase of my life is going to start need to keep it simple and less cluttered 
11:44 AM - 27 Mar 2015|@KP24 Oi @suliebenn - care to explain the maths here pic twitter com 5ptoc89N4k 
9:04 AM - 24 Mar 2015|Loved today's match and hope India vs Australia also turns out to be a high pitch match with team India triumphing over the arrogant Aussies 
8:28 AM - 24 Mar 2015|Well as the saying goes in today's world happiness for some is sorrow for others It happened in today's semifinal #NZvsSA 
7:03 AM - 24 Mar 2015|from Eden Gardens to Eden Park This what happens when you lose a World Cup semi-final #SAvsNZ #CSW15 pic twitter com vYVx8Zpzje 
6:04 PM - 23 Mar 2015|Waiting at time becomes your only job in the world Why are you doing this to me 
7:30 PM - 18 Mar 2015|Now finally I am convocated It was a great event with rahul Bajaj kamal Nath Prasoon joshi 
5:21 AM - 9 Mar 2015|Dear @ECB_cricket this might not be a great time but as there's room in your schedule fancy a game in Japan on the way home #challenge 
4:43 AM - 9 Mar 2015|The most loyal fans in the world have been given something to savour #Bangladesh 
4:47 AM - 9 Mar 2015|Scotland will be extremely disappointed They'll have to fly economy class now England will take business seats on the flight back home 
4:50 AM - 9 Mar 2015|Amazing sight in Adelaide It's a sea of green and red as fans and players celebrate as one #ENGvBAN https vine co v OEUWnEYWnlY 
4:57 AM - 9 Mar 2015|England have imprisoned themselves in a cell so dark so distant that no fresh light can reach it The world has changed and they don't know 
12:23 AM - 9 Mar 2015|This is the time of war of smartphones Amazing how something which is the best till yesterday is now antique Will move to my #LGG3 
7:40 PM - 7 Mar 2015|I don't know what's happening in life but now I have left it all to the almighty #lifeisbeautiful 
9:09 PM - 5 Mar 2015|#WontGiveItBack scrambled egg 
7:10 PM - 3 Mar 2015|Wonder as to why we exist Is d purpose known or is it to find dese purpose that we spend our life Wht r we supposed to do wdt knwng d same 
6:12 PM - 3 Mar 2015|Early morning walk makes me feel wonder why I was not doing it earlier will try and do it all my life #LifeIsBeautiful 
8:27 PM - 1 Mar 2015|Njoying life at home 
7:53 AM - 18 Feb 2015|Feeling bored that i am thinking of what to tweet 
2:25 AM - 18 Feb 2015|Best thing about capital market is that it can make Fortune and loose Fortune like anything Don't know what holds in it for me 
