10:04 AM - 8 Dec 2015|It's feeling it's new Bootstrap 4 alpha release Find what's new download latest http blog getbootstrap com 2015 12 08 bootstrap-4-alpha-2|209|197
6:22 AM - 7 Dec 2015|Excellent python Flask microframework free tutorial 30 videos https www youtube com watch v WfpFUmV1d0w list PLLjmbh6XPGK4ISY747FUHXEl9lBxre4mM index 1 @RealPython|13|14
8:30 PM - 4 Dec 2015|The OpenMV project #Python-powered machine vision module #HackadayIO http bit ly 1LjwMVt pic twitter com DMSynf8Y3G|67|90
8:07 AM - 7 Dec 2015|Only 85 early bird tickets remaining Register today take advantage super low rate https us pycon org 2016 registration register|17|8
2:01 AM - 6 Dec 2015|#python news CPython 2 7 11 released Thanks computed-gotos get nice performance boost https www python org downloads release python-2711|68|55
8:40 PM - 2 Dec 2015|GvR The transition Python 4 won like transition Python 3 We've learned lesson https mail python org pipermail python-dev 2015-December 142361 html|14|6
9:01 AM - 30 Nov 2015|Announcing Motor 0 5 asyncio Python 3 5 async await http bit ly 1LIBozX pic twitter com cAwMr6DIJj|17|25
4:22 PM - 30 Nov 2015|The first http python org home page May 1997 https web archive org web 19970501011626 http www python org|163|197
8:00 AM - 30 Nov 2015|Want speak one awesome Django conferences Call Speakers opened https 2016 djangocon eu cfp Opened till 14th Jan|40|21
1:11 PM - 29 Nov 2015|#Python #Developer needed 3 month contract West #London #SQL #Django #Flask get touch info #tech driven client|4|9
2:08 AM - 25 Nov 2015|The 5 stages debugging 1 What 2 Why 3 How 4 Impossible 5 Oh|5.7K|4.6K
5:17 AM - 27 Nov 2015|Protractor headless Chrome Docker video tutorial http float-middle com protractor-and-headless-chrome-on-docker-with-video-tutorial #docker|3|4
11:26 PM - 26 Nov 2015|A paper trading API I wrote Python #programming http bit ly 1LB66uO|2|5
11:57 AM - 26 Nov 2015|We've reached day magazines give away free computers https www raspberrypi org blog raspberry-pi-zero pic twitter com rh3BVcG2FF|142|112
1:35 AM - 24 Nov 2015|python tip don't use assert tests Or make sure understand stripped Python run -O|36|28
2:11 PM - 18 Nov 2015|awesome-postgres A Curated List PostgreSQL Software Libraries Tools Resources - https github com dhamaniasad awesome-postgres|13|16
4:20 AM - 23 Nov 2015|Django Girls Tutorial available 11 languages Italian Hungarian Chinese published last week http tutorial djangogirls org|20|23
9:57 AM - 23 Nov 2015|We would like thank Docker becoming Silver sponsor PyCon 2016 @docker https www docker com|11|12
2:46 PM - 22 Nov 2015|#python pop quiz What print x 10 x 2 x range 5 print x|69|77
1:08 AM - 23 Nov 2015|Python Quants Quantitative Finance Risk Management Modelling Algorithms Algo Trading #Python #Trading http www quantatrisk com python-for-quants-volume-i|8|12
9:19 PM - 16 Nov 2015|Programming tip many arrays hashes code actually sets Match data structures data constraints|62|92
7:44 AM - 21 Nov 2015|When I first looked Python I didn't see big deal It looked plain Then I realized WAS big deal|98|91
7:34 PM - 21 Nov 2015|Linux Python education students Israel http red ht 1K5YHmN|20|10
10:35 AM - 21 Nov 2015|#python tip When intended variable name keyword PEP 8 recommends affixing underscore lambda_ 0 2 class_ True|100|108
6:21 AM - 20 Nov 2015|Great post @mkennedy benefits using PyCharm http bit ly 1SKhQAq|8|4
9:51 AM - 19 Nov 2015|Releasing mention-bot handy tool projects quickly notify potential PR reviewers https github com facebook mention-bot pic twitter com Ol8emJydyB|137|140
9:42 AM - 20 Nov 2015|Really good stuff #python https twitter com pyletter status 667731331560955904|1|4
3:46 AM - 18 Nov 2015|cookiecutter-django @pydanny supports Opbeat Thanks @burhan PR https github com pydanny cookiecutter-django pull 411 #django pic twitter com DWhPlFCLyX|9|12
10:02 PM - 16 Nov 2015|Spinnaker open source multi-cloud Continuous Delivery platform Netflix https github com spinnaker spinnaker|21|61
7:29 AM - 18 Nov 2015|OH We need Venn diagram data science combines impostor syndrome regular expressions storytelling|68|93
4:07 PM - 17 Nov 2015|Hacker News - OS X El Capitan breaks python package manager pip http ift tt 1j6ATst|8|7
3:02 PM - 15 Nov 2015|Introducing TPOT #DataScience Assistant Automates #MachineLearning #Python http www randalolson com 2015 11 15 introducing-tpot-the-data-science-assistant pic twitter com b8NjKMCjTO|111|157
4:59 AM - 14 Nov 2015|Count @pyletter awesome Python news|1|1
