10:51 PM - 5 Dec 2015|Heading Kolkata Are guys ready tonight #AfrojackIndia|101|364
2:51 AM - 4 Dec 2015|Don't try perfect try better|21|14
2:35 AM - 29 Nov 2015|Today last day register #EnrichingMinds2 talent meets opportunity Contact Alifiya 8097609552 D pic twitter com CzhjTFt7O0|5|5
9:37 PM - 27 Nov 2015|Find dream risk everything get|13|15
4:18 PM - 27 Nov 2015|The last thing think every night matters|2|1
4:22 PM - 27 Nov 2015|Everyone comes life reason Appreciate they're|3|2
6:49 PM - 27 Nov 2015|If keep wondering stand someone might time stop standing start walking|9|4
10:59 PM - 24 Nov 2015|Hey Jackie many fucks got give Zeeero https twitter com timesnow status 669406836177567744|39|66
10:46 PM - 24 Nov 2015|I feel one able express bindaas Jackie Shroff #AamirRightOrWrong https amp twimg com v 01aeb1b0-0e41-4e2f-9602-06d05d70704b|310|280
11:40 PM - 24 Nov 2015|A bad relationship make feel alone single|6|5
9:43 PM - 16 Nov 2015|The naked truth always better someone's best dressed lie|10|6
