4:12 AM - 5 Dec 2015|Chief Minister Arvind Kejriwal outlines plan tackle pollution Delhi HT Leadership Summit live NDTV pic twitter com aoiWr2SfQg|208|132
6:01 PM - 7 Dec 2015|Indie dev Flat Earth Games secures goverment funding http bit ly 1OMrjIN pic twitter com c38LdhKiad|4|9
2:19 PM - 6 Dec 2015|Government keeps Army waiting Chennai rescue ops suffer http timesofindia indiatimes com city chennai Government-keeps-Army-waiting-Chennai-rescue-ops-suffer articleshow 50069518 cms pic twitter com BaEYHJlEpT|38|31
4:18 AM - 5 Dec 2015|Some people touring world I left Delhi save two times Arvind Kejriwal HT Leadership Summit pic twitter com gTYNNcHDSm|157|236
9:35 PM - 29 Nov 2015|'Virtual Trees' turn Eiffel Tower green #COP21 #MyClimateMyFuture http www ndtv com world-news virtual-trees-turn-the-eiffel-tower-green-for-cop21-1249109 pic twitter com PFAAFFaYjf|88|143
9:43 PM - 29 Nov 2015|@arjunk26 denied reports #KiandKa releasing Valentine's Day next year pic twitter com XxaMAkHcae|2|4
7:06 PM - 25 Nov 2015|PM Modi greets people first Constitution Day http bit ly 1HotpNm pic twitter com GWc2fud0Tx|15|37
7:07 PM - 25 Nov 2015|Suprabhatam It 26 11 lest forget My prayers remembrances|104|151
8:01 PM - 23 Nov 2015|Centre gives package Rs 3 250 Crore Delhi government infrastructure pic twitter com Zil5ljWiXF|359|383
6:52 AM - 20 Nov 2015|All set 200kms Ride Tom happy weekend mmddddlct good night party pic twitter com rogSoeB1ZG|131|726
