8:50 AM - 11 Dec 2015|day girl asks number social network i'm going take ss show mom prove i'm big loser|4|4
9:59 AM - 11 Dec 2015|Donald Trump greater threat United States terrorism|1.1K|1.6K
11:57 PM - 10 Dec 2015|The two biggest mysteries 2015 1 Why Kattappa kill Baahubali 2 Who driving Salman Khan's car #SalmanVerdict|18|20
11:06 PM - 5 Dec 2015|#climatechange Let's something All us NOW @TimesNow @TOIMumbai @AnupamPkher @FarOutAkhtar pic twitter com H5jdG8laUi|123|196
9:43 PM - 18 Nov 2015|One powerful photo pic twitter com q3TuwTb0is|4.5K|6.9K
4:59 AM - 18 Nov 2015|You kill person idea pic twitter com tiBzgdCJPU|3.2K|4K
4:33 AM - 1 Dec 2015|Let's fair hand Prime Minister Modi concluding remarks Constitution statesmanlike appropriate Rahul G buck|60|78
7:23 PM - 24 Nov 2015|Whenver Modi abroad Anupam Kher acting PM India #IStandWithAamirKhan|42|55
11:50 PM - 24 Nov 2015|Doctor City polluted threfore ur lungs AnupamKher This city hs given u Job Name Fame How cn u call polluted #IStandWithAamirKhan|14|15
1:38 PM - 24 Nov 2015|One comment BJP much protest still wonder intolerance #IStandWithAamirKhan @aamir_khan|45|44
3:19 PM - 24 Nov 2015|Calling people Anti-national raising concern acceptable #IStandWithAamirKhan https twitter com timesofindia status 669291494948253696|14|11
7:56 PM - 24 Nov 2015|Ejjaactly #IStandWithAamirKhan pic twitter com JL1eKaYGxh|8|4
8:03 PM - 24 Nov 2015|Boycott films brands burn effigy blacken poster threaten abuse tell d world r tolerant nation #IStandWithAamirKhan|5|7
5:13 AM - 21 Nov 2015|When you're happy enjoy music But you're sad understand lyrics|34|40
