2:43 AM - 11 Dec 2015|I wish launch Citizen fund pay Rahul's holidays Parliament running|440|386
11:10 PM - 10 Dec 2015|Shahabuddin sentenced life imprisonment http timesofindia indiatimes com india Shahabuddin-sentenced-to-life-imprisonment articleshow 50134689 cms utm_source twitter com utm_medium referral utm_campaign TOIIndiaNews|3|8
2:38 AM - 7 Dec 2015|#ChennaiFloods Perfect https twitter com jtweets9849 status 673805809411710976|27|40
10:20 PM - 6 Dec 2015|Congress MPs spend much time outside Lok Sabha may well give electoral politics street fighting|354|299
8:53 PM - 21 Nov 2015|Hey Young Girls apologize you've wrong keep someone mad It's okay they're mad Maybe you're mad|1.6K|3.1K
8:34 PM - 4 Dec 2015|A person isn't last conversation - they're they've throughout whole relationship|179|302
4:01 AM - 4 Dec 2015|1st batch 33 PMO files cleared handed National Archives India processing preservation digitisation|817|1.2K
9:06 AM - 1 Dec 2015|Utterly cynical disgraceful statement Tharoor cows safer India Muslims Should b booked provoking communal enmity1 n|740|394
6:41 PM - 30 Nov 2015|3 n Refusal 2 wear skull cap intolerance refusal 2 stand up4 national anthem individual liberty No wonder called sickularism|1.3K|605
9:33 PM - 28 Nov 2015|Had given idea SAARC nations coming together working disaster preparedness PM @narendramodi #MannKiBaat|169|361
6:23 AM - 24 Nov 2015|World War II rare case sequel better Doing World War III ruin franchise #SayNoToTheTrilogy|330|325
1:46 AM - 25 Nov 2015|Am glad RAHUL Gandhi college today Must seem unfamiliar territory|426|394
8:29 AM - 24 Nov 2015|There's much achieved PM official visits overseas benefit future Wheres'media discussion analysis|775|1.3K
12:15 AM - 24 Nov 2015|BREAKING Aamir Khan depressed one told go live Pakistan http www fakingnews firstpost com 2015 11 aamir-khan-depressed-after-no-one-told-him-to-go-live-in-pakistan @Anilisys|68|62
