12:59 AM - 10 Dec 2015|So finally Hon'ble court realizes 'Car Drunk' #SalmanVerdict pic twitter com pGIZsvGLkm|212|117
1:25 AM - 7 Dec 2015|Proof Umesh Yadav believes cash Not PayTM #IndvsSA pic twitter com mxDPDDb38o|78|67
12:55 AM - 7 Dec 2015|Can score Hundred 31 Balls Can bat 300 Balls without getting Fifty AB de Villiers Modern legend All time GREAT|6|6
9:44 PM - 5 Dec 2015|Only reason Test get 3 days India decided batting practice impose follow-on #IndvsSA|2|1
8:28 PM - 3 Dec 2015|Gracious trend caught eyes Sharing favourite presstitutes @BDUTT @RanaAyyub @sagarikaghose #Media420 pic twitter com mk50DS2cNf|173|49
9:09 AM - 25 Nov 2015|The girl behind pappu awarded MOST TOLERENT INDIAN #RahulStumped @venky6666 @gitaSkapoor pic twitter com a5te4kqeGN|169|204
10:54 AM - 23 Nov 2015|Dear @aamir_khan When Incredible India become Intolerant India Only last 7-8 months #AtithiDevoBhavah|11K|11K
11:28 AM - 23 Nov 2015|Dear @aamir_khan #SatyamevaJayate u talked evil practices gave Hope So even Intolerant times u need 2 spread Hope Fear|9.1K|11K
7:01 AM - 23 Nov 2015|So Aamir Khan says wife wants leave India growing intolerance Yes please may go wherever including Paris|332|198
7:23 AM - 18 Nov 2015|The signature dialogue #SanskariJamesBond like My Name Bond Sanskari Bond|16|32
8:47 AM - 14 Nov 2015|Ok wrong label Islam violent stray terror attack But label entire country intolerant stray incidents|14K|11K
