1:26 PM - 11 Dec 2015|Legs 20 squats 20 walking lunges 20 hop squats Run flight stairs Rest repeat 5 rounds|1|8
12:55 PM - 11 Dec 2015|20 step-ups leg 30 squats 15 jump squats 25 walking lunges 10 leg Rest repeat 3-5x really tone #legs|6|35
3:11 PM - 11 Dec 2015|Don't get caught wondering appear others The thing matters appear|4|6
3:19 PM - 11 Dec 2015|Set goals Exercise Love Focus Fitness|23|59
2:54 AM - 10 Dec 2015|Coming soon @ayushmannk gears next single #YahinHoonMain @yamigautam How cute looking pic twitter com hgDz28PjKc|57|203
8:49 AM - 11 Dec 2015|#Survey 3 years December 16 gang-rape safe women city http read ht yGu pic twitter com 6W2G51sZ2C|22|21
11:29 AM - 11 Dec 2015|You're young might well look hot|21|53
3:52 PM - 10 Dec 2015|Take hot bath Hot water therapeutic qualities aches pains|7|37
6:43 PM - 10 Dec 2015|If focus results never change If focus change get results|36|58
12:55 PM - 9 Dec 2015|Myth stretch cardio There's nothing wrong touching toes run little body|10|37
3:53 PM - 8 Dec 2015|Health state complete physical mental social well-being merely absence disease infirmity|18|54
7:13 AM - 9 Dec 2015|Stress horrible system Go jog yoga|21|65
7:13 AM - 10 Dec 2015|How lose weight keep Fixing bad habits Exercising daily Moderated eating A positive attitude Eating enough|30|71
11:29 AM - 10 Dec 2015|Chocolate flavored protein flavor|10|29
1:26 PM - 8 Dec 2015|Teacher WHY AM I HEARING TALKING Because ears bitch|1|3
4:05 PM - 30 Nov 2015|Fitness blessing pic twitter com 4bICGwvOYz|19|29
7:03 PM - 30 Nov 2015|I'll never PERFECT I better|6|7
7:23 PM - 30 Nov 2015|Life choices Give get|7|11
8:35 AM - 8 Dec 2015|Quick breakfast tip Jamba Juice fresh banana oatmeal fruit Only 330 calories 4g fat 71g cars 8g fiber 10g protein|11|41
7:15 AM - 8 Dec 2015|As long keep trying move forward unlock potential people think impossible|39|42
11:31 AM - 8 Dec 2015|While you're judging someone someone else judging Focus|39|68
3:59 AM - 8 Dec 2015|After Vin Diesel it's Vin Petrol - Akshay Kumar tweets picture Riteish Deshmukh Abhishek Bachchan pic twitter com yZFaL41Vs1|149|274
4:30 AM - 8 Dec 2015|If Chennai TN need recharge tweet number #RechargeChennai We send 30 pic twitter com 9xQHsxDmhI|125|87
3:52 PM - 7 Dec 2015|Positive minds produce positive lives|36|56
2:25 PM - 7 Dec 2015|You can't lose weight diet alone get butt go run|28|63
9:10 AM - 7 Dec 2015|Cricket fraternity praises Virat Kohli Co emphatic 3-0 series win South Africa http zeenews india com sports cricket india-vs-south-africa-2015 cricket-fraternity-praises-virat-kohli-co-for-emphatic-3-0-series-win-over-south-africa_1831698 html pic twitter com 4S6S9TN7a8|12|28
7:19 AM - 7 Dec 2015|The last one awesome ROLF pic twitter com KkLXgOyK5I|637|452
10:20 AM - 7 Dec 2015|Saina Nehwal Lee Chong Wei top buys Premier Badminton League auction http zeenews india com sports others saina-nehwal-lee-chong-wei-top-buys-at-premier-badminton-league-auction_1831725 html pic twitter com OCJHgLaaZa|16|38
11:31 AM - 7 Dec 2015|If aren't sore aren't trying hard enough|33|70
11:34 AM - 7 Dec 2015|By way isse toh desh ki beizatti nahi hoti - The delivery line Oho|17|102
8:35 AM - 7 Dec 2015|#QuickAbWorkout 20 push ups 1 min rest Then 20 crunches 1 min rest Do set 5 times|9|36
