4:58 AM - 5 Dec 2015|We trending #6YearsOfRocketSingh 10th December Thursday 9 30pm IST RT spread word pic twitter com 0hY1CxPyom|31|23
8:01 AM - 10 Dec 2015|Gorgeous #6YearsOfRocketSingh pic twitter com PiGSs56KKX|28|75
8:26 AM - 10 Dec 2015|Our reaction see picture Ranbir D #6YearsOfRocketSingh pic twitter com oLYMDAq7cM|22|7
4:29 PM - 10 Dec 2015|indiatwts RT ICICIBank List working ATMs Branches Chennai - http bit ly WorkingBranchesnATMsInChennai #ChennaiRainsHelp # pic twitter com jUel0n30a9|1|1
10:54 AM - 10 Dec 2015|Swiss Police searching Geneva suspects #ParisAttacks http www ndtv com world-news swiss-police-searching-geneva-for-suspects-over-paris-attacks-1253394 pic twitter com t969qFmcwo|9|11
7:48 AM - 8 Dec 2015|Wrong way 2 get GST passed India desperately needs GST let's create hurdles FM Say GST useless opposition help pass bill|45|55
10:01 AM - 9 Dec 2015|Jamaat ud Dawa T-shirts recovered 3 terrorists killed Army Poonch J K 3 December ANI pic twitter com BQIkMWF3VK|3|2
10:03 AM - 9 Dec 2015|pradee130994 RT kvQuote Reel Hero well Real Hero #Rajinikanth donates Rs 10 crore #ChennaiFloods #ChennaiR pic twitter com EodYGamKjp|1|1
9:14 AM - 9 Dec 2015|Dean Nitin Nohria delighted welcome class 2018 Acceptance notifications went noon #nextstophbs pic twitter com 2UjsHw4jeV|10|28
7:58 AM - 9 Dec 2015|Super super super - cares intolerance Make rules pic twitter com O5VhHmD7Xa|26|21
5:25 AM - 9 Dec 2015|#SoniaInsultsJudiciary Congress using parliament insult Indian Judiciary expose trend 7 10 PM today pls support|210|77
5:39 AM - 9 Dec 2015|Meet Hands Feed corruption Sleep corruption walk corruption talk corruption #SoniaInsultsJudiciary pic twitter com euwC0tn07D|333|117
5:39 AM - 9 Dec 2015|#SoniaInsultsJudiciary In utter disregard court order Sonia Cong party stalled functioning Parl http www niticentral com 2015 12 09 national-herald-poops-sonias-birthday-party-338062 html|63|32
6:46 AM - 9 Dec 2015|let barkha rajdeep ravish like #Presstitutes investigation discussion #SoniaInsultsJudiciary https twitter com kush07 status 673871788820987908|5|1
6:50 AM - 9 Dec 2015|Entire @INCIndia party spoiling country's development appease family full idiots fools #SoniaInsultsJudiciary|28|12
7:36 AM - 9 Dec 2015|SoGa considering law like always think #SoniaInsultsJudiciary pic twitter com A6t84xOuvd|9|5
7:37 AM - 9 Dec 2015|#SoniaInsultsJudiciary Pappu doesn't hv guts face court pic twitter com MxF9QPQ5oF|24|10
7:26 AM - 9 Dec 2015|BILLIONAIRE INVESTOR 'The greatest energy investing opportunities we've ever seen' CG http read bi 1NGdf2u pic twitter com TpjRiAGxdX|13|24
7:26 AM - 9 Dec 2015|Wholesale Onion prices went Rs 7-8 kg early 2015 Rs 45-50 October Rs 10-11 Not helping farmers middlemen @PMOIndia|16|16
2:30 AM - 9 Dec 2015|Obstructing proceedings Parliament issue court order testimony irresponsible behavior main opposition party|279|333
8:17 AM - 8 Dec 2015|1 Make list top editors journalists 2 Scan ALL tweets last 48 hours 3 Not single line #NationalHerald #GoFigure|3.6K|1.6K
5:21 AM - 9 Dec 2015|News Today newsmakers tonight @Swamy39 Natl herald heroes Chennai Serena Williams @IndiaToday TV|6|33
6:46 AM - 2 Dec 2015|NewsFlash #Cabinet gives post-facto approval FDI reforms 15 sectors|2|3
6:42 AM - 2 Dec 2015|NewsFlash #Cabinet approves FDI relaxation|14|8
6:49 AM - 2 Dec 2015|Govt Sources #Cabinet defers crop insurance issue discussions CIS|3|4
7:03 AM - 2 Dec 2015|#Cabinet 6 New IITs set AP Chhattisgarh Goa J K Kerala Karnataka|17|9
7:32 AM - 2 Dec 2015|#Cabinet approves setting six-new IITs|43|33
6:21 AM - 9 Dec 2015|#Cabinet Real Estate 4 Mandatory disclosure registered #realestate projects commercial residential|35|17
6:21 AM - 9 Dec 2015|#Cabinet Real Estate 5 Bill bars promoters changing plans design without consent consumers|40|21
6:26 AM - 9 Dec 2015|#Cabinet approves India-UK pact energy sector India-Indonesia MoU renewable energy|11|11
6:26 AM - 9 Dec 2015|#Cabinet approves law declare 106 waterways national waterways incentives boost local shipbuilding sector|26|12
6:26 AM - 9 Dec 2015|#Cabinet setup Real Estate Regulatory Authority states union territories|5|3
6:27 AM - 9 Dec 2015|#Cabinet approves creation buffer stock pulses procurement 150 000 tn pulses 2015-16|12|2
6:33 AM - 9 Dec 2015|#Cabinet orders mandatory disclosure registered real estate projects|6|14
6:37 AM - 9 Dec 2015|#Cabinet says real estate project launched without registration|4|5
6:38 AM - 9 Dec 2015|#Cabinet aims boost domestic foreign investment #realestate sector|1|3
5:13 AM - 9 Dec 2015|Retweeted Subramanian Swamy @Swamy39 My interview India Today well News X 6 pm NH|1|1
5:17 AM - 9 Dec 2015|After Ram Jethmalani Arun Shourie Subramanian Swamy Mohandas Pai criticises Arun Jaitley Modi Govt Black Money Issue PM sleeping|2|2
5:30 AM - 9 Dec 2015|@Swamy39 Gandhis' argue court Subramanian Swamy #NationalHerald|1|1
5:35 AM - 9 Dec 2015|RT Swamy39 BJP disowns Subramanian Swamy case sees merit https shar es 1G1e4Z via sharethis What stupid headline IE Ina|1|1
5:49 AM - 9 Dec 2015|@Swamy39 congress argue court http indiatoday intoday story they-should-argue-in-court-subramanian-swamy 1 541028 html|1|1
5:40 AM - 9 Dec 2015|Dr Subramanian Swamy doesn't touch corrupt person unless holds unimpeachable evidences http fb 6XqnYDgN0|1|1
6:02 AM - 9 Dec 2015|National Herald case Swamy rejects Congress' vendetta claim says Sonia Rahul 100 percent go jail http zeenews india com news india national-herald-case-subramanian-swamy-rejects-congress-vendetta-claim-says-sonia-rahul-will-100-percent-go-to-jail_1832499 html|1|1
6:07 AM - 9 Dec 2015|rangats Deekshitars Chidambaram Natrajar temple donate Rs 1 crore towards #ChennaiFloods #Cuddalorefloods pic twitter com Vciv6KCilN|3|1
9:24 AM - 8 Dec 2015|No Relief For Sonia Rahul In National Herald Case The Issue Stalls Parliament @kaunain_s Manoj CG @IndianExpress http youtu FTvJ6LAB9-s|11|18
9:25 AM - 8 Dec 2015|spksanthosh RT YUVSTRONG12 Lovely hear imVkohli dedicated win #ChennaiFloods victims congratulations team India way g|1|1
9:24 AM - 8 Dec 2015|CM @Dev_Fadnavis reviewed devpt works roads law order situation power sector irrigation proj Yavatmal dist pic twitter com 3l6P44zJg8|68|144
3:45 AM - 8 Dec 2015|Congratulations Prashant Kumar got third position CBSE #Tennis National held Nagpur pic twitter com 6LCHgJYLN5|22|150
9:30 AM - 8 Dec 2015|Hate story 3 It first time movie review it's title|84|163
9:30 AM - 8 Dec 2015|@SrBachchan I hope everything life see always happy successful business pic twitter com dRQtpCvEUL|58|398
4:58 PM - 7 Dec 2015|Chennai Weather Update Another fairly clear day http www chennairains com chennai-weather-update-another-fairly-clear-day pic twitter com KcXLfzU3UC|26|7
10:58 PM - 3 Dec 2015|Here Unseen Picture @BeingSalmanKhan Being Human Photoshoot Picture Credit - @_MySalmanKhan pic twitter com 04TcrnOvV8|71|116
3:07 AM - 4 Dec 2015|One person I ve seen things selflessly Salman He lives like monk Everything earns goes Being Human - Sonam|128|124
7:02 AM - 5 Dec 2015|Salman Khan Mall Emirates MOE Promoting Being Human Clothing Dubai Video http www youtube com watch feature player_embedded v yuODTAlV0kk http dubaiinformer com 179120 salman-khan-at-mall-of-the-emirates-moe-promoting-being-human-clothing-dubai-video|100|91
6:31 AM - 7 Dec 2015|Salman Khan wears Being Human t-shirts promotes poor kids cured A major reason proud bhaijaan|56|42
6:36 AM - 7 Dec 2015|RT u agree SalmanKhan Real Being Human world That luv bhaijaan @ppritam009 @beingYasmin49 pic twitter com nBzUtyn213|92|85
9:54 AM - 7 Dec 2015|42 Cr 3 yrs vs 1 Cr Is comparison joke Being human way https twitter com SirJadeja status 673891736805052417|27|24
5:14 AM - 7 Dec 2015|Red Chilies donated Rs 25 cr towards social rural development 2014 http trak tags business 2015 01 06 india-top-philanthropists-azim-premji Save link #SRKStandsByChennai|52|32
4:20 PM - 7 Dec 2015|mrashishrastogi RT SrBachchan T 2083 - And credits Vibha helpthemgrow keyur_vibha reaching # http vibha org relief|1|1
4:20 PM - 7 Dec 2015|MRKUMARNKL RT AnushkaSharma Chopper airlifts pregnant lady d #ChennaiFloods requires huge huge skill 2 pic twitter com PzBJmTEExO|1|1
4:20 PM - 7 Dec 2015|DrPreethin RT ChennaiRainsH nrajesh http m ndtv com tamil-nadu-news freaked-out-after-losing-home-for-first-time-actor-sidharth-to-ndtv-1252098 thank Actor_Siddharth RJ_Balaji ndtv volunteers #ChennaiFlood|1|1
4:20 PM - 7 Dec 2015|MRKUMARNKL RT adgpi #IndianArmy Rescue Relief teams Distributing Relief material #ChennaiFloods pic twitter com rlNSrLE4IG|1|1
4:20 PM - 7 Dec 2015|MRKUMARNKL RT dna #ChennaiFloods Financial institutions banks waiver penalty late EMI payments pic twitter com LxnX01c8LM|1|1
4:11 AM - 3 Dec 2015|Tweet buy book #HashtagBanking Ab phone phone mein Kotak #KonaKonaKotak http bit ly 1OIbxwF https amp twimg com v 4e07354f-4b84-4d7a-ab65-6f653c5c04bc|16|21
4:20 PM - 7 Dec 2015|Vanket1 RT TheQuint In wake #ChennaiFloods #Rajnikanth called birthday celebrations pic twitter com LPZXbqpbYO|1|1
4:30 PM - 7 Dec 2015|Chennai rises rubble rebuild brick brick http timesofindia indiatimes com city chennai Chennai-rises-from-rubble-will-now-rebuild-itself-brick-by-brick articleshow 50084348 cms pic twitter com IltTBO7hpr|49|51
4:31 PM - 7 Dec 2015|University South Florida names scholarship former Prez APJ Abdul Kalam exclusively Indian students pic twitter com HFeyV3d00O|440|561
1:03 PM - 7 Dec 2015|Dow drops 116 points oil tumbles another 6 end day 37 65 lowest level almost 7 years http cnnmon ie bkgnews|205|135
3:37 AM - 7 Dec 2015|#KandivaliFire Two killed 11 injured fire started today afternoon Damu Nagar @HTMumbai @htTweets|4|1
3:34 AM - 7 Dec 2015|Watch Now Chandigarh-Manali highway blocked major landslide http www ndtv com india-news chandigarh-manali-highway-blocked-after-major-landslide-1251944 https amp twimg com v e611a266-e213-4a43-bbc8-042d22c2f6bb|74|55
3:35 AM - 7 Dec 2015|China's capital Beijing issues first ever 'red alert' air pollution http www ndtv com world-news chinas-capital-issues-first-ever-red-alert-on-air-pollution-1252021 pic twitter com 4YlTykxYW0|49|28
1:37 AM - 7 Dec 2015|Storing gas cylinders middle residential complex disaster waiting happen @TrafflineMUM https twitter com MihirBijur status 673766189189849088|12|3
3:00 AM - 7 Dec 2015|Kotla victory The adage sports teams used ability 'snatch defeat jaws victory' Let's put rest|36|74
10:27 PM - 5 Dec 2015|4th Test Ashwin strikes Rahane's second century Ajinkya Rahane joined Sunil Gavaskar Rahul Dravid Vi http bit ly 1TNgztD|1|1
10:35 PM - 5 Dec 2015|#ModiMinistry Rahane 5th Indian score twin centuries http bit ly 1YRtq0H|2|1
10:33 PM - 5 Dec 2015|Oberon pesticide wid 17 purity ws allowed market Punjab Govt whereas acceptable purity 23 leading 2 crop damage #AAPInquilab|2|2
10:28 PM - 5 Dec 2015|SwamyJ RT chennaiweather Good News Chennai 9th december #chennaiweather #ChennaiFloods pic twitter com TzOk3TCrVc|1|1
10:28 PM - 5 Dec 2015|JunedDharar RT arjhun232 List latest corporation relief centres #ChennaiFloods #chennairains #ChennaiRainsHelp pic twitter com VRiuF7sJvK|1|1
10:28 PM - 5 Dec 2015|CitiZenF0X RT TheHindu Live Southern Railways cancels trains due operational reasons #ChennaiFloods pic twitter com doUeQgUbN5|1|1
10:28 PM - 5 Dec 2015|tc_vijay RT Balaji_DV_ Please share Chennai people #chennai #ChennaiFloods #ChennaiRainsHelp pic twitter com UdR0IXDJPq|1|1
10:28 PM - 5 Dec 2015|kaur137 RT ActorMadhavan #ChennaiFloods-To da young Turks aviation biz tryn 2 reach ur annual target month hiking Chenn 2|1|1
9:00 AM - 5 Dec 2015|Singapore provide US 75 000 assistance flood-hit Chennai #ChennaiRains #ChennaiFloods pic twitter com uyouQNlZJ3|162|174
7:52 AM - 5 Dec 2015|chennaiupdates Anybody need milk children Have 400 milk packets Contact Aditi 9790963455 #verified #Chennaifloods|20|7
9:15 AM - 5 Dec 2015|Railway partners Google Wi-Fi 400 stations pic twitter com zky2FhHvjh|160|173
10:13 PM - 5 Dec 2015|praveenpal23 RT TrollywoodTamil Let December 6 Shall Be Remembered For The Right Reasons Hereafter #BabriMasjid pic twitter com kqEJNVHGKS|2|1
5:29 AM - 4 Dec 2015|#GST logjam CEA arvindsubraman suggests dropping 1 additional tax inter-state sales http dnai d3Jn pic twitter com cv1Z49u23N|1|1
5:30 AM - 4 Dec 2015|#GST logjam CEA arvindsubraman suggests dropping 1 additional tax inter-state sales http dnai d3Jn pic twitter com 4nxLKxfqRS|1|1
10:44 AM - 3 Dec 2015|Enjoyed classical TEST batting @ajinkyarahane88 #indvssa https www instagram com p -1xWJflr66|2|2
11:21 AM - 3 Dec 2015|He always flies radar Ajinkya Rahane rescued India today first time #IndvsSA pic twitter com Z70uZMocxT|3|3
11:49 AM - 3 Dec 2015|Kohli's Captaincy tested Australia tour Couldn't give credit #IndvsSA series win spinners performing|3|2
