10:01 AM - 11 Dec 2015|The Amount Silences My Talks|6|5
11:48 AM - 10 Dec 2015|Be someone's reason dreamt|3|2
5:47 AM - 9 Dec 2015|Don't bottle feelings hurts every drop every moment|145|149
6:32 PM - 8 Dec 2015|@NimratOfficial My father killed Hizb-ul-Mujahideen conceding demands Kashmir http m timesofindia com entertainment bollywood news-interviews nimrat-kaur-my-father-was-killed-by-the-hizb-ul-mujahideen-for-not-conceding-to-their-demands-in-kashmir articleshow 50090694 cms|33|34
3:01 AM - 8 Dec 2015|Since Vin Diesel busy @deepikapadukone #Housefull3 making Vin Petrol pic twitter com AlPSPPv006|4.9K|11K
5:11 AM - 4 Dec 2015|Every text I get I always hope it's|410|556
9:05 PM - 8 Dec 2015|Siddhivinayak temple commits 40kg gold PM @narendramodi's pet scheme http toi VBJGEZ pic twitter com U9kcqtcYZZ|91|172
9:05 PM - 7 Dec 2015|Smell sea touch SKY Let soul Spirit FLY #back #life @RanveerOfficial @purijagan @iHrithik pic twitter com xMnq1UrwuY|12|58
3:48 AM - 28 Nov 2015|Haha That's totally pic twitter com ejelXR6yyS|54|8
4:10 AM - 6 Dec 2015|@UN plz something Baluchistan Coz time Pak Army broken boundary shame #FreeBalochWomen pic twitter com JpAIMgXV6f|182|65
2:17 AM - 7 Dec 2015|Don't criticize don't understand RT like|1|3
1:29 AM - 7 Dec 2015|It's 337 runs victory India They clearly dominated Ashwin picks fifer #IndvsSA|7|1
8:59 PM - 6 Dec 2015|And Jadeja breaks Amla's defense FINALLY #IndvsSA https amp twimg com v 91e6b1a6-7298-4727-a718-43acc5af9006|137|219
7:19 PM - 27 Nov 2015|I've lied enough times know liar I see one|955|665
9:40 AM - 6 Dec 2015|Damn girl #tothemoon #WhoRunTheWorld @deepikapadukone #Repost @vindiesel @repostapp http ift tt 1QoUuS0 pic twitter com fbniocvVwP|85|263
7:34 AM - 6 Dec 2015|He I love u baby She huhh He sachhi jaan She kal tumne pure din sirf 148 baar hi love u bola tha could I trust He|39|40
10:13 AM - 4 Dec 2015|Crush Hi Me Started thinking shaadi ke baad honeymoon pe kahan jayenge|29|17
8:43 PM - 2 Dec 2015|Love person happiness important|4|4
