4:35 AM - 10 Dec 2015|Selfi @iamsrk set @CNBonColors @nikuld @ColorsTV @ColorsParivaar @cnbFC #DilwaleOnCNB pic twitter com hjSNaJ8rSf|152|247
10:01 PM - 9 Dec 2015|Your words mean lot sir thank https twitter com shekharkapur status 674825404079808512|278|995
7:46 PM - 5 Dec 2015|A wonderful person fiercely intelligent Great filmmaker Happy birthday @shekharkapur You taught much Love|355|1K
10:17 PM - 4 Dec 2015|nice shot @itsSSR video https www youtube com watch v DWbJ0zM3v6A app desktop @pinkvilla @bollywood_life #sushanthelicoptershot|55|51
11:58 PM - 3 Dec 2015|You pic twitter com 5HX8q725Kq|435|1.4K
2:11 AM - 3 Dec 2015|Kriti one guys smashingly hot song @kritisanon @Varun_dvn pic twitter com hBpaK3tScH|1.2K|2.6K
9:23 AM - 28 Nov 2015|She ultimate diva Ravishing mesmerising @TheShilpaShetty @FeminaIndia pic twitter com 5obLCDiCkd|10|28
11:14 PM - 2 Dec 2015|After watching @TamashaOfficial I wish Imtiaz Ali directed life Easily compelling storyteller generation|202|513
1:15 AM - 3 Dec 2015|And it's These boys teach u fit fun n much #squadrann https www youtube com watch v QYjqzKNShPE @rannvijaysingha|27|100
1:16 AM - 3 Dec 2015|A legal system admitted made mistake Better late never Well done South Africa #JusticeForReeva #OscarPistorius|70|97
11:37 PM - 30 Nov 2015|Dear Hardwork what's wrong please game give fight I miss - pic twitter com ZjWgpvNZlT|192|1.1K
5:30 AM - 29 Nov 2015|@itsSSR gives best every movie acts Can guess upcoming cricket based movie pic twitter com EKjOJHBm2u|312|903
10:37 PM - 25 Nov 2015|Done another schedule The I portray front camera I admire #MSDhoni pic twitter com AXMx6vcpqd|481|1.2K
10:34 PM - 24 Nov 2015|The wait almost Just one day go hip youth anthem #ManmaEmotionTomorrow pic twitter com I7iVrokmGT|642|1.1K
9:51 PM - 19 Nov 2015|Being #TheOriginalSocialNetwork feels good Congratulations @itsSSR @GQIndia's Breakthrough Talent title pic twitter com 7UDCVKHMI8|261|869
3:54 AM - 24 Nov 2015|When love madness love @homiadajania @kritisanon @Anaita_Adajania @ipritamofficial pic twitter com rEiFfpzNqF|634|1.8K
10:38 PM - 23 Nov 2015|Love short forgetting long Coming 2016 pic twitter com aKAJzVN1t1|725|1.5K
7:44 AM - 19 Nov 2015|And nothing else matters pic twitter com S32wkcrEt7|635|1.1K
5:21 AM - 18 Nov 2015|On scale 1 10 Rate peppy melody Gulabi' #ShuddhDesiRomance featuring @Vaaniofficial @itsSSR pic twitter com yYGXjNQ77I|33|78
7:11 AM - 14 Nov 2015|A man seeking understand violence belong country religion political party partial system|321|1K
11:13 PM - 13 Nov 2015|Look Look Look What I found today @itsSSR kids 3 #HappyChildrensDay #JawaharLalNehru #ChildrensDay pic twitter com NrApPydo7v|29|44
