3:05 AM - 11 Dec 2015|Could modern world without #steel actually exist #Steel essential cities http goo gl wMvQC2 pic twitter com emNgSmsJ1K|16|4
9:00 PM - 10 Dec 2015|Practice doesn't make perfect you're wrong - @FSonnenberg #quote via @LollyDaskal|3|3
8:26 PM - 10 Dec 2015|In pre-digital-social-media era ran birds feather #DennisTheMenace pic twitter com NEs9QjTmdc|19|25
9:04 PM - 10 Dec 2015|If really want know future pic twitter com jJGYr63aUS|5|3
11:10 PM - 9 Dec 2015|The purpose life live life purpose|267|328
10:25 PM - 9 Dec 2015|It's said it's didn't say|577|733
7:27 AM - 7 Dec 2015|Nobody realizes people expend tremendous energy merely normal - Albert Camus|3|5
2:50 AM - 9 Dec 2015|Q interview 'Where u see 5 years' answer gen Z 'with ur competitor' says gen Z #TALeague - 'use I here'|6|10
11:37 PM - 8 Dec 2015|You can't build reputation you're going -Henry Ford|261|243
11:40 PM - 8 Dec 2015|Teen home fever throws meme read dictionary every book read remix|8|3
9:28 PM - 8 Dec 2015|One tests leadership ability recognize problem becomes emergency Arnold H Glasow|1|0
9:15 PM - 8 Dec 2015|People accomplishment rarely sat back let things happen They went happened things Leonardo da Vinci|74|105
8:42 PM - 8 Dec 2015|India's TV industry concentrating intelligent programming Indians always pic twitter com TtRi2qJxEZ|13|10
8:17 AM - 4 Dec 2015|Sophistication changing Whatsapp status random poetic word fancy pronunciation With emojis|5|4
8:53 PM - 7 Dec 2015|Our struggles life give us scars also give us growth strength faith passion life living Pain n Pleasure|1|3
2:01 AM - 7 Dec 2015|There pillow soft clear conscience -French proverb|41|40
1:44 AM - 7 Dec 2015|The truth set free But first piss -Gloria Steinem|199|239
10:38 PM - 6 Dec 2015|PRmoment India opens entries 30 30 2016 - PR News - PRmoment http www prmoment 2018 prmoment-india-opens-entries-for-30-under-30-2016 aspx|1|0
9:16 PM - 6 Dec 2015|Self-destruction effect cowardice highest extreme - Daniel Defoe|5|0
1:16 PM - 2 Dec 2015|How fast people jump conclusions defend position And don't even know side ignorance find bliss|5|13
8:55 PM - 2 Dec 2015|Will #PR professionals ever become CEOs Gallery http nyv l FEhZ Panel discussion @MarketingEds recent #PRAsia2015 conference|1|1
2:14 AM - 2 Dec 2015|If u r aspiring journo highly recommend u 2 watch video Gr8 advise TOI Chief Copy Editor @SameerArshad1 https twitter com SameerArshad1 status 671767254749478916|2|2
12:52 AM - 2 Dec 2015|If anyone wants food ordered please let @r3dash know We shall try help far @ZomatoIN delivers #ChennaiRainsHelp|10|4
12:53 AM - 2 Dec 2015|Before win believe worthy -Mike Ditka|320|322
12:46 AM - 2 Dec 2015|Stay Safe Chennai Call 18001030033 recharge friend's phone free http p-y tm 4Egc #ChennaiFloods pic twitter com nHNnvB2FLU|1.3K|392
12:37 AM - 2 Dec 2015|Bro Zuckerberg want advance human potential kids grow better smarter world Shut Facebook|26|45
8:33 PM - 1 Dec 2015|When people try come back life wrong Sorry I can't cause I already told mom|579|879
5:22 AM - 1 Dec 2015|Dedicate one hour day yo speaking English Right wrong One day succeed That I learnt https twitter com pavanhingole status 671647676975353856|148|423
4:12 AM - 1 Dec 2015|Making happy first always selfish Sometimes it's necessary|1.5K|1.2K
8:40 PM - 30 Nov 2015|When blame others give power change Take responsibility future - Chris Voss #quote|13|12
8:40 PM - 30 Nov 2015|You never know strong strong choice - Bob Marley #quote via @alphabetsuccess pic twitter com 6T5X6OEE7t|41|38
2:40 AM - 30 Nov 2015|If don't program life life program You either cause effect You choose #EDC|2|3
9:52 PM - 29 Nov 2015|Please note always looking writers readers voice-artists jury Join @aajsirhaane part something positive good|6|7
3:18 AM - 26 Nov 2015|trick make milk boil quick walk away pot bit|8|15
10:50 PM - 25 Nov 2015|The boon social media It given voice millions The bane social media It given voice millions|11|6
9:30 PM - 25 Nov 2015|A writer congenitally unable tell truth call writes fiction William Faulkner|7|11
6:43 AM - 25 Nov 2015|Spread word track hold us accountable delp https twitter com AbhaySharda status 669525149482250240|257|208
9:07 PM - 18 Nov 2015|Get treadmill consumption replication mediocrity Begin lifting weights creativity originality success Ryan L|1|0
3:59 AM - 17 Nov 2015|As per @amazonIN customer service concerned dispatch dispatch time @AmazonHelp #AvoidAmazon|1|0
2:51 AM - 17 Nov 2015|A people able learn science communication networked society every word sliced resliced|1|1
2:34 AM - 17 Nov 2015|Any society needs disclaimers many lawyers - Erik Pepke|4|4
2:08 AM - 17 Nov 2015|Outsourcing self-esteem happiness others - even love love - rarely ends well|5|6
2:03 AM - 17 Nov 2015|You either suffer pain discipline pain regret Pick side|103|121
11:10 PM - 16 Nov 2015|A man never hope first honest isn't - Don Williams|20|12
9:05 PM - 16 Nov 2015|I like word 'indolence ' It makes laziness seem classy - Bern Williams|3|2
12:21 PM - 16 Nov 2015|Wondering people stamina To keep faking smile|10|23
9:00 AM - 16 Nov 2015|Accepting everything someone Doesn't mean like Or feel like doormat|21|38
1:10 AM - 16 Nov 2015|Oh The importance space art stinks pic twitter com zcWzZAYTYd|104|33
2:35 AM - 16 Nov 2015|When you're happy enjoy music you're sad understand lyrics|267|351
9:00 PM - 15 Nov 2015|We born ignorant one must work hard remain stupid - Benjamin Franklin #quote via @FixedOpsGenius|2|2
9:01 PM - 15 Nov 2015|Love surpasses emotions Let's believe affirm times find world engulfed anger hatred|4|5
