9:12 AM - 9 Dec 2015|anyone heard menaka Gandhi saying Indra mother law She asks vote work done #SoniaInsultsJudiciary|10|6
9:11 AM - 9 Dec 2015|@grazillion Thanks kind words|1|1
7:42 AM - 9 Dec 2015|GOOD night Twitter world #Meow pic twitter com QXVxykBB7N|1|0
7:42 PM - 8 Dec 2015|Arrogance peeps success nobody challenging often https twitter com bdutt status 674058877822894080|6|5
4:57 AM - 9 Dec 2015|@VasundharaBJP mam gr8 2 hear u @ municipalika V hv cum Del v cn get ur 5 mins Gr8 solution 4 clean rajsthn pic twitter com 5cPJBNUbFT|1|1
4:53 AM - 9 Dec 2015|It vital attention paid sewerage drainage management recycle reuse water management reducing heat island effect|34|73
4:54 AM - 9 Dec 2015|Heritage conservation development need go hand hand need realize Culture keeps together|36|82
8:38 PM - 2 Dec 2015|Rajasthan aims raise 1 million annual foreign tourists 5 million next 5 years My blog http blogs timesofindia indiatimes com toi-edit-page ringing-in-rajasthan-tourism-3-0-tourism-could-be-indias-largest-employer-while-simultaneously-reducing-the-gender-imbalance|120|189
5:08 AM - 9 Dec 2015|@VasundharaBJP YES RIGHTLY SAID WE ALSO NEED BIG ADVT HOARDINGS IN CITIES AT CHOWKS REGARDING BAD HABIT OF SPITTING AND TOILETTING|1|1
5:01 AM - 9 Dec 2015|We need sense 'Ownership' towards cities - feel proud neighborhood - protective Heritage|42|97
4:56 AM - 9 Dec 2015|@grazillion @943MYFM @harrish_bhatia Sure|1|1
4:27 AM - 9 Dec 2015|@grazillion I actually understand I twisting sarcastic Read tweets Keep good work|1|1
2:19 AM - 1 Dec 2015|@beingsalmankhan #cleanIndia campaign hospital waiting response pic twitter com S0FecBAqcM|5|2
1:35 AM - 3 Dec 2015|Here glimpses MTDC's #CleanIndia Drive Ramtek Gadmandir Khindsi Lake #Nagpur @CMOMaharashtra pic twitter com LLXrT1GKO9|4|8
2:34 AM - 4 Dec 2015|Kindly something mess @swachbharat @CKforCleanIndia @BDUTT @anilvijmantri @nidhivasdev #CleanIndia https twitter com nidhivasdev status 672723407574802432|3|5
2:51 AM - 9 Dec 2015|Plastic burnt tree kill tree #swachbharat @PMOIndia @IChangeMyCity @bbmpcommr pic twitter com POKsK7VyjH|2|1
10:11 PM - 4 Dec 2015|#DelhiOddEvenLogic #SwacchBharat #CleanIndia How fix Delhi's air|1.1K|480
11:35 PM - 4 Dec 2015|#MyFmKeRangrez A Painting competition #CleanIndia theme @943MYFM @harrish_bhatia @narendramodi @VasundharaBJP pic twitter com CBJsHhHI2x|1|6
5:09 AM - 6 Dec 2015|Glimpse today's #CleanTapi Awareness campaign Lets take pledge pollute Tapi #CleanIndia pic twitter com EOsuJIS3nA|10|11
3:30 AM - 9 Dec 2015|#TCS wins four awards UK key client projects innovations http dnai d49o @TCS_News pic twitter com JdrJrAQMrL|7|13
3:12 AM - 9 Dec 2015|Hon Environment Minister @PrakashJavdekar #India's INDCs #IndiaAtCOP21 #COP21 #COP21Paris pic twitter com G0kK7sWCcu|20|22
11:14 PM - 3 Dec 2015|Bangalore Crumbling An Environmental And Logistics Nightmare http swarajyamag com ideas bangalore-crumbling-an-environmental-and-logistics-nightmare|12|7
9:16 AM - 8 Dec 2015|Biodegradable plastic jaggery chocolates #IISF http dnai d46q finds @visually_kei pic twitter com AFo9XwLjRp|15|21
11:18 AM - 5 Dec 2015|@Actor_Siddharth going Cuddalore tomorrow continue work Whreas d rest us work 5 centers chennai|440|465
8:32 AM - 4 Dec 2015|My thoughts suffering hometown Chennai right We 1 2|26|30
8:41 PM - 3 Dec 2015|So awesome Bangalore team pitch Food reach Chennai evening #LikeABoss pic twitter com C9nwx2KG3a|64|54
