4:41 AM - 10 Dec 2015|Anil Dhirubhai Ambani Group make 500-seater Call Centre functional Srinagar April next year @abpnewstv|15|36
2:10 AM - 7 Dec 2015|Beijing witnessed Blue Skies ages Come On Give Try Delhi #ISupportDelhiOddEven http www boredpanda com blue-skies-military-parade-no-cars-beijing utm_content buffere36d1 utm_medium social utm_source twitter com utm_campaign buffer pic twitter com 0lBr52lexf|77|37
7:12 AM - 9 Dec 2015|Terror continues emanate Pakistani soil Hafiz Saeed walks free Dawood still Pak And back jhappi syndrome BJP u-turn|375|274
1:46 AM - 9 Dec 2015|HC refuses stay Delhi govt new vehicle rules http bit ly 1R9isSQ pic twitter com Yoirn7bm4J|2|2
11:41 PM - 8 Dec 2015|Congrats Aditya Chpora Adira first production outside Yash Raj Films|40|46
8:18 PM - 8 Dec 2015|Every time I see Donald Trump speech i'm reminded shit always comes assholes|111|149
8:54 AM - 8 Dec 2015|When finally papa permits college tour pic twitter com 0KOTfBR675|418|297
10:16 PM - 3 Dec 2015|Marrying rich girl great startup idea|35|36
9:42 AM - 4 Dec 2015|A mandatory minor change lifestyle Delhi Citizen VS Saving lungs future Generations Choice ain't hard|94|49
3:26 AM - 4 Dec 2015|When want go beaches checkout hot chicks around you're forbidden go #PhotoshopSarkar pic twitter com t58iZwNhuU|186|69
8:59 AM - 2 Dec 2015|While busy doubting AAP @ArvindKejriwal something govt's dream Must RT http www thenewsminute com article why-aap-must-be-thanked-plugging-corruption-loophole-delhi E2 80 99s-schooling-36476|208|102
6:35 AM - 26 Nov 2015|Will Modi govt recover 11 000 cr Reliance ONGC gas stolen Oily Moily forcing ONGC let go http m ndtv com profit rs-11-000-crore-ongc-gas-shifted-to-reliance-industries-fields-d-m-1246122|441|196
11:26 PM - 26 Nov 2015|Gujarat Govt enters sweet deal Adani To pay 100s cr month extra electricity despite fixed bid Tariff Acche Din Adani|728|317
6:06 PM - 27 Nov 2015|This real @AnupamPkher sir pic twitter com psoV7s1Nss|529|598
