9:10 PM - 4 Dec 2015|may force within us pic twitter com 0FyOLnIPif|98|82
10:25 AM - 1 Dec 2015|Sathyam Escape S2 Perambur Palazzo opened people affected floods stay tonight @SPIcinemas #ChennaiRains|134|35
10:14 AM - 1 Dec 2015|@vrindaprasad plz help retweet pic twitter com uLV2sq1Rx4|32|6
8:34 AM - 1 Dec 2015|We ready despatch relief material Waiting fr Chennai airport get open #DelhiWithChennai #ChennaiRainsHelp pic twitter com oJ6ZiHnL4M|173|99
10:18 AM - 1 Dec 2015|TNEB help lines pic twitter com ryixtLSyqZ|232|81
10:14 AM - 1 Dec 2015|People mentioned areas contact numbers shelter #ChennaiRains pic twitter com HCrfMPQCbb|41|3
8:56 AM - 1 Dec 2015|Stay safe brothers sisters #chennairains #WhistlePodu stay strong https twitter com chennaiipl status 671732845182738432|601|560
10:10 AM - 1 Dec 2015|Shelter hundred persons ready Navy teams ready food packets water distribution #chennairains #aninews @ChennaiIPL|104|46
10:08 AM - 1 Dec 2015|Stay strong Chennai This shall pass We get thru together Let us know RT info help ppl #Chennairains|122|104
9:50 AM - 24 Nov 2015|Any Doctors #Chennai ready volunteer Medical camp conducted along flood relief measures Please Reply Others pl RT|809|166
8:22 AM - 1 Dec 2015|Helpline numbers1913 1077 044 4567 4567 Chennai relief centres case emergency Share maximum 2 help humanity @anirudhofficial|285|166
5:43 PM - 30 Nov 2015|Chennai Thiruvallur Kanchipuram Schools And Colleges Declared Holiday Due To Heavy Rain|5|8
4:36 AM - 30 Nov 2015|PALAZZO congrats @SPIcinemas launch-Forum Vijaya Mall Thx great experience #palazzobyspi pic twitter com 2ApR0vnc1B|122|355
1:28 AM - 30 Nov 2015|We 1 day away final home game league stages #ItsInOurBlood pic twitter com SgdKaeYjBU|61|192
