5:51 AM - 8 Dec 2015|#Poll 10 Being Human Vs #SRKStandsByChennai Who Do You Think Has Done More For Society|59|31
7:34 PM - 7 Dec 2015|#poll 9 Who started Looking OLD Face #SalmanKhan #SRK #AamirKhan RT vote Genuine Results|58|23
1:24 AM - 7 Dec 2015|#poll 8 Who better Upcoming Movies Line-up #AjayDevgn #AkshayKumar #SalmanKhan #SRK Retweet For More Votes|65|32
6:17 PM - 6 Dec 2015|#poll 7 KHAN'S 4 Movies releasing 2016 Which one Most excited #FAN #SULTAN #RAEES #DANGAL RT tooo|68|53
7:56 PM - 5 Dec 2015|#poll 6 Which Actor's look u excited #SalmanKhan #Sultan #SRK #Fan #AamirKhan #Dangal|127|59
3:08 AM - 4 Dec 2015|#poll 5 2 Weeks remaining 2 Biggies Lets see trend Goin 4 Which u Excited #Dilwale #BajiraoMastani|78|42
3:23 AM - 3 Dec 2015|Poll 4 Who u think main competitor @aamir_khan bollywood RT VOTE Follow us excited poll|70|26
2:41 AM - 2 Dec 2015|#poll 3 Who change release dates Eid 2016 Vote Retweet Follow us excited polls|108|39
2:42 AM - 1 Dec 2015|#poll 2 Why December special #DilwaleMonth SALMAN KHAN BIRTHDAY MONTH RT voting|199|91
10:51 AM - 30 Nov 2015|Right time plant tree first time 20 years ago second time today Plant A Tree Today @iamsrk #SRK_Tree|12|13
10:30 AM - 30 Nov 2015|This undoubtedly best gift iam sure @iamsrk happy come know #SRK_Tree|25|24
11:25 PM - 29 Nov 2015|The people refuse stand national anthem driven locked inside 'Modi Kaka' loop|9|10
