11:52 PM - 10 Dec 2015|OK Delhi Your roads win But people|1|1
1:28 AM - 11 Dec 2015|List working ATMs Branches Chennai - http bit ly WorkingBranchesnATMsInChennai #ChennaiRainsHelp #ChennaiRains #ChennaiFloods pic twitter com 2HH3c6c5k1|16|7
3:00 AM - 10 Dec 2015|80 people remain quiet even really want say something order avoid argument someone care|206|286
5:31 AM - 10 Dec 2015|Any crazy thing I plan feels like mid life crisis Fun things|1|2
9:11 AM - 9 Dec 2015|Salute @sureshpprabhu Massive improvements Railways barely year -Book train bedrolls online http m thehindu com news national book-your-train-bedrolls-online article7966608 ece|42|76
4:24 AM - 9 Dec 2015|As u grow older you'll find things you'll regret r things u didn't @AnupamPkher @TheVikramBhatt #psychiatryawareness|7|3
9:01 PM - 8 Dec 2015|Fall love person enjoys madness idiot forces u normal|30|29
6:33 PM - 8 Dec 2015|Facebook new Dariya people Neki|19|4
8:09 PM - 7 Dec 2015|I'm old enough threesome I'm excited pic twitter com 2zgjVwLgwY|24|114
4:37 PM - 6 Dec 2015|These technologies shaping future http wef ch 1lxD9dS #tech pic twitter com cnTEWt99jd|205|88
1:26 AM - 6 Dec 2015|An Indian minister @TEDTalks whoah never saw coming Truly awesome @sureshpprabhu https twitter com AmitOmhare status 673333575203221505|99|82
9:10 AM - 6 Dec 2015|I want back NO I didn't cause drift Refuse accept blame|1|0
8:53 AM - 6 Dec 2015|people don't understand stressful explain what's going head u don't even understand|156|130
7:02 AM - 6 Dec 2015|Have mentored gone become mentor Share experience http virg 5D81V pic twitter com Aoa3Blwoad|183|368
7:11 AM - 6 Dec 2015|A beginner's guide #COP21 #climatechange talks http wef ch 21ukoJt pic twitter com vp6HfeXW8c|46|30
4:56 AM - 6 Dec 2015|Ironic ads playing interval Angry Indian Goddesses anti wrinkle creams beauty products #ExternalBeautyWins|3|3
12:16 AM - 6 Dec 2015|Splendid That's word pic twitter com CLb7t70954|2|2
9:17 AM - 3 Dec 2015|Know #India's Domestic Energy Lighting Program DELP #Infographic #ILEDTheWay #IndiaAtCOP21 pic twitter com kzZd6yykQ4|372|309
1:24 AM - 5 Dec 2015|It much possible #KhaasAadmiParty era #DelhiOddEvenLogic @ArvindKejriwal pic twitter com yNDz6WI6ln|34|18
7:47 PM - 4 Dec 2015|#DelhiOddEvenLogic Now nobody talking 400 hike MLAs salary wah Sir Ji kya Timing hai #OddEvenFormula|88|59
7:52 PM - 4 Dec 2015|Am I one thinks idea won't last two days #DelhiOddEvenLogic|6|13
9:53 PM - 4 Dec 2015|#DelhiOddEvenLogic A fair Patel girl 23 years old even numbered car looking good pay scale boy odd numbered car|77|63
8:25 PM - 4 Dec 2015|Real solution Delhi pollution improve smaller cities Lower pressure supermetros Good emission norms great public transport|335|476
3:21 PM - 28 Nov 2015|NO BITCH'S COMMITING SUICIDE IN MY SHIFT pic twitter com ci4rmztikv|21K|10K
10:07 PM - 3 Dec 2015|You begin decomposing appear composed time Throw tantrum|3|4
9:30 AM - 2 Dec 2015|Bihar becomes fastest growing state terms gross state domestic product growth rate 17 06 2014-15 pic twitter com Acz9VMFxjL|337|208
7:15 AM - 25 Nov 2015|A phone booth put National Register Historic Places http smithmag co NcB1on pic twitter com cIaH4ARwdj|18|21
11:50 AM - 18 Nov 2015|Innovation happens imagine future make happen--not read report telling @vkhosla|143|99
9:53 AM - 2 Dec 2015|Some day I'd like see northern lights|3|0
1:40 PM - 1 Dec 2015|Why India could spoiler Paris climate summit http ti 1MVdzZD|39|35
2:09 PM - 1 Dec 2015|How #sleep #mentalhealth linked #brain http wef ch 1YvyUhE #health pic twitter com egriYotPRa|66|91
4:20 PM - 1 Dec 2015|Tamil Nadu government set three helpline numbers 1077 1913 044-4567 4567 Write paper #ChennaiRains|126|28
8:53 AM - 1 Dec 2015|#chennairains help line numbers pls share RT Pls help u Atleast one b benefited prayers pic twitter com WKbyD5ASE7|44|6
9:56 AM - 1 Dec 2015|Will talk national media channels tomorrow This cannot go radar The worst flood century #TAMILNADU need help|1.1K|768
10:16 AM - 1 Dec 2015|Hashtag guide next week Asking help #ChennaiRescue Offering help #ChennaiRainsHelp Asking offering volunteers #VolunteerForChennai|181|30
8:20 PM - 28 Nov 2015|I may forget said I ll never forget made feel|153|130
8:24 PM - 28 Nov 2015|One times I'd stop read something Marathi Even it's forward pic twitter com QT7qSNaqJL|1|0
11:45 AM - 26 Nov 2015|How raise kids ll grow friends advice Duck Dynasty clan http ti 21h0a5M|59|102
10:17 AM - 26 Nov 2015|Love telling someone go hell trekking way|8|8
8:59 PM - 23 Nov 2015|Just enjoyed saucer chai pic twitter com 2zvnZQipHv|29|50
7:36 PM - 23 Nov 2015|A guide help set social media strategy http hbr org 1HizTNM pic twitter com TMO43OgQFO|264|453
