1:52 AM - 11 Dec 2015|This #NLhafta discuss @SandhuKanwar's story Punjab's 'killer cop' #NationalHerald #OddEvenPolicy http buff ly 1OVAUNB|4|6
12:44 PM - 11 Dec 2015|I believe body fire I needed text someone inform I still wouldn't use exclamation mark|129|285
2:28 AM - 11 Dec 2015|Films banned India year Guess happened 2014 https plot ly thekindlyone 47 films-banned-in-india-by-year @nixxin @thejunebug pic twitter com cbs12ClZ84|52|15
8:30 PM - 9 Dec 2015|Best way understand Kejriwal another politician And ability still pretend otherwise greatest strength|23|7
8:53 PM - 9 Dec 2015|WHAT WOULD BE EXCELLENT website rates movies based scales misogyny transphobia homophobia bigotry|22|18
4:26 AM - 8 Dec 2015|For righteous outrage today Sonia Rahul's sole message familiar one VVIPs face law|436|210
4:55 AM - 8 Dec 2015|Remember India Cong stalled India's biggest tax reform Court summoned Gandhis corruption case https twitter com ndtv status 674207797932879872|757|209
4:01 AM - 24 Nov 2015|Despite otherwise cogent argument I stopped listening right said point 'mute '|220|321
1:35 AM - 8 Dec 2015|A court asks Sonia Gandhi Rahul appear case fraud Congress blocks Parliament Nation damned Family first|698|261
11:57 PM - 5 Dec 2015|The Price We Paid For Protesting Against The RSS Chief In Kolkata http bit ly 1TNuRdJ|1|0
5:16 AM - 6 Dec 2015|1957 Mobile Library For Villagers Around Delhi Mobile Library Started Cultivate Reading Habit Among Children pic twitter com uQafNvTxZj|94|86
1:20 AM - 6 Dec 2015|Classical Test Players While playing kya tuk-tuk laga rakhi hai behanchod kachue Post-retirement What legend Fan forever|166|151
9:30 PM - 5 Dec 2015|Tata Trusts Khan Academy announce five-year partnership Indian operations @RNTata2000 @khanacademy pic twitter com qqxnxQVmhH|237|128
10:52 PM - 5 Dec 2015|The demolition Babri Masjid unequivocally termed act terrorism|75|60
11:45 AM - 3 Dec 2015|Its high time announced army brat single word|4|6
8:22 AM - 3 Dec 2015|Reporter called today http chennairains org 10 mins explaining All fine Do 'touching' story|213|39
1:30 AM - 3 Dec 2015|Students India learn standards-aligned math Khan Academy English Hindi #khanacademyhindi pic twitter com nZjkNQPOQx|236|212
2:03 PM - 2 Dec 2015|Stop praying I'm clearly listening|10K|12K
12:37 AM - 2 Dec 2015|Bro Zuckerberg want advance human potential kids grow better smarter world Shut Facebook|26|45
8:15 AM - 30 Nov 2015|RT want public debate @ArvindKejriwal @_YogendraYadav @pbhushan1 Jan LokPal bill|130|12
11:22 PM - 29 Nov 2015|@greatbong I don't think i'll ever stand right somebody willing stand worth fighting|22|14
3:55 AM - 28 Nov 2015|Statement released media one Festival's founder Directors- Vikram Sampath Over past http fb 7zvt63kXL|308|126
1:14 AM - 28 Nov 2015|Tamasha When Imtiaz Ali watches 3 Idiots reading 'You win' Ranbir Kapoor gets confused Rockstar Rocket Singh|3|3
12:49 AM - 28 Nov 2015|The fact poor illiterate India gave universal adult franchise 1950 well Europe even US often forgotten today|81|38
1:38 AM - 28 Nov 2015|Intolerance I stop others speaking Not I close ears You don't understand criticise https twitter com minhazmerchant status 670505171479318528|45|40
9:13 AM - 27 Nov 2015|Today France pays tribute 130 victims attack French flags balconies via friend Paris pic twitter com lLWKj6SylS|55|54
8:13 PM - 26 Nov 2015|@vicramb Just Privileged Overentitled Prejudiced Ignorant Purveyors awful taste|1|0
8:10 PM - 26 Nov 2015|Ugh Indians money worst species planet|17|17
8:51 AM - 25 Nov 2015|Papon's take Nusrat moved tears|5|11
6:24 AM - 25 Nov 2015|Biswa best thing happen Orissa image Debashish Mohanty|7|24
11:52 PM - 24 Nov 2015|How many people trolling Aamir Khan actually seen read really said We definitely rabid lynch mob country|723|475
2:26 AM - 24 Nov 2015|Indians aren't intolerant But govt seen silent stopping members' statements incitement That issue|290|170
6:27 AM - 24 Nov 2015|Netflix stream cult Indian film 'Gangs Wasseypur' series http mash 1MzRfoq pic twitter com iqrQ0ZLlvt|124|107
1:09 AM - 24 Nov 2015|Aamir Khan becomes first citizen violate newly passed Anupam Kher law titled Nobody right call India intolerant|96|52
9:45 PM - 23 Nov 2015|Everybody's acting like they've never ever thought leaving country ever even one second ever|755|622
8:53 PM - 21 Nov 2015|Hey Young Girls apologize you've wrong keep someone mad It's okay they're mad Maybe you're mad|1.6K|3.1K
7:58 PM - 21 Nov 2015|How little takes ignite mind And miserably fail children pic twitter com rEGR6uCUrq|92|58
2:56 AM - 21 Nov 2015|OTP Not yet OTP Not yet OTP Re-orient phone Not yet Time's Up Okay Thousand years later Mars OTP 678435 tears|150|265
7:20 PM - 20 Nov 2015|I cannot overstate extent mankind screwed|3.9K|6K
7:59 AM - 15 Nov 2015|Landed Mumbai Got taste @Olacabs They made wait 45 minutes Sent names numbers 4 drivers Nobody ever appeared|131|80
3:46 AM - 15 Nov 2015|T 2059 - Honoured Abid Surti #AKRHZOnStarPlus saved water helped us realise importance every drop pic twitter com 5sgRSyZOIu|219|1K
