12:05 AM - 6 Dec 2015|#AreaUpdate 500 water bottles available opposite Sathyanarayana temple West Mambalam Go collect Any info let know #Verified|108|41
10:47 PM - 5 Dec 2015|We urgently require blankets ladies inner wear medicines food come nd pick Kindly tweet leaving ur contact #ChennaiRainsHelp|4.1K|4K
5:05 AM - 2 Dec 2015|Have stocked 600 biscuit packets 400 rusk packets Unable reach people @RJ_Balaji @Chinmayi @galattadotcom help|1.2K|1.3K
4:55 AM - 2 Dec 2015|Lead story http ndtv com http goo gl vZ77VN pic twitter com 8NBWO7dKA7|43|38
4:56 AM - 2 Dec 2015|help required around Anna nagar Have team assembled food 2000 people available contact KARTHIK9841977777|824|510
4:10 AM - 2 Dec 2015|If stranded Chennai tweet us using #NDTVFeverFMChennai ll get SOS relief officials NDTV 91 9 FM|122|60
1:41 AM - 2 Dec 2015|Marundeeshwara kalyanamandapam Anagaputhur open people need shelter tambaram chrompet tiruneermalai area|1.2K|1.3K
10:29 AM - 1 Dec 2015|Can u help us spread word help us possible Our media doesn't care #ChennaiFloods #India pic twitter com UUZwY7agCA|426|214
11:20 PM - 1 Dec 2015|manali 4month old baby along wid mother needs food n rescue aam 9840600926 @RJ_Balaji @Udhaystalin @ChennaiIPL rt|78|19
11:23 PM - 1 Dec 2015|Chennai floods Airtel announces free calls data help people affected areas http www ibnlive com news tech chennai-floods-airtel-announces-free-calls-data-to-help-people-in-affected-areas-1171464 html|42|17
11:07 PM - 1 Dec 2015|#ChennaiFloods List verified doctors hospitals available help Updated every hour Please RT #ChennaiRains http prac chennaifloods|1.9K|438
11:17 PM - 1 Dec 2015|Saidapet bridge Oh god pls b merciful Thnx Chennai police let's pray try goin across place pic twitter com aAQi5RNgUx|230|202
11:11 PM - 1 Dec 2015|@Actor_Siddharth @RJ_Balaji @thanthitv @ThalaAravint need water packets food milk 150 nos backside kotturpuram station apartment|24|3
11:14 PM - 1 Dec 2015|#PrayForChennai NEED BOAT RESCUE TEAMS AND THEIR NOS FOR SHOLINGNALLUR URGENTLY PLS PROVIDE RT FRND STILL STUCK WD KIDS #ChennaiRescue|27|4
10:07 PM - 1 Dec 2015|Shoba wedding hall saligramam belonging @actorvijay open fr anyone needs shelter Well done vijay brother #chennairains|708|589
11:07 PM - 1 Dec 2015|Fresh images @ramnathshreya Severe flooding Kotturpuram waist-length water cars submerged #ChennaiRains pic twitter com 6aVhLkl7Gp|211|407
11:07 PM - 1 Dec 2015|Ekkadudhangal defense colony completely disaster state Someone plz inform police army authorities|605|186
10:20 PM - 1 Dec 2015|@thatsTamil @thanthitv @cnnbrk Volunteers Needed Hotel Leela Palace meenambakkam 500 food parcels ready Contact Jogani 9840042152|9|4
10:22 PM - 1 Dec 2015|100 families need food water @thanthitv @tamilflashnews @RJ_Balaji https twitter com niviie_ status 671934879404134400|9|1
10:25 PM - 1 Dec 2015|RAILWAY helpline Egmore- 04425330714 central - 04428190216 - @thanthitv #ChennaiFloods #ChennaiRainsHelp #Chennai|22|2
10:31 PM - 1 Dec 2015|Chennai airport shuts rain around 4 000 stranded http www ndtv com chennai-news chennai-airport-shuts-down-after-rain-around-4-000-stranded-1250035 pic twitter com GaubNOvOhl|152|65
