3:57 AM - 30 Nov 2015|More 180 countries representing nearly 95 global emissions put forward climate targets pic twitter com amEgFyxq5w|666|1.2K
10:19 AM - 30 Nov 2015|Read international climate talks Paris important http ofa bo e5GU #COP21|525|1K
12:08 PM - 30 Nov 2015|Watch President Obama discuss build framework progress global effort tackle climate change http www snappytv com tc 1074329|816|2K
3:13 PM - 30 Nov 2015|Stand global action climate change add name http ofa bo e5Gc #ActOnClimate pic twitter com OOG1VviHCw|1K|2.3K
1:26 PM - 30 Nov 2015|The global talks climate change begun Join conversation http ofa bo e5Gb #UnitedOnClimate|700|1.7K
9:40 AM - 1 Dec 2015|Be part historic moment fight climate change join #UnitedOnClimate conversation http ofa bo d5JD #COP21|797|1.8K
10:57 AM - 1 Dec 2015|Climate change deniers trying undermine America's commitment #ActOnClimate Read http ofa bo b5OG|732|1.5K
9:43 AM - 1 Dec 2015|Big news 154 companies calling strong global action climate change http go wh gov ClimatePledge #COP21 pic twitter com ROh6S4pJOC|667|1.1K
3:26 PM - 1 Dec 2015|Sixty years later remember heroism Rosa Parks recommit fight justice equality pic twitter com NOHa4cv8DL|4.7K|8.7K
10:47 AM - 3 Dec 2015|Watch @POTUS deliver statement shooting San Bernardino https amp twimg com v 579cd15c-abb6-42d9-98e1-12aa5b55417c|831|1.5K
11:25 AM - 2 Dec 2015|Countries world standing #UnitedOnClimate join conversation part historic moment http ofa bo h9ej|893|2K
8:36 AM - 2 Dec 2015|This huge step forward #UnitedOnClimate pic twitter com E8jvEr1PXH|1.6K|3.7K
8:29 AM - 4 Dec 2015|The economy added 211 000 jobs November record-breaking 69 consecutive months private-sector job growth|1.3K|2.9K
10:07 AM - 4 Dec 2015|Employers added average 213 000 jobs month past six months We keep progress http ofa bo d5Ja|576|1.8K
2:00 PM - 4 Dec 2015|Obamacare helping millions Repealing would devastating families across country pic twitter com ShHxBdEdZq|1.4K|3.5K
12:29 PM - 4 Dec 2015|Provisions #Obamacare helped save billions dollars 80 000 lives Read http ofa bo q9RY|598|1.7K
12:39 PM - 5 Dec 2015|Here America way easy dangerous people get hands gun President Obama http ofa bo t9Sh|2.1K|4.7K
11:33 AM - 5 Dec 2015|WATCH President Obama offers condolences San Bernardino community calls common-sense gun laws http ofa bo h9f9|626|1.7K
4:00 PM - 6 Dec 2015|Tune 8 p m ET watch President Obama address nation keeping American people safe http ofa bo q9Rw|611|1.3K
5:02 PM - 6 Dec 2015|LIVE President Obama addressing nation threat terrorism keeping American people safe http ofa bo p9d0|1.3K|2.4K
8:30 AM - 7 Dec 2015|Here's Congress make harder people buy assault weapons http go wh gov ISIL pic twitter com n2N2ppcinI|932|1.4K
10:36 AM - 7 Dec 2015|Congress #DoSomething pic twitter com 0dhwrGu7wf|2.6K|5K
3:51 PM - 7 Dec 2015|Congress needs close No-Fly List loophole add name agree http ofa bo h9fM #DoSomething|731|1.9K
