9:37 AM - 10 Dec 2015|#Chennaifloods To rebuild lives continued solidarity#NenjeEzhu #ARRLIVE2016 16th Jan Part proceeds flood rehabilitation|748|1.2K
5:58 PM - 8 Dec 2015|Good Morning #Chennai it's drizzling 7 15 Overcast conditions rains r heavy predicted MET pic twitter com MA27VyC3yn|51|108
4:59 AM - 6 Dec 2015|Spoke Siddarth Cuddalore He says 'Cuddalore almost back normal Dont believe rumours ppl getting enough supply'|1.9K|1.6K
6:51 AM - 3 Dec 2015|#ChennaiMicroFund contribution A c Name V Trust A C NO 533102010503421 UNION BANK OF INDIA IFSC CODE UBIN0553310 #SiddharthRJbalaji|2.1K|1.2K
3:40 AM - 4 Dec 2015|Finally The worksmen tower sorting things Got access mobile network minute Hope things get back track soon|1|1
9:29 AM - 3 Dec 2015|#ChennaiFloods LIVE Uthamar Gandhi Salai-Sterling Rd stretch water-free Power restored Supermarkets open http thne ws 1N5qLJq|50|19
4:07 AM - 3 Dec 2015|As per sources Kadalore looking clothes food #Chennairains|2|0
8:30 PM - 2 Dec 2015|#BSNL free week others give talktime Phone companies helping #ChennaiFloods http bit ly 1HGvgNQ pic twitter com 6492ZVYvon|17|4
9:08 PM - 2 Dec 2015|Moderate rain possible next 24 hours #ChennaiFloods|26|10
9:30 PM - 2 Dec 2015|Raining Velachery #ChennaiFloods|43|13
11:07 PM - 1 Dec 2015|#ChennaiFloods List verified doctors hospitals available help Updated every hour Please RT #ChennaiRains http prac chennaifloods|1.9K|438
11:09 AM - 2 Dec 2015|Those wit group volunteer Preferably wit car Tweet ur ph Wit name area We need u #ChennaiMicro @Actor_Siddharth|611|289
11:01 PM - 2 Dec 2015|For People r spreading #Chepauk Stadium open #ChennaiRains true So please avoid spreading rumours #ChennaiFloods|60|14
5:13 AM - 24 Nov 2015|#SOLIDWORKS 2016 Will Feature Bunch New #3DPrinting Upgrades http 3dprint com 107441 solidworks-2016 pic twitter com bDyGjzJ6Vs|4|2
9:30 AM - 22 Nov 2015|A new way visualise global economy http wef ch 1lyekic #economics pic twitter com qAAwpbW7B7|152|91
9:33 AM - 22 Nov 2015|#StephenHawking We time-travellers http wef ch 1QqdJMn #science pic twitter com Yo8RZu80tr|61|81
10:01 AM - 22 Nov 2015|Ever wondered #word Fuck first used This UK #historian answer http bit ly 1UPjs1d pic twitter com srNiVQN8rK|2|5
