10:07 AM - 11 Dec 2015|I'm one people pic twitter com v5B62S26HP|586|696
1:17 AM - 10 Dec 2015|One thing Twitter well period time Teach people give fuck|6|7
12:54 AM - 8 Dec 2015|You get away moving one place another Ernest Hemingway The Sun Also Rises|720|1.4K
7:49 AM - 7 Dec 2015|You learn home always answer|3|1
1:58 AM - 7 Dec 2015|Don't defend justify insanity Show means|3|2
6:41 PM - 6 Dec 2015|When mind says give hope whispers one try|30|20
1:58 AM - 6 Dec 2015|It takes hour mentally prepare take shower everyday|3|2
1:54 AM - 4 Dec 2015|So beautiful Sigh pic twitter com ZwIpmfneDR|8|13
1:41 PM - 30 Nov 2015|Blue Lagoon Iceland A travel must Photo @threeifbysea IG pic twitter com X0cp89g5J5|1K|2.4K
3:50 AM - 2 Dec 2015|Thank much @ps_soni_ I absolutely adore pic twitter com B2NwgFgOaD|1|1
7:10 AM - 1 Dec 2015|Never dismiss past - made|12|15
2:23 AM - 1 Dec 2015|Northern Lights Always @inNatGeo #MakesMeCurious|1|6
7:14 PM - 30 Nov 2015|# intolerance myth perpetuated opposition A endearing quality India always tolerance acceptance|2|2
12:56 AM - 30 Nov 2015|Twitter confused Stand show patriotism respect Stand show coercion Sit show disrespect sit show freedom #anthem|11|3
12:53 AM - 30 Nov 2015|Standing National Anthem like touching feet elders Law doesn't force still respect tradition|222|218
12:50 AM - 30 Nov 2015|If choose name freedom liberalism others freedom ask move hell hole west|4|4
10:35 PM - 29 Nov 2015|How apt https twitter com eyecarewala status 671177264512430080|4|7
6:39 PM - 29 Nov 2015|Tip Go morning run early possible Before brain figure wtf you're instead sleeping bit longer|10|7
3:54 AM - 29 Nov 2015|This way Life's permanent question|1|0
11:51 AM - 28 Nov 2015|'It never late You always change end story '|7|9
1:09 AM - 28 Nov 2015|Once words spoken never forgotten They leave scars constant reminder never heard|4|2
4:55 AM - 27 Nov 2015|Talent is- clicking correct Download button torrent site|2|0
8:12 PM - 22 Nov 2015|Word pic twitter com qTeOFiInZz|2|3
8:54 PM - 26 Nov 2015|RT @secondofhername Why Indian Breaking Bad pic twitter com osUSEnzA6s|4|4
6:59 PM - 26 Nov 2015|I'll never understand art pic twitter com maBNOcKKCG|169|61
1:44 AM - 25 Nov 2015|One year working @yourcitystory we're close launch One last push Here's Kickstarter campaign https www kickstarter com projects 1980030019 the-city-story|27|26
3:33 AM - 24 Nov 2015|Bad ideas rally make good stories|1|0
1:07 AM - 24 Nov 2015|Girls don't give hints even love expect give indicators driving Huh|5|5
10:25 AM - 20 Nov 2015|Idontknowthisfeelingimfeelingdoyouhavethatfeelingtoo|1|0
7:33 PM - 19 Nov 2015|Love say Love|1|0
8:15 AM - 18 Nov 2015|At end day|731|602
12:02 PM - 16 Nov 2015|It began I thought It won't happen|1|1
4:04 AM - 16 Nov 2015|My stages hunger eating Still hungry Still hungry Still hungry Still hungry Oh God I m stuffed Why I eat much|883|1.5K
4:13 AM - 16 Nov 2015|Boredom injurious taste buds You eat anything bored|6|7
4:07 AM - 15 Nov 2015|ppl hometown bio Blow candles XYZ date And I'm like Sharam karo tumhare gharwale cake pe candles nahi allow Karte|1|0
