8:30 AM - 16 Nov 2015|I Indian Muslim I want say sensitive vexed issue Vegetable biryani really biryani|241|213
6:08 PM - 7 Dec 2015|My wife @myshelltabu rocked house #meme @harikondabolu #ijs #race #news http ift tt 1OQEdnc pic twitter com 0HxtpkxJV8|60|113
6:30 PM - 7 Dec 2015|Today's cartoonscape @surendracart - http bit ly 1LZZJS3 #ChennaiFloods pic twitter com BJ7ZlZBi4t|90|77
9:13 PM - 7 Dec 2015|every morning Me I've got much shit today Internet hugs don't|148|87
9:13 PM - 7 Dec 2015|All MMDs consider request medical emergency postponement orals Next date given per convenience candidate MMD|24|21
11:46 PM - 1 Dec 2015|My twitter account pic twitter com 2Z76RfdGRj|424|257
11:14 PM - 4 Dec 2015|All exams MMD Chennai postponed till notice|10|6
6:58 AM - 4 Dec 2015|If true shame Jayalalitha #ChennaiFloods pic twitter com Xgy4K3JdoE|548|157
7:17 AM - 4 Dec 2015|So people went Cuddalore allowed carry relief material ammas posters forcibly stuck|206|12
6:11 AM - 4 Dec 2015|On account grave flood situation Chennai exams scheduled MMD Chennai 7 8 Dec postponed New dates announced|14|10
8:44 AM - 2 Dec 2015|FOOD READY Saidapet region contact numbers https twitter com chennaiupdates status 672090475017273344|164|34
6:10 PM - 1 Dec 2015|Our milk lady Radha Chennai - delivering 25 years fail show morning pic twitter com WrcCITS60e|3.5K|2.3K
12:48 AM - 2 Dec 2015|#ChennaiRainsHelp Chennai corporation announces Emergency Contact Numbers regional zones city pic twitter com ry8wIavjRy|127|37
