5:54 AM - 7 Dec 2015|The easiest thing I've ever done earn million dollars difficult thing I've ever done believe could happen|416|1.2K
7:46 PM - 5 Dec 2015|A wonderful person fiercely intelligent Great filmmaker Happy birthday @shekharkapur You taught much Love|355|1K
11:13 PM - 3 Dec 2015|@SunnyLeone sizzles song launch Take look http bit ly 1ldRjkO pic twitter com zwycC4uiRX|27|145
2:36 AM - 3 Dec 2015|Omg This cute innovative must say So much mehnat dubsmash Impressed Thanksss Sushant https twitter com itsssr status 672357495805972480|524|1.2K
2:11 AM - 3 Dec 2015|Kriti one guys smashingly hot song @kritisanon @Varun_dvn pic twitter com hBpaK3tScH|1.2K|2.6K
11:37 PM - 30 Nov 2015|Dear Hardwork what's wrong please game give fight I miss - pic twitter com ZjWgpvNZlT|192|1.1K
9:41 PM - 30 Nov 2015|Did important scene @itsSSR last night He excellent https twitter com Prashan411 status 671559400948011009|118|319
8:58 PM - 26 Nov 2015|Morning coffee Bandra Just way used @maheshshetty sorry waking u pic twitter com 8vZz9FQj1G|349|1.1K
10:38 PM - 23 Nov 2015|Love short forgetting long Coming 2016 pic twitter com aKAJzVN1t1|725|1.5K
9:08 AM - 22 Nov 2015|Every moment BE loved ones look around wonder smile live v impregnate d future goes never return|514|1K
5:21 AM - 18 Nov 2015|On scale 1 10 Rate peppy melody Gulabi' #ShuddhDesiRomance featuring @Vaaniofficial @itsSSR pic twitter com yYGXjNQ77I|33|78
