10:50 AM - 1 Dec 2015|Was @LanaWWE best dressed #RAW RT If agree pic twitter com xpdsJxyG6O|132|252
10:48 AM - 30 Nov 2015|Prince joker @BiggBoss #BiggBossDoubleTrouble #BB9WithSalmanKhan #BB9|4|6
8:21 AM - 29 Nov 2015|Prince Narula 's energetic dance moves impressed Kriti Sanon Retweet impress #bb9|134|126
4:03 AM - 29 Nov 2015|RT like Digangana-Rishabh's bonding #BB9WithSalmanKhan pic twitter com MgATeD7eO9|145|205
11:14 PM - 28 Nov 2015|PRINCE NARULA Will get Maximum RT Bond Together Show BB team #BB9 @BiggBoss|100|29
2:53 AM - 29 Nov 2015|#PriyaMalik won task @princenarula88 RT agree @BeingSalmanKhan @BiggBoss @ColorsTV|21|11
2:37 AM - 29 Nov 2015|Guyz plz vote prince retweet @Prince_NarulaFC @PrinceNFans @TeamPrinceN @Team_Prince15 @TasnimPorijol13 https twitter com therealitypost status 670913815190614016|13|3
12:42 AM - 20 Nov 2015|RT thought epic fight @princenarula88 #RishabhSinha simply hilarious #BB9 pic twitter com ati2KxbZFE|172|313
4:16 AM - 20 Nov 2015|Whom like #BB9 #DoubleTrouble pic twitter com axjDfJC21w|166|235
2:55 AM - 23 Nov 2015|#BB9MyFavourite RT #PrinceNarula favourite contestant #BB9 #DoubleTrouble #TellyTalkIndia pic twitter com oe8BJBPGoV|213|119
11:33 AM - 15 Nov 2015|chose one physique Re tweet prince- Like rishab #IStandWithPrinceNarula pic twitter com yXNwFKNqQy|119|16
9:22 AM - 27 Nov 2015|Priya really need talk Prince's character We audience support Prince Rt u r Prince #bb9|158|106
