1:14 PM - 11 Dec 2015|Viciei em How get away murder|1|1
1:01 AM - 8 Dec 2015|Sorry caring Sorry trying Sorry But I'm sorry letting life|683|536
3:12 PM - 9 Dec 2015|I'm best|19|36
11:30 AM - 9 Dec 2015|I miss please talk|979|1K
5:53 AM - 9 Dec 2015|FRONT ROW TICKETS FOR #PurposeWorldTour pic twitter com h9l6kZZDqp|679|94
6:20 AM - 9 Dec 2015|M Gs FOR THE PURPOSE TOUR pic twitter com yzWYDtqW2X|94|17
8:44 PM - 7 Dec 2015|Happy Birthday Ian From Brazil Especial 37 anos - Ian Somerhalder https youtu lLYExre9eNo via @YouTube|12|10
11:10 AM - 7 Dec 2015|ur bad day look dog wearing blush pic twitter com t8Y8wUGkfP|945|1.6K
1:30 PM - 3 Dec 2015|I respect people tell truth matter hard|1.1K|968
6:37 AM - 16 Nov 2015|I'm sick old love|625|294
1:40 AM - 6 Dec 2015|Wisdom Snoopy pic twitter com BQ6qI8bEmu|356|303
4:32 PM - 2 Dec 2015|My childhood pic twitter com o88TJR4tTq|9.2K|11K
11:52 AM - 3 Dec 2015|The breakfast club pic twitter com 3SnkmxlRXe|1.6K|2.4K
5:32 AM - 29 Nov 2015|Justin via Instagram pic twitter com KuxhArhMAb|755|376
5:31 AM - 29 Nov 2015|Justin via Instagram pic twitter com mjsuPgBzRG|686|312
11:40 PM - 19 Nov 2015|say something i'm giving school|4.2K|3.2K
4:15 PM - 22 Nov 2015|Hakuna Matata These two words solve problems Pumbaa The Lion King|420|368
10:52 AM - 22 Nov 2015|RT VOTO Where Are Now Collaboration Year #AMAs pic twitter com SFTpgclj9R|880|106
5:22 PM - 17 Nov 2015|life pic twitter com tywD93oAne|8.7K|7.2K
3:09 AM - 20 Nov 2015|Nobody perfect social media real life celebs normal people love stay true|48|110
5:59 PM - 18 Nov 2015|You love Real real Real #AEsperancaOFinal|1|0
9:18 PM - 16 Nov 2015|It's 2015 It's time create world people believe live pic twitter com 7et1wskgVa|156|160
11:23 AM - 16 Nov 2015|Pre-sale VIP #PurposeWorldTour Fahlo http fahlo justinbieber pic twitter com jZLLU4HjSR|34K|51K
