7:48 PM - 12 Dec 2015|Well knew streak end point pic twitter com o4JlGBZbLa|9.2K|8.4K
5:30 PM - 10 Dec 2015|Gasol screamed Box expletive|76|85
12:52 PM - 25 Nov 2015|When loved Civil War trailer Spider-Man wasn't pic twitter com dUIERrcox7|8|12
8:49 PM - 7 Dec 2015|I'm going keep things I love I'm going stop I want You keep mad I'll keep smiling living life|2.4K|3.7K
10:03 PM - 4 Dec 2015|They won super bowl 1986 https twitter com whensnextyear status 673018937102229504|79|562
6:29 PM - 4 Dec 2015|This picture awesome #TheWalkingDead #RIPNicholas pic twitter com IHHdzYo2os|90|215
6:32 PM - 4 Dec 2015|Don't give pear pressure pic twitter com QcGwWzpDHe|3|3
4:23 PM - 4 Dec 2015|R Robert Loggia I It's Robert Loggia P Pardon Robert Loggia RIP great Robert Loggia|2.9K|6.4K
11:36 AM - 4 Dec 2015|The Marvel Universe pic twitter com fYztI57VND|128|176
7:35 AM - 3 Dec 2015|Beans Even Stevens Santa's little helper mall groupies http tinyurl com q748oam pic twitter com KdT4z4Ml6z|39|44
12:53 PM - 2 Dec 2015|Prayers family friends victims massive shooting San Bernardino CA|67|145
9:39 AM - 2 Dec 2015|When see someone flirting person like pic twitter com UHAO7Dp1Jb|420|734
9:53 AM - 1 Dec 2015|Trash guy dropped wallet house - found bottom driveway He attending game weekend BOOM|1.4K|3.9K
8:45 AM - 1 Dec 2015|This kid boss pic twitter com cKjX9cUutV|1K|2.2K
7:14 PM - 30 Nov 2015|Love aggressiveness Jimmy team go rack crunch time|9|38
7:09 PM - 29 Nov 2015|Your property belongs Negan #TWD|132|251
5:59 PM - 29 Nov 2015|LETS DO THIS|3.5K|6K
8:50 PM - 26 Nov 2015|BEAR DOWN Jay Cutler gets 1st win ever Lambeau Chicago wins Thanksgiving 1st time since 1993 pic twitter com q9YFfH3vrC|4.7K|5.4K
8:47 PM - 26 Nov 2015|Happy Thanksgiving|90|273
7:14 PM - 26 Nov 2015|Anyone else think Favre might unretire|24|52
8:20 PM - 25 Nov 2015|I care go 81-1 We first -Dennis Rodman Warriors pic twitter com kKPBgg8QKG|370|418
9:19 PM - 24 Nov 2015|Divided fall #CaptainAmericaCivilWar pic twitter com rmqY3qjnLO|21K|21K
7:26 PM - 22 Nov 2015|The Golden State Warriors good playing basketball|2|4
10:16 AM - 22 Nov 2015|Happy Sunday everyone pic twitter com 9XwEp9kATu|1.4K|2.1K
8:40 PM - 21 Nov 2015|People glasses understand pic twitter com jS4iy7XpGa|347|502
3:41 AM - 21 Nov 2015|When realize Luke Walton-Phil Jackson relationship pic twitter com w4uWrQgL9F|180|325
5:30 PM - 21 Nov 2015|You win marathon without putting bandaids nipples Kevin Spacey Horrible Bosses|38|99
2:30 PM - 21 Nov 2015|TIED end regulation Morningside 54 SXU 54 Into OVERTIME|2|1
7:48 PM - 20 Nov 2015|The Kirk Hinrich game|87|111
2:55 PM - 20 Nov 2015|Blue Mountain State real school|124|194
6:00 PM - 19 Nov 2015|Not heros wear capes pic twitter com GvKe6AnF54|588|900
9:55 PM - 18 Nov 2015|Jimmy Butler exclamation point Bulls win 103-97 Butler finishes 32 points 6 rebounds 2 assists 43 minutes|76|98
