8:30 AM - 12 Dec 2015|it's heartbreaking watch someone important change person don't want anything|142|361
5:27 AM - 12 Dec 2015|i'm never drinking NEW VLOG IS UP - https www youtube com watch v ory0LEpTvtA feature youtu pic twitter com S5alLbzee4|68|1K
1:43 PM - 10 Dec 2015|We em RT @megh_noGOOD trust issue|1|0
11:28 AM - 10 Dec 2015|First taste juturna coffee I fucked around drank brewing temp accident pic twitter com Ze2uOh2K85|7|34
12:31 PM - 10 Dec 2015|holy smokes nice video @GoPro https www youtube com watch v GL0rbxB9Lqg pic twitter com 8Hy1GxmH1Y|327|1.4K
6:00 AM - 10 Dec 2015|Don allow wounds turn someone|190|403
9:41 PM - 9 Dec 2015|#Christmas right around corner Stop #Instagram page check sweets pic twitter com 3IKYFcpuP0|1|2
8:07 PM - 9 Dec 2015|hate people yell yawn|943|2.3K
6:22 PM - 9 Dec 2015|Do love Love http instagram com p _GCKadK4M9 pic twitter com ClO1lZgM8N|15|19
8:10 PM - 8 Dec 2015|apple music incredibly flawed buggy Can please go back loading shit manually onto phone At least worked|6|28
7:39 AM - 8 Dec 2015|Only strong survive Grind fresh creative #TiNYC #tiyourstrokes #delfino #takeover https www instagram com p _CUJeawQLI|1|0
3:46 PM - 7 Dec 2015|What's favorite holiday song #reallove #realmagic #littlegods https www instagram com p _AnHhsxjaF|6|36
2:17 PM - 7 Dec 2015|256 Sometimes I refuse go door someone holds open I'm fucking lady|359|821
2:34 PM - 7 Dec 2015|#StarWars coming http ellen tv 1lKdzSZ|540|2.5K
1:02 PM - 7 Dec 2015|fuck happening 'A Charlie Brown Christmas' http bit ly 1NBZSAp pic twitter com Mqbm5NOd9H|57|191
7:33 PM - 6 Dec 2015|Only 2 half weeks left school means homework soon watching many Christmas movies one day humanly possible|217|354
4:15 AM - 7 Dec 2015|Your two favorite desserts match made heaven Learn make Brownie Cookies http www foodtv com 42g32 pic twitter com K2odL8LoE8|60|166
5:05 PM - 6 Dec 2015|Girls going date pic twitter com jrqX62km8y|272|725
