9:43 PM - 11 Dec 2015|Thank @SKECHERSUSA letting hang store today pic twitter com EnFgvPjwvG|6.4K|14K
4:01 PM - 12 Dec 2015|ever start missing someone think everything they've done you're like nah nvm|788|1.7K
10:02 PM - 30 Nov 2015|babies I'm sad I won't able make abroad December I can't wait see u reschedule next year love much|25K|50K
2:47 PM - 5 Dec 2015|resting writing singing resting writing singing I love I miss baaaaabes|25K|45K
3:28 PM - 5 Dec 2015|I love babes|34K|60K
4:25 PM - 7 Dec 2015|hahahahah @coach amazing #comethrusanta #orelse http youtu 2TJXbFdz3xY|9.6K|21K
4:26 PM - 7 Dec 2015|first day Christmas u gave kisses boy|17K|32K
9:46 PM - 7 Dec 2015|look things true love gaaaave true love|22K|42K
4:26 PM - 7 Dec 2015|true love|29K|43K
6:41 AM - 12 Dec 2015|kitties weakness|1|0
10:10 PM - 11 Dec 2015|Single Taken idk wtf going|909|1.6K
10:32 AM - 11 Dec 2015|Good morning|72|591
1:34 PM - 9 Dec 2015|For real pic twitter com Z56mq5bagz|1.5K|2.3K
4:34 PM - 8 Dec 2015|These two guys stopped get number I go I'm 17 faces priceless|171|1.3K
7:58 AM - 5 Dec 2015|Selena advertisements Adidas Pantene Apple three biggest companies world pic twitter com yuflu2Mc3K|528|441
11:11 AM - 6 Dec 2015|LA I'm coming 4 u|93|619
10:05 AM - 6 Dec 2015|Drew @Krazyrayray hope sees likes repost took forever pic twitter com A7XuXzyumF|31|319
10:39 AM - 6 Dec 2015|MY MOTHER IS CUTE https twitter com sydkate1111 status 673572232438882305|42|391
9:14 AM - 6 Dec 2015|YAAAAAS LOVE IT https twitter com kimboperplies status 673550952964579328|39|349
8:41 AM - 6 Dec 2015|ME IS HAPPY @Krazyrayray pic twitter com zlRTQDQ7mz|28|227
8:38 AM - 6 Dec 2015|BRAND NEW VLOGMAS IS UP Check 3 https www youtube com watch v XL2F5P0QAo4|63|425
1:42 PM - 5 Dec 2015|King Christmas Music pic twitter com 9whwVztaud|5K|9.4K
3:34 PM - 5 Dec 2015|I watched good 150 times I kept scrolling pic twitter com 1NklkaPmln|21K|43K
9:04 PM - 5 Dec 2015|OH FUCK pic twitter com WvXbFzWwrP|1.2K|4.2K
9:32 PM - 5 Dec 2015|picture would cute wasn't blurry I'm mad pic twitter com dJTDjPM8T1|83|1.3K
7:13 PM - 5 Dec 2015|real friends pee FaceTime|4|4
2:59 PM - 15 Nov 2015|Heading @NathanKress's wedding We got old pic twitter com wEDotoLHpD|48K|85K
2:54 PM - 17 Nov 2015|you're Christmas af pic twitter com kpgpF1ZsYp|2.8K|3.2K
1:15 PM - 5 Dec 2015|Do guys mind I combine yesterday's vlog todays vlog Just make longer interesting|69|801
12:52 PM - 5 Dec 2015|I got picture friend Im magazine didn't I know|98|965
10:05 PM - 4 Dec 2015|Which 5SOS song choices favorite - pt 2 want know really|41|109
9:31 PM - 4 Dec 2015|@Krazyrayray pizza Netflix I'm wbu|1|2
9:31 PM - 4 Dec 2015|hey someone hang wit|182|1K
2:08 PM - 4 Dec 2015|EYELINER JUST SLAYED ME BYE @Krazyrayray pic twitter com YyMd5oV8Jy|33|400
1:26 PM - 4 Dec 2015|2 videos @Krazyrayray one day i'm alive|19|191
3:47 PM - 2 Dec 2015|HOLY MOTHER OF GOD rn pic twitter com XlAkwauOyA|5|7
5:34 PM - 2 Dec 2015|Waw Zombies - MINEQUAFT Funny Moments https youtu YnHJ0Bm4WXY|1|1
5:36 PM - 2 Dec 2015|@peachyparrilla good slay layout queen|2|1
1:13 PM - 2 Dec 2015|I thought I hacked I like eh I'll deal later LMAOOO https twitter com umkeily status 672147272608575488|75|632
11:52 AM - 4 Dec 2015|hey wants another video today|108|868
11:42 AM - 3 Dec 2015|mom yelled posting smiling selfies spent much teeth braces lmao|225|1.6K
1:38 PM - 1 Dec 2015|Sorry Not Sorry Bryson Tiller My favorite song|125|735
5:07 PM - 28 Nov 2015|This couldn't accurate @Krazyrayray pic twitter com ZJeVQRVb5b|38|432
9:59 AM - 28 Nov 2015|Group chats consist pic twitter com y8RoEI6DmL|7.2K|12K
1:03 PM - 28 Nov 2015|I start vlogmas day tomorrow rip life month December|113|1.2K
12:30 PM - 26 Nov 2015|@Suplx bad tweet lmfao|8|73
12:38 PM - 26 Nov 2015|@smalIfry ngl funny tweet watched video you'd know I 1 em left|21|95
4:12 PM - 26 Nov 2015|HE BROKE THE HOOP http youtu ZEjpxBAVyig via @YouTube|45|446
10:27 AM - 26 Nov 2015|@FaZeRug happy thanks giving rugtar|1|6
10:27 AM - 26 Nov 2015|@FaZeRug HAPPY THANKSGIVING RUGGY|1|3
11:05 AM - 26 Nov 2015|@FaZeRug u|1|1
10:26 AM - 26 Nov 2015|HAPPY THANKSGIVING|195|1.3K
4:36 AM - 27 Nov 2015|Got bad habits including|516|487
10:27 PM - 26 Nov 2015|There still time vote friend @TyBlakeBarham Let make landslide #NashNext http NashNextCountry com challenges|13|52
1:35 AM - 26 Nov 2015|Don't care pic twitter com a5mu34vsp8|1|2
5:49 PM - 26 Nov 2015|Next thing #ImThankfulFor friends https instagram com p -kcMmoErhn pic twitter com c67riuKX7H|63|737
12:48 PM - 26 Nov 2015|AWWWW WTF I LOVE YOU SO MUCH https twitter com umkeily status 669977156189982720|49|528
10:04 AM - 25 Nov 2015|Evolution Justin Bieber's voice pic twitter com WonAZmBFyg|86K|110K
2:48 PM - 25 Nov 2015|went tell dad I period said I pregnant|1|7
12:32 PM - 22 Nov 2015|Lucky baby supporting pic twitter com rJ69vB3208|2|3
10:42 AM - 22 Nov 2015|When you're trying take cute pic friend won't stop screwing around pic twitter com lsFkzjh29J|6|18
8:20 AM - 22 Nov 2015|Game day today I'm ready|1|2
7:59 AM - 22 Nov 2015|I get hopes I watch fall everytime|4|4
11:39 AM - 19 Nov 2015|@lifeofablondee @JordynFaith_|1|1
4:52 PM - 21 Nov 2015|Help pic twitter com zXI6vK3IUY|43|3
4:42 PM - 21 Nov 2015|way part 2 pic twitter com qRQKA2E0AC|9.8K|10K
10:13 PM - 21 Nov 2015|someone bring panda|1|1
