7:03 AM - 11 Dec 2015|Want win tickets Monday's Miami Dolphins game PLUS pre-game experience RT #Fins Details http buff ly 1lTZ1k1|62|26
9:45 AM - 10 Dec 2015|Is familia tracking Santa's journey Watch w @ATTLatino @Uverse Santa Tracker https youtu 9_4cHB8HMDE #MovilizandoTuMundo #ad|6|4
2:58 PM - 10 Dec 2015|#TBT looks like #williamlevy high school thnx pic @JoseResendez #levyrroni #LevyAmigas pic twitter com 8OzU3eMt1y|21|22
11:46 AM - 10 Dec 2015|@webcitygirls @JoseResendez live #SnapChat everyone learning two #teclaawards https twitter com Ponderful status 675038048598495233|1|5
3:41 PM - 8 Dec 2015|Last week @JoseResendez I presence #elliegoulding Here's said http oceandrive com ellie-goulding-on-mac-cosmetics-collaboration-and-being-in-taylor-swift-squad @OceanDriveMag|1|2
7:36 AM - 8 Dec 2015|Glad back #PipelineGables https twitter com joseresendez status 674250708129050624|1|3
1:48 PM - 7 Dec 2015|@JoseResendez hope enjoyed Thank visiting us|1|2
12:13 PM - 7 Dec 2015|SAINT WEST pic twitter com xZGpY7z8KW|110K|150K
4:07 AM - 6 Dec 2015|Fifth Harmony stage #GSPartyLatino via @JoseResendez pic twitter com aGMwwHRQvD|49|39
10:19 PM - 5 Dec 2015|Fifth Harmony onstage via @JoseResendez #GSPartyLatino pic twitter com i369nT0Twk|317|434
9:46 PM - 5 Dec 2015|Fifth Harmony performing Dame Esta Noche #GSPartyLatino via JoseResendez snapchat pic twitter com wX5wqK5TGl|313|364
9:46 PM - 5 Dec 2015|Fifth Harmony performing Dame Esta Noche #GSPartyLatino via JoseResendez snapchat #2 pic twitter com vO84VJfCf2|337|374
9:46 PM - 5 Dec 2015|Dinah #GSPartyLatino via JoseResendez snapchat pic twitter com 3oIPzyMNIL|252|365
9:53 PM - 5 Dec 2015|Fifth Harmony stage #GSPartyLatino via @JoseResendez pic twitter com HaRJ6zeobJ|338|369
6:45 PM - 4 Dec 2015|Kylie Jenner jets Miami Art Basel http jus tj xem pic twitter com Ox8RnZS0Zs|11|31
7:30 PM - 4 Dec 2015|Siiiiii- #influencers coast coast unite #Miami - whoooo @LincolnMotorCo #TheFeelingStays #LincolnMKX pic twitter com IfmuE7Qbyb|8|12
4:22 PM - 4 Dec 2015|Waving hello @JoseResendez I spy little phone #mazdadesign #drivemazda @MazdaUSA abrazo pic twitter com tXvNf4R2HX|5|2
2:18 PM - 4 Dec 2015|See #VFSC https twitter com joseresendez status 672900292107718660|2|3
2:09 PM - 4 Dec 2015|Looking forward seeing Miami Social peeps tonight @JoseResendez @meeshsparks @RachelLaurYoung @sethtravis @HollyKDelgado @SSStyle1|2|5
10:56 AM - 4 Dec 2015|@JoseResendez Yes please|1|2
9:10 AM - 4 Dec 2015|@JoseResendez @VanityFair @LincolnMotorCo lol HAWT|1|2
2:43 PM - 3 Dec 2015|thank much sharing https twitter com msal213 status 672545300272300032|2|2
2:48 PM - 3 Dec 2015|@msal213 Ahhhh talk best ever Thank u @JoseResendez #NellyFurtado pic twitter com XtOeQ6Qr5V|4|2
2:37 PM - 3 Dec 2015|Ahhhh talk best ever Thank u @JoseResendez #NellyFurtado pic twitter com bzNgebpbB9|8|3
1:24 PM - 3 Dec 2015|Amazing event https twitter com joseresendez status 672291620667158528|1|2
8:28 AM - 3 Dec 2015|@JoseResendez Here gift think special #Trendsetter life love https cards twitter com cards 151kpl 17n7y|1|3
11:11 PM - 2 Dec 2015|@elliegoulding's Wish List Hall Pass List https twitter com JoseResendez status 672311781268848640|1|2
10:50 PM - 2 Dec 2015|My amazing @joseresendez got BEST picture right front @elliegoulding performed She https www instagram com p -0fpjwluNv|1|2
10:14 AM - 1 Dec 2015|@joseresendez @lasgringasblog getting intimate w @maksimc @swayshow #swaymiami #theartofdance https www instagram com p -wkSpGFNeb|4|7
