6:35 PM - 12 Dec 2015|If you're reading I love active mother lovers|96|321
7:55 PM - 12 Dec 2015|Like awake|42|265
5:14 PM - 12 Dec 2015|PSN OR XBOX NightShadow37|120|295
4:07 PM - 12 Dec 2015|CAN I MAKE THIS A LITTLE MORE FUN|191|398
4:06 PM - 12 Dec 2015|WANT ME TO JUST PICK RANDOM ON TWITTER|244|438
4:10 PM - 12 Dec 2015|RETWEET TWEET OUT THE VIDEO GTA 5 DLC UPDATE GAMEPLAY - NEW WEAPONS REVOLVER https youtu NpGvTn_yWpE WHOEVER DOES IT THE MOST WINS|501|412
3:53 PM - 12 Dec 2015|OK HOES PSN OR XBOX CODE TO WHOEVER RETWEETS THIS TWEET FOLLOWERS ONLY NEW VIDEO IN 5 MINUTES HUGE MUST BE FIRST|635|414
3:57 PM - 12 Dec 2015|WHOEVER GETS FIRST LIKE WINS|143|464
3:58 PM - 12 Dec 2015|RETWEET TO WIN PSN OR XBOX CODE GTA 5 DLC UPDATE GAMEPLAY - NEW WEAPONS REVOLVER AK74U GTA 5 https youtu NpGvTn_yWpE #GTAOnline|638|352
2:53 PM - 12 Dec 2015|Do want PSN Xbox code giveaway tonight|157|365
1:31 PM - 12 Dec 2015|OK PSN OR XBOX CODE TO WHOEVER RETWEETS THIS TWEET FOLLOWERS ONLY NEW VIDEO IN 6 BE FIRST|603|346
1:22 PM - 12 Dec 2015|WHO WANTS A NEW VIDEO|58|211
