9:25 AM - 12 Dec 2015|Google Needs To Toughen Up Its Stance Copyright Protection http dlvr D03FXN|1|0
6:20 PM - 10 Dec 2015|Attn @MissusQR Speaking Christmas cards https twitter com EvilGalProds status 675011985772277760|1|1
8:12 AM - 9 Dec 2015|5 Things You Probably Get Wrong About British http ow ly VFwnH|1|0
8:10 AM - 9 Dec 2015|Flannery O'Connor lamppost Decatur Ga pic twitter com Y9budyh0mC|69|120
1:04 PM - 5 Dec 2015|OMD - 4 Neu 1983 A simple yet beautiful tribute legendary Krautrockers - You eternally https youtube com watch v 50y6nYdZvow|2|3
3:00 PM - 8 Dec 2015|Immortalizing USSR's space dogs posters candy wrappers stamps postcards http www atlasobscura com articles vintage-images-of-canine-cosmonauts-from-the-ussr pic twitter com Hp54c1aIsV|77|77
10:03 AM - 7 Dec 2015|What mean rock star @marteeeen knows http n pr 1N6NGpY pic twitter com aamKgi0v2U|4|7
12:31 PM - 7 Dec 2015|Download 10 000 1st Recordings Music Ever Made UCSB Cylinder Audio Archive http goo gl vQLc53 pic twitter com j9yiD7RBP1|78|96
7:22 AM - 7 Dec 2015|Such fabulous issue @oxfordamerican https twitter com osttalk status 673864303196307457|2|3
1:52 PM - 3 Dec 2015|Time haul Bauhaus nativity pic twitter com p5ls7fvPTT|2.1K|3K
9:23 AM - 5 Dec 2015|Wow My day's getting better better sensational review Alice Thompson The Herald http www heraldscotland com arts_ents 14124675 Recommended_reading__Alice_Thompson___s_gothic_chiller_and_Meaghan_Delahunt___s_short_stories ref twtrec|6|5
5:12 PM - 4 Dec 2015|It would led tears heartbreak https twitter com CarConnection status 672944998136995840|1|3
1:27 AM - 2 Dec 2015|2 One finest things ever written sung Will bend heart can't mended #RickAdvent https www youtube com watch v wYmYnsXc_LM|3|3
5:06 AM - 2 Dec 2015|My two favorite albums year @kendricklamar @JasonIsbell - glimpse two distinct sides America fiercely authentic|1|0
5:09 AM - 2 Dec 2015|George Orwell's original review Arthur Kostler's Darkness Noon http www newstatesman com cultural-capital 2013 01 what-am-i-fighting-george-orwell-arthur-koestlers-darkness-noon|2|1
10:01 AM - 2 Dec 2015|She's future It Only Took Five Songs Maren Morris Change Country's Game http www villagevoice com music it-only-took-five-songs-for-maren-morris-to-change-countrys-game-7973057 via @VVoiceMusic|6|12
10:01 AM - 2 Dec 2015|Listen Americana-tinged new song High Notes @iamkatygoodman La Sera's new LP http www myoldkentuckyblog com p 54112 pic twitter com 74ITYtSNlq|1|2
6:13 AM - 2 Dec 2015|Count days #Christmas @LUMAChicago's online advent calendar http bit ly 1XEcgkL pic twitter com LTp3Rv2cLb|8|12
12:35 PM - 29 Nov 2015|The slow death nightclubs http bit ly 1OEGZwJ|11|13
2:23 PM - 30 Nov 2015|The Rutles @NeilInnes @elliottrandall @PhilActionJack plus @MichaelLivesley Rodney Slater today rehearsals pic twitter com v5ZWdRLZLo|2|5
10:11 AM - 29 Nov 2015|Just I'd like see Pope mid-sermon collapse one knee like James Brown refusing get cardinals help|27|68
