1:00 PM - 11 Dec 2015|i'll coming home 10 years pic twitter com 4dhtHhJeFN|612|700
9:56 AM - 10 Dec 2015|FUZZY SOCKS pic twitter com 72aBurKWLx|1.1K|1.9K
6:20 PM - 9 Dec 2015|Rescued Lioness giving love adoptive father via Black Jaguar White Tiger Foundation pic twitter com dbMGQ2b7sA|698|858
3:35 PM - 9 Dec 2015|i'm sucker guy plaid pic twitter com oufKgUDpvc|287|468
1:43 PM - 9 Dec 2015|Im crying pic twitter com ZrNsOkiWzj|8.7K|15K
3:52 PM - 22 Nov 2015|My girlfriend wanted watch new Hunger Games I didn't want compromised we're going watch new Hunger Games|57K|96K
10:36 AM - 7 Dec 2015|pic twitter com t479vk7Ekv|1.9K|2.6K
1:57 PM - 8 Dec 2015|thought sunset pretty thought prettier pic twitter com 9bI1QiFvj4|1.8K|2.5K
4:55 PM - 8 Dec 2015|Give carbs pic twitter com 9FPLmQjVq4|22|54
10:48 AM - 3 Dec 2015|pray pray pray marriage like pic twitter com RqmDWXcRkH|39|43
8:14 AM - 28 Nov 2015|Me wife pic twitter com CSgSIdNkQn|19K|27K
1:09 PM - 27 Nov 2015|Boy say PINK it's even pink pic twitter com jpWjrc27Cr|14K|20K
12:28 PM - 25 Nov 2015|20 200 date don't care thank taking date nonetheless|966|3.2K
4:58 AM - 24 Nov 2015|When I'm late school pic twitter com kVYpkV7mc7|8.4K|11K
7:52 AM - 23 Nov 2015|Just I'm talking doesn't mean I'm bad mood Sometimes I like quiet|85|66
6:43 PM - 23 Nov 2015|I check grades bank account pic twitter com N6Q8KiV7bQ|7.6K|12K
10:16 PM - 21 Nov 2015|There certain sides people wish never saw|5|6
6:16 PM - 19 Nov 2015|I really wanna wearing husband's t-shirt flipping pancakes pretty house good job 2 big dogs That's|7.6K|15K
12:41 PM - 18 Nov 2015|How feel college https vine co v e7YiW5JqVit|6.6K|6.6K
7:17 AM - 17 Nov 2015|you're really serious left alone pic twitter com p8Y7FEoxb4|216|301
9:57 AM - 16 Nov 2015|People say go big go home going home bad thing Like hell yeah I wanna go home I'm gonna take nap I get|279|361
9:07 AM - 16 Nov 2015|teenagers kids I'm like pic twitter com 0FEvpZUB8L|5.8K|9.7K
