2:06 AM - 13 Dec 2015|@TwitWhizz SALUTE|8|4
8:18 AM - 12 Dec 2015|The 's #TURNEDUP_TEAM @Twdfan45 @Trans1110 @Reanimator909 @Marc_1TT @AintitMarvelous @Jerz_Gal @SmallAssAcct #F4F #GAIN_FAST|18|16
8:55 PM - 11 Dec 2015|With new deal @JasonHeyward able blow A LOT money Windy City http www fanly int ax1uCNdCwY pic twitter com nMRn6GObto|7|15
2:46 PM - 11 Dec 2015|# aeesha_xx TFBGainTrain ChnAksy qwerty101561 Chubby_MGWV|22|9
4:26 AM - 9 Dec 2015|Pls #RT Could Lola show girl #dog cat friendly Kids 8 http lastchancehotel org lola html #FFH #woofwoofwednesday pic twitter com 4WFnqgQ89c|42|18
8:32 PM - 10 Dec 2015|TOP FOLLOWS @Marc_1TT @SweetOrSassy90 @JulezPooh @Jerz_Gal @Dollhouse #MGWV|17|16
11:18 AM - 9 Dec 2015|#WinrZ @danielcorreav @Marc_1TT #MGWV #Tu rnedUp #TeamTwittWhizz #AVB #DOLLIAN #TEAMTRANS #TEAMGENISIS #LuveZsaveZdogZ #TheWorld|6|4
6:38 AM - 10 Dec 2015|Sweet pup @TheRealToriNYC @AnimalsNyc @nycscr @Animals1st @_AnimalAdvocate @animalvoice777 @ARCrusade @Elverojaguar https twitter com sookie_grace status 674768743474442240|9|10
7:16 AM - 10 Dec 2015|@Animals1st Horrorous #StopAnimalTesting please forevermore|4|4
9:53 AM - 10 Dec 2015|This footage appears show 'wounded' cattle slaughtered leather http trib al zelLGiz @ChrisLiebing @joannakrupa @Animals1st|14|12
9:54 AM - 10 Dec 2015|Ivory Poachers poison vultures hide presence @WildlifeMag http www discoverwildlife com news vultures-poisoned-ivory-poachers utm_source Adestra utm_medium Email utm_content utm_campaign WL_101215_newsletter_39412_BBC 20Wildlife 20Magazine_Newsletters @Nigelmarven pic twitter com kmEB3QxHTm|56|26
8:46 AM - 10 Dec 2015|RT MIPooh Dec 10 Alert Some 23 #NewYorkCity #Pets Targeted By #NYCACC For Death This PM #Adopt #Dogs #Cats pic twitter com erlb0vwY92|91|29
12:15 PM - 10 Dec 2015|Miniature poodle's fur matted left blind unable walk http dailym ai 1QhjbRO pic twitter com AFR32UzR16|59|21
12:15 PM - 10 Dec 2015|Chinese 'house horrors' 10 000 rabbits killed EVERY DAY http dailym ai 1QgTL6Z pic twitter com bIcLRJJhWA|75|22
12:17 PM - 10 Dec 2015|Honestly heck wrong China I feel I post horrific animal cruelty stories everyday|15|18
12:19 PM - 10 Dec 2015|Rescue crew remove plastic fork sea turtle's nose http dailym ai 1lR4cAZ|15|16
1:12 PM - 7 Dec 2015|Not heroes come chimney #MacroAllTheWay https amp twimg com v e46e583c-3aba-4d7d-b07f-6d1e5dc4521e|75|151
2:50 PM - 9 Dec 2015|Clydesdales reindeer can't get job done #MacroAllTheWay pic twitter com dST7232kc1|117|185
11:34 AM - 10 Dec 2015|The 139-year-old gift you'll ever want #MacroAllTheWay pic twitter com psfIJwgaIL|89|127
