1:45 AM - 10 Dec 2015|@RaeBennison get well soon|1|1
10:01 AM - 8 Dec 2015|The queen wears hijab instead crown due radicalisation #TrumpFacts pic twitter com Tvqsxg6PhQ|1.5K|1.1K
7:50 AM - 8 Dec 2015|Clearly age define maturity|1|1
7:47 AM - 8 Dec 2015|I actually despise there's one world I hate come close|1|1
7:47 AM - 8 Dec 2015|Unappreciative cow|1|1
2:38 AM - 8 Dec 2015|u need rn https vine co v OdmBVLebliH|2.3K|3K
9:48 PM - 6 Dec 2015|Mentally I ready Christmas financially I ready Christmas|642|696
3:50 PM - 5 Dec 2015|Remember fucking gem pic twitter com PifHgYbnIk|1|3
2:47 PM - 5 Dec 2015|When someone takes hours reply ur like right I'm gunna msg back hours see like 2 mins later ur like hi|2.2K|4.8K
2:41 PM - 1 Dec 2015|I'm dead pic twitter com CVn6eWp5mX|19K|20K
5:47 AM - 2 Dec 2015|Sir Gerald Kaufman's speech echos sentiments exactly The voice reason please listen Cameron #SyriaVote #stopthewar|2|2
3:03 AM - 29 Nov 2015|every day slay december sleigh|5.7K|8K
2:42 PM - 28 Nov 2015|#ImACeleb What's point Eubank isn't punch Mrs C|28|59
2:40 PM - 28 Nov 2015|Oh god deck already #ImACeleb|33|78
4:03 AM - 28 Nov 2015|Largest protest human history PLP closed ears Don't make mistake #DontBombSyria pic twitter com xuzlwWochB|539|330
4:52 AM - 28 Nov 2015|The difference America UK https vine co v eIrpA5qdLU9|2.8K|4.3K
7:25 PM - 22 Nov 2015|When open convo start typing http vine co v iBlaKB37A3b|12K|12K
12:09 PM - 22 Nov 2015|Just wish people would shut fuck Justin bieber tbh|2|0
3:29 AM - 22 Nov 2015|I looking forward Christmas I remembered Galaxy Truffles removed boxes Celebrations|494|779
1:44 PM - 15 Nov 2015|Is anyone hasn't google Lady Colin Campbell #ImACeleb|27|82
7:13 AM - 15 Nov 2015|Disgusting propaganda connivance Corbyn But surely public wise lies Bri https twitter com chelleryn99 status 664926732428959744|342|267
