8:31 PM - 12 Dec 2015|@SheliaHand44 thnk flowing Keep touch God blss|1|1
4:23 PM - 12 Dec 2015|Read #ParisAgreement United States working #ActOnClimate http go wh gov tb88pi via @WhiteHouse #COP21|77|71
11:56 AM - 12 Dec 2015|@USNavy @NavalAcademy that's right|1|2
3:51 PM - 11 Dec 2015|Join #BalmainArmy So excited @ORousteing Balmain's Fall 2015 2016 collection Kim Kardashian Game pic twitter com yQYvOOGDLF|549|3.1K
1:06 PM - 12 Dec 2015|# Forex News Forex Analysis http googling co forex-news-and-forex-analysis|1|1
1:06 PM - 12 Dec 2015|I don't quite know summarize video 140 characters I love http bit ly 1M9EBZD|66|110
11:56 AM - 12 Dec 2015|@StateDept @SheliaHand44 @JohnKerry @opinionsamerica People want right stop putting taxpayers money pocket devil|1|2
11:54 AM - 12 Dec 2015|Not Going stop listen us say #screwyouclimatechangefaux https twitter com sheliahand44 status 675764838480674817|1|1
12:18 PM - 12 Dec 2015|@SheliaHand44 @StateDept @JohnKerry @opinionsamerica sometimes I don't make sense wording doesn't come right #anxietyproblems|1|2
12:14 AM - 9 Dec 2015|You Better Watch Out @santacon coming http santacon nyc #SantaCon @AnthonyQuintano https vine co v O6DEzmhQJ63|116|123
7:42 AM - 11 Dec 2015|3rd day Christmas baby gave gift certificate favorite CDs pic twitter com O6us0cxmBB|53|50
7:42 AM - 11 Dec 2015|2nd day Christmas baby gave keys CLK Mercedes pic twitter com 8w74XIphMT|80|82
11:36 AM - 12 Dec 2015|Excited upcoming #GX3 panel anthology The State Play contributors @EvNarc @Quinnae_Moon book's editors|14|66
11:37 AM - 12 Dec 2015|17 Photos Victoria's Secret Models Shamelessly Taking Backstage Selfies http bit ly 1J31aPD pic twitter com bjlGhF7V1U|24|88
11:39 AM - 12 Dec 2015|Punctuation quite divisive topic http nypl org 1QBrIh5 pic twitter com xxY7gJ2SBH|47|55
11:39 AM - 12 Dec 2015|#Two rare Ferraris sold Retromobile 2016 http googling co two-rare-ferraris-to-be-sold-at-retromobile-2016 pic twitter com oLzdIQsD2S|1|1
11:39 AM - 12 Dec 2015|#Fashion Celebrities Share #ClimateCatwalk Selfies To Raise Awareness Of Global http trendking xyz fashion-celebrities-share-climatecatwalk-selfies-to-raise-awareness-of-global pic twitter com VZUhGsULEL|1|1
11:41 AM - 12 Dec 2015|Your financial planner CPA lawyer joining tech revolution Be afraid http onforb es 1mbvPp9 pic twitter com l9ScrVZ2Zq|69|122
11:45 AM - 12 Dec 2015|Beyonc Bradley Cooper Make Movie Magic Together http elle com 6010BTCis pic twitter com oE8sVJnSRa|30|81
11:45 AM - 12 Dec 2015|Check behind-the-scenes photos @JohnKerry U S delegation #COP21 https flic kr aHskqCniFb #GoCOP21 pic twitter com fFc8eq6dGk|96|98
11:28 AM - 8 Dec 2015|Honestly loyalty important Love one|104|115
11:46 AM - 12 Dec 2015|Selena Gomez belle Jingle Ball NYC http eonli ne 1NVEAtv pic twitter com D1kZQLR45j|149|490
11:47 AM - 12 Dec 2015|What hottest hair color trend 2016 http instyle io MxO1gJU pic twitter com czbWtBHOAb|35|58
2:55 AM - 12 Dec 2015|Things heating #COP21 pic twitter com EtcKmcCpYv|11|12
11:23 AM - 12 Dec 2015|Beyonce's Backup Dancer Went From Busting Moves To Busting Heads As MMA Fighter http bit ly 1jTmtMW pic twitter com 1OLD2QyqAl|1|1
9:44 AM - 12 Dec 2015|Apple Watch comes Walmart discounts yet http mash 1SU2ObL pic twitter com X1Xp4GTrU8|35|44
9:47 AM - 12 Dec 2015|#Katy Perry Joins The Ranks Celebrities Fighting Against Climate Change http googling co katy-perry-joins-the-ranks-of-celebrities-fighting-against-climate-change|1|2
9:47 AM - 12 Dec 2015|#5 cool affordable gadget gifts Christmas http googling co 5-cool-and-affordable-gadget-gifts-for-christmas pic twitter com b1b7fLiwsw|1|2
8:47 AM - 12 Dec 2015|Should @TheTide signings next year tour Share much case see|21|11
