3:03 PM - 12 Dec 2015|looks first question exam looks camera like Jim The Office|1.7K|3.1K
10:25 AM - 10 Dec 2015|Thank much HFP congrats sistas @brielarson what's face pic twitter com 4s2gD27m08|537|2.3K
3:48 AM - 12 Dec 2015|The 1989 World Tour officially beautiful chapter story far Thanks|36K|93K
4:21 PM - 11 Dec 2015|lowercase ppl chosen|1.1K|5.6K
4:15 PM - 11 Dec 2015|wait Lorde lorde guys choose god's ear|1.1K|5.5K
4:15 PM - 11 Dec 2015|guess got famous enough twitter upgrade lil handle name-only status lol thanks @twitter|1K|5.2K
6:30 AM - 10 Dec 2015|NME COVER pic twitter com yVQMwdwjJH|18K|29K
10:06 AM - 9 Dec 2015|If contemporary models come close supermodel title it's @KendallJenner @GigiHadid http vogue cm HpwGTkY|454|1.6K
5:37 PM - 8 Dec 2015|Why didn't text back pic twitter com e6YXAytkGe|1.6K|3.7K
2:12 PM - 8 Dec 2015|God bless JK Rowling pic twitter com iO0DZeV81H|2.4K|5.8K
10:01 AM - 8 Dec 2015|A 1988 prediction Los Angeles would look like 2013 pic twitter com hJOF9pcFGd|559|763
6:39 PM - 7 Dec 2015|Hey Leslie It's Leslie Hang I love Bye -Leslie Knope|2|3
12:56 PM - 7 Dec 2015|Saint West already better rapper iggy azalea|1.7K|2.7K
12:28 PM - 7 Dec 2015|13 4K tweets Saint West worldwide less 15 minutes #IMPACT|28|48
12:13 PM - 7 Dec 2015|SAINT WEST pic twitter com xZGpY7z8KW|110K|150K
12:19 PM - 7 Dec 2015|Yeezus Gives Birth To Saint|70|61
12:00 PM - 6 Dec 2015|bruh Ahmed played everyone pic twitter com Un5uOme36j|1.9K|4.1K
5:28 PM - 3 Dec 2015|self esteem great thx asking pic twitter com j4mj7ksGyw|1|3
8:19 AM - 1 Dec 2015|Cant wait tomorrow I show project mine I've keep wraps far long K|311|1.7K
1:00 AM - 30 Nov 2015|Christians Muslims brothers sisters must act|26K|37K
8:04 PM - 28 Nov 2015|less 4 weeks Christmas pic twitter com HckTgCA5hP|4.6K|6.6K
11:15 PM - 27 Nov 2015|@JamieEgan1 u know|1|4
11:12 PM - 27 Nov 2015|sexiest food avocado|1|5
3:17 PM - 26 Nov 2015|I love Thanksgiving When else eat much watch football Except like every weekend|1.7K|7.2K
12:06 PM - 26 Nov 2015|I'm thankful fact Christmas less month away|1|6
8:28 AM - 26 Nov 2015|Thankful much days Now bring mashed potatoes|1|4
8:14 PM - 25 Nov 2015|Is anyone else obsessed w three pic twitter com wiaCnx2gow|1|7
7:50 PM - 25 Nov 2015|hello it's pic twitter com KEIK7gwW9t|2|19
7:43 PM - 24 Nov 2015|I hate family member asks I'm dressed thanksgiving I'm Kim family that's|5.2K|5.5K
2:24 PM - 25 Nov 2015|The gang's #Friendsgiving pic twitter com UUlYYp3JCR|5|11
2:12 PM - 24 Nov 2015|Adele Jennifer Lawrence Emma Stone I get friendship pic twitter com 1dR2Mo4S4n|2.1K|7.4K
2:00 PM - 24 Nov 2015|ur mom start tellin whole family ur business thanksgiving dinner got everybody laughing u pic twitter com deVtmut1hy|5K|8.6K
7:46 PM - 23 Nov 2015|I'm excited begin new life snail|1|17
7:41 PM - 23 Nov 2015|holy trinity pic twitter com wxL3GTlc9U|2|7
10:31 PM - 21 Nov 2015|princess diaries movie came mia's bushy eyebrows super freaky 2015 everyone's like want|7.2K|18K
2:15 PM - 21 Nov 2015|So who's gonna outsell Adele pic twitter com L8kcIx6I6A|7K|5.7K
8:41 AM - 21 Nov 2015|This people hate us https twitter com katycorrea16 status 668087395552796673|2|28
10:55 PM - 19 Nov 2015|every time I go Netflix watch something new I end PARKS AND REC THE OFFICE ahhhhh|1|8
10:04 AM - 18 Nov 2015|My everything pic twitter com dHl7v5EKDi|7.8K|28K
