6:02 PM - 12 Dec 2015|It's Sunday I'm Breathing I'm Alive I'm Blessed I'm Thankful God Is Good God Great Have Blessed Sunday AMEN|175|112
6:03 PM - 12 Dec 2015|I may look calm But head I killed three times|65|36
6:23 AM - 11 Dec 2015|Dear God I'm asking anything today I want say thank You I love You|233|206
5:32 PM - 12 Dec 2015|Lord thank You waking today I healthy I blessed I love You Amen|172|149
6:15 AM - 12 Dec 2015|Tired nice people don't deserve|206|157
6:49 PM - 3 Dec 2015|Some people never change accept|194|164
4:26 PM - 29 Nov 2015|The funniest people often also depressed|259|449
4:00 PM - 24 Nov 2015|I thought couldn't get hotter pic twitter com 6tjJXpkYeN|15K|24K
5:26 AM - 29 Nov 2015|My mood changes thousand times day|249|198
6:39 PM - 28 Nov 2015|Chocolate Lava Cake Ice Cream pic twitter com d9mWMNCk61|679|451
6:20 PM - 28 Nov 2015|Chocolate Frosted Donuts pic twitter com jfbnmF2tVW|325|237
5:45 AM - 29 Nov 2015|Overthinking kills happiness Insecurities kills self-esteem Lies kills trust|143|110
5:45 AM - 29 Nov 2015|The important conversation day God Remember pray|524|623
5:46 AM - 28 Nov 2015|Pretending re fine re dying inside|877|703
2:51 AM - 29 Nov 2015|Never forget much God loves|262|276
2:48 AM - 29 Nov 2015|Talk express impress|70|49
9:57 AM - 28 Nov 2015|Once you've hurt you're scared get attached You fear everyone like gonna break heart|3.4K|2.8K
2:50 AM - 29 Nov 2015|You know I feel you'll never understand|154|118
11:30 AM - 28 Nov 2015|Every pain gives lesson every lesson changes person|328|203
12:30 PM - 28 Nov 2015|Say feel it's rude it's real|332|240
4:24 PM - 28 Nov 2015|i'm teenager hobby stay late every night|115|83
6:20 PM - 28 Nov 2015|Be real leave alone|280|242
7:41 PM - 28 Nov 2015|Never change please someone else|241|201
8:59 PM - 26 Nov 2015|Every time ask I'll pretend I'm okay|49|38
11:14 PM - 26 Nov 2015|I act like I don't care deep I swear kills|49|34
5:25 PM - 27 Nov 2015|My silence expression pain|109|80
6:03 PM - 27 Nov 2015|Keep calm carry Don't let people bring Focus love forget ones don't|44|38
1:56 AM - 28 Nov 2015|Drug life Thug life My life|118|79
2:08 AM - 28 Nov 2015|True love loyal friends two hardest things find|51|55
6:22 AM - 28 Nov 2015|In school learn lessons take test In life take test learn lesson|109|75
4:45 PM - 28 Nov 2015|Sometimes prettiest smiles hide deepest secrets|106|70
7:56 PM - 28 Nov 2015|Crying doesn't mean you're weak It means you've tried hard|162|116
3:39 PM - 28 Nov 2015|i'm sorry expect|42|33
4:40 PM - 28 Nov 2015|Lord thank waking today Amen|67|54
6:10 PM - 28 Nov 2015|TRUE friends like parents Sometimes don't like theyre saying always love enough tell what's RIGHT|42|33
6:26 PM - 28 Nov 2015|FACT Girls lot CRUshe's HEARTS belong one guy|42|28
6:44 PM - 28 Nov 2015|Another day Another gift God RT thankful Him|36|24
7:41 PM - 28 Nov 2015|i'm perfect least I know I|46|27
5:23 PM - 28 Nov 2015|Oreo Ice Cream pic twitter com xu6a8ajnQ0|2K|1.2K
