6:19 AM - 12 Dec 2015|I found charger - love story|52|109
10:07 AM - 11 Dec 2015|Coworker I wake 5 every morning Me Why Do paper route|25|49
1:31 PM - 12 Dec 2015|dog trial murder lawyer who's good boy dog I lawyer honor I rest case|889|1.2K
8:15 AM - 12 Dec 2015|funeral I'd like welcome Chippendales stage escorted IT'S WHAT NANA WANTED GET YOUR HANDS OFF ME SHE WANTED THIS|182|428
8:38 PM - 11 Dec 2015|Microsoft Ok ideas follow Windows 7 8 Windows 9 C'mon think OUTSIDE box Windows 10 OMFG GENIUS|26|64
4:51 PM - 11 Dec 2015|A banjo definitely one instruments don't want bring funeral I know|5|21
9:32 AM - 5 Dec 2015|Herbs spices make sad -Seasonal Depression|43|84
11:21 AM - 10 Dec 2015|snooty wine shop Me What pairs well sedentary lifestyle cynicism|59|95
7:44 PM - 5 Dec 2015|Wow 8 secs place cute girl already invites join table Not sure took fast Or handed menu|7|11
2:05 PM - 10 Dec 2015|Dr's office I certainly wouldn't describe alcoholic Dr Dr types notes Well I would|22|48
2:28 PM - 28 Nov 2015|Depression Pms really fun one player game guys Really fun|156|251
6:11 AM - 10 Dec 2015|You tell lot woman way launches shopping cart car|99|143
7:08 AM - 9 Dec 2015|I installed home alarm Oprah continuously screaming everyone won trip Australia|34|62
5:35 PM - 9 Dec 2015|PSYCHIC I feel like hide emotions ME Um If anything I opposite problem PSYCHIC Yes I'm getting|3|11
12:01 PM - 24 Nov 2015|I used vodka instead water oatmeal longer tastes like sadness|311|495
7:59 AM - 9 Dec 2015|job interview That's I u questions us Yes would Frosty Snowman's magic hat turn dead guy zombie|221|439
12:09 PM - 6 Dec 2015|I come long line white people waiting peppermint mocha frappuccino Starbucks|336|852
11:31 PM - 8 Dec 2015|If wife Transformer She'd Amazon Prime|71|97
9:21 PM - 8 Dec 2015|flying sky Falkor Luckdragon Car Salesman think Me meh enough cup holders|43|107
2:35 PM - 8 Dec 2015|Him If love something let go Her Him No seriously you're cutting circulation|5|4
11:33 AM - 8 Dec 2015|Good cop Tell us th Bee cop Stings perp 87 times Good cop Dammit Kyle You're filling paperwork time|20|53
5:22 PM - 7 Dec 2015|Her everyone call raccoon Me eating sandwich I found trashcan I'm sure|86|146
7:31 AM - 5 Dec 2015|My wife running half-marathon right I texted daughter pass gravy|41|116
9:44 AM - 27 Nov 2015|If read Twitter backwards tells story humanity slowly getting smarter|34|39
9:06 PM - 6 Dec 2015|The people behind line Target frustrated I writing check I got feather pen ink bottle right|72|204
11:12 AM - 7 Dec 2015|party acquaintance I much tell activates panic alarm car remote gotta go|4|20
10:24 PM - 6 Dec 2015|COP Know I pulled CARDIGAN Because cold|35|100
8:41 PM - 5 Dec 2015|Kid Why street uneven Me From settling Kid What's settling Wife It's I sweetie Me Fair enough|207|552
5:21 AM - 19 Nov 2015|Doctor taps knee mallet feel Me No Doctor jabs toe pin Me Nah Doctor Just I suspected This leg|1.4K|2.3K
