1:00 PM - 2 Dec 2015|When someone doesn't text back posts Instagram https vine co v OH7Pj2jMKq0|758|1.4K
4:00 PM - 2 Dec 2015|Some people need learn talent https vine co v eBvMnhntaWz|927|1.3K
11:00 AM - 3 Dec 2015|Just case need prairie dog taking bath life https vine co v eQMFMj3ptr9|1.5K|2.2K
8:22 AM - 3 Dec 2015|you're always working pic twitter com R4h3eoxhL1|1.4K|1.7K
7:35 PM - 1 Dec 2015|rando follows follow rando back rando I need FIVE people join team change lives w ItWorks unfollow|1|6
11:15 AM - 1 Dec 2015|Come Curris hang sigmas take picture hashtag support Tyler #JimLeeFostersHope pic twitter com rs7a1lG15x|7|4
10:41 AM - 1 Dec 2015|Everyone come Curris Center today tomorrow 1-4 help @TriSigma_AX support Tyler taking picture hashtags|4|4
9:37 AM - 27 Nov 2015|realize you're grinch pic twitter com RmvsZA8TVa|3.2K|2.8K
4:51 PM - 19 Nov 2015|My mama don't like likes everyone pic twitter com sHTtX1RqFg|2.6K|4.9K
4:58 AM - 24 Nov 2015|When I'm late school pic twitter com kVYpkV7mc7|8.4K|11K
5:45 AM - 16 Nov 2015|People blush easily generous trustworthy don't|727|955
7:04 AM - 19 Nov 2015|Watch Justin Bieber James Corden sing flee paparazzi latest Carpool Karaoke #LateLateShow http rol st 1X0O3u3|18K|27K
6:15 PM - 22 Nov 2015|When see someone public don't wanna talk https vine co v izMlFgQYAzm|872|1.3K
9:43 PM - 23 Nov 2015|My progress past hour paper pic twitter com JIbzwDMVW4|1|5
8:13 PM - 23 Nov 2015|Use y mx b calculate slope hill life going|14|10
10:10 AM - 20 Nov 2015|Justin Bieber's entire Purpose album week's Official Top 100 Singles Chart Check http bit ly 1RJ96t2|17K|24K
12:11 PM - 20 Nov 2015|u @boyken27 big little goals bc you're going JB concert together see ya Nashville @justinbieber #PURPOSETOUR|2|4
10:27 PM - 16 Nov 2015|Lmfaoooo pic twitter com eyCO9f9Yxa|84|97
5:09 PM - 16 Nov 2015|Adam Blake teamed @NissanUSA give #VoiceCommute one chance practice next duet https amp twimg com v dbda3563-2917-47e1-93a6-d3c396b99009|3K|7.4K
10:43 PM - 15 Nov 2015|When find crush thinks you're sexy pic twitter com LMmKBZcd9c|105|189
9:00 PM - 15 Nov 2015|well Justin Bieber m g's 2 000 looks like sneaking part 2 go|1|14
2:03 PM - 15 Nov 2015|This upsetting pic twitter com DolOu6QKwj|2.1K|2.4K
