11:12 AM - 12 Dec 2015|World's First Global Deal Combat Climate Change Adopted Paris http bit ly 1mh67iS #COP21|119|78
11:10 AM - 12 Dec 2015|Feminism needs global voices eight books reading http gu com p 4fvnh stw @Guardian|8|6
11:30 PM - 11 Dec 2015|A passenger Southwest Airlines heard others talk Arabic claimed scared http econ st 1QAVHpt pic twitter com KKWh19N0mO|14|14
1:40 PM - 11 Dec 2015|17 Beautiful Quotes From Novels In 2015 That ll Make You Wanna Curl Up With A Book http bzfd 1ReWLRA pic twitter com KkUG7IFWFq|74|99
12:32 AM - 11 Dec 2015|Knowing trust gut http anacanhoto com 2015 12 11 knowing-when-you-can-trust-your-gut pic twitter com LX7hJZR92G|2|0
2:50 PM - 10 Dec 2015|love love listen music love make love #clique #YearinMusic @Spotify pic twitter com zYZzc5qYLJ|4.9K|12K
1:58 PM - 10 Dec 2015|More evidence data prove women aren equally represented Hollywood http ti 1jQfLas #NotThere|38|57
6:34 AM - 10 Dec 2015|Born Be Conned http nyti ms 1Ok31kN An excerpt @mkonnikova's new book @nytimes|1|2
3:28 AM - 10 Dec 2015|It forecast 2050 half America's population white http econ st 1SLRPBb pic twitter com rda0bUKnFj|205|131
3:31 PM - 9 Dec 2015|Wow Of @NPR's Best Books 2015 list 40 staff picks month came 17 events year http apps npr org best-books-2015 # tag biography-and-memoir|2|8
6:29 PM - 9 Dec 2015|Whether seen creative may depend whether re man woman study shows http bit ly 1XZj0de via @sciammind|63|59
4:38 PM - 9 Dec 2015|Drop dot Periods make text messages seem 'less sincere ' study finds http nbcnews 1SPb78K pic twitter com YmuObpy3oB|47|63
3:44 PM - 9 Dec 2015|What best book read 2015 Take @WSJ reader survey http wsj com 1QwOGpJ|58|51
