12:09 PM - 12 Dec 2015|try live adventurous life hard 4 87|310|387
10:12 AM - 12 Dec 2015|Don't fight money front kids pic twitter com mXxLbBzB7s|2.5K|5.1K
5:32 PM - 11 Dec 2015|Your girl vs pic twitter com xROYh0NxaM|1.3K|2.8K
9:33 AM - 12 Dec 2015|@snowserenaaa @edgywhiteteen it's one best bios I've seen far|1|1
9:06 AM - 10 Dec 2015|ya moron|2|3
6:22 AM - 12 Dec 2015|Smoking weed illegal music iPod|43|55
5:54 PM - 8 Dec 2015|@FilthyFrank gotem|31|345
2:50 PM - 11 Dec 2015|guys ever heard pranks ive research pranks new video goofs gotem|171|1.4K
3:01 PM - 11 Dec 2015|habe u seen prank|336|1.4K
5:42 PM - 11 Dec 2015|filthy prank|505|1.5K
9:28 PM - 11 Dec 2015|It's prank|617|1.5K
9:27 PM - 11 Dec 2015|Guys real talk Im brony|418|1.5K
5:02 PM - 11 Dec 2015|The reason American people angry government addressing real problems impacting every day|2.4K|5.2K
9:17 PM - 11 Dec 2015|please kill|1|3
10:00 PM - 11 Dec 2015|crazy looking ocean sky realizing wow dont know anything soooo small know nothing small|11K|14K
10:14 PM - 11 Dec 2015|I DONT KNOW ANYTHING|5.7K|4.5K
11:06 AM - 11 Dec 2015|Winter means it's time store angsty emo music replace angsty acoustic music|3|20
3:11 PM - 7 Dec 2015|Donald Trump basically YouTube comment section running president|34K|38K
3:50 PM - 10 Dec 2015|Texts like pic twitter com X35zXJXB57|7|22
9:07 AM - 24 Nov 2015|When Linda high weed pic twitter com zHxJzdp0Sq|432|806
2:37 PM - 10 Dec 2015|When you're 7th grade ready move life pic twitter com bKR8IqpieX|2|35
4:02 PM - 26 Nov 2015|R I P millions turkeys sacrificed everything fat asses today|578|949
10:44 PM - 30 Nov 2015|#BreakUpIn5Words they're minerals rocks marie|379|669
9:00 PM - 6 Dec 2015|bicycle basically acoustic motorcycle|383|699
6:11 AM - 10 Dec 2015|doesn matter I sleep 2 hours 13 hours I still tired next day|2.1K|2.5K
10:03 AM - 10 Dec 2015|im guy shoots bullet CD's make hole|75|164
10:48 PM - 9 Dec 2015|I ate cold ravioli I know I videos I actually real I'm spiralling depression|1.1K|3.6K
5:04 PM - 7 Dec 2015|Acid 1 00 Salesman Woodstock looking pleased 1969 pic twitter com c5EasNsatW|517|1K
8:50 PM - 9 Dec 2015|My sleep schedule joke|7|10
8:54 PM - 9 Dec 2015|throwin shade won't help u shine|866|939
7:43 PM - 9 Dec 2015|IQ dropped pic twitter com IKtwKJSJRe|3.7K|6.5K
7:06 PM - 9 Dec 2015|hope everyone best even tho we're doomed|125|189
5:31 PM - 9 Dec 2015|I actually really hate school I literally feel stupid every class I understand nothing|1|4
12:51 PM - 7 Dec 2015|math xl probably created satan|2|4
5:51 PM - 8 Dec 2015|earlobes distance apart nipples please pass|3|5
1:11 PM - 8 Dec 2015|great friend pic twitter com SwvfcQWloF|272|510
5:55 PM - 8 Dec 2015|wonder parents get overwhelmed living model|164|273
6:00 PM - 8 Dec 2015|someone haven't seen long time asks pic twitter com 5qEGJ4Po2V|288|463
8:52 PM - 8 Dec 2015|11 months year life train wreck 1 month year life polar expresswreck|453|723
6:50 AM - 9 Dec 2015|favorite character polar express pic twitter com sDI7JS22Vu|2.6K|3.9K
3:17 PM - 9 Dec 2015|supposed lose weight best part life food|578|538
11:53 AM - 9 Dec 2015|im starting really dislike school|3|13
1:50 PM - 9 Dec 2015|many friends twitter I pic twitter com 568gEf3CF6|2|2
3:14 PM - 9 Dec 2015|@edgywhiteteen said man runnin stand HEY bum bum bum got grapes|1|1
10:09 PM - 5 Dec 2015|White people can't rap Then explain pic twitter com dd9Ea31OO7|20K|23K
8:23 PM - 5 Dec 2015|Everyone's applying fancy schools I'm trying get young savage mafia|4|21
7:07 AM - 8 Dec 2015|u smoke u die u drink u die u eat u die u love u die matter die u want die|2.5K|2K
