11:27 AM - 12 Dec 2015|Steph Curry's MVP stats last year would've Lebrons 13th best stat line career pic twitter com YUwwBknSWb|546|405
11:28 AM - 12 Dec 2015|Retweet must following win pair tickets tomorrow's @Browns game Winner picked 10 pm tonight pic twitter com XawmaUanRs|593|92
9:36 AM - 12 Dec 2015|Retweet Follow us entered win Ezekiel Elliott Jersey @Fanatics Must following win pic twitter com SFQJzs7frM|1K|179
12:24 PM - 9 Dec 2015|RETWEET MUST following us @Where_Im_From win 25 Gift Card Winners picked 12 13 10PM See Offers pic twitter com 6oIEr3m1R8|209|36
3:49 PM - 8 Dec 2015|Ralph Peter fucking savage pic twitter com bb1wOgNRF6|2.4K|3K
1:03 PM - 7 Dec 2015|Kim Kanye named kid SEC West let live years reputation|3K|3.1K
11:09 AM - 6 Dec 2015|T-shirt sold outside Browns game today via @jensteer pic twitter com YK03PQ88wU|533|475
2:50 PM - 6 Dec 2015|Browns WR wants keep job declines interview request Browns wide receiver Brian Hartline declined http bit ly 1TPYStk #NFL|4|1
12:43 PM - 3 Dec 2015|Being politically correct gets people killed Not guns explosives also Guns aren't problem pic twitter com unj6K2Wtx4|281|214
4:23 PM - 2 Dec 2015|Uhh YES https twitter com ClaytonTorok status 672115024501022721|19|52
9:48 AM - 2 Dec 2015|Gronk pace one greatest play position works ass every day Shut Johnny Gronk comparison|8|3
8:47 AM - 2 Dec 2015|Terrelle Pryor attends first WR meeting http bit ly 1Rmzlsp pic twitter com j3p5OZLTyD|655|625
12:31 PM - 1 Dec 2015|NFL rule 15B 3 wrongs make right Offsides Block back Out Bounds https vine co v iWbrwlLlHt7|1.1K|829
9:14 AM - 30 Nov 2015|RETWEET MUST following us @CLECLOTHINGCO win one Check MNF 20 deal winners 12 1 10 pm pic twitter com dC0vcFCIIj|285|65
11:30 AM - 29 Nov 2015|Retweet Must following win 2 tickets tomorrow's MNF @Browns game Winner 10 pm tonight love ya CLE pic twitter com K24Gb8pNO8|589|141
9:09 AM - 28 Nov 2015|Retweet Follow us win Joey Bosa jersey @Fanatics Must following us win pic twitter com xVBCDVQl0w|1.5K|292
10:00 AM - 26 Nov 2015|Retweet she's @SportsCenter https youtu B9yG7fd06V8 @jackie_custer16 I'd love take @Cavs game pic twitter com dBNZBMsXac|237|70
4:15 PM - 24 Nov 2015|RT Christmas wish list pic twitter com nuiw7ImKA7|70|85
4:20 PM - 24 Nov 2015|Rob Gronkowski gets PAID go clubs get drunk Gronk bein' Gronk Johnny gets drunk FRIENDS Bench|555|576
12:48 PM - 24 Nov 2015|The Cleveland Browns one gif pic twitter com vQI6gE541a|208|140
8:15 AM - 24 Nov 2015|Retweet Must Following it's Thanksgiving time I'm giving away last three Decals Winners 11 26 10 pm pic twitter com 63GDGDlIxH|216|46
11:13 AM - 23 Nov 2015|I want BMS back|186|239
11:45 AM - 21 Nov 2015|RT Ohio State win today pic twitter com Ub3WfEICdE|1.3K|380
7:20 AM - 21 Nov 2015|RT Don't Give Damn About Whole State Michigan Big game today Pick one 3 stores pic twitter com QDrZwlU4n4|18|23
5:53 PM - 20 Nov 2015|Who wins Saturday Retweet OSU Favorite MSU pic twitter com BqSX4hpwO8|4.3K|1.1K
5:20 PM - 19 Nov 2015|I realized cat looks like I'm taking best turds litter box safe keeping|14|29
11:09 AM - 19 Nov 2015|I contacted @BrownsGiveBack talk I community #give10 Please read RETWEET pic twitter com vKmB6xEETt|374|155
10:28 AM - 19 Nov 2015|Cleveland sports like https vine co v iuHU5MA1W5z|232|242
5:31 PM - 18 Nov 2015|Retweet Must following win JR Smith Wine Jersey Winner picked Monday 11 23 following Cavs game pic twitter com sJJty7GXzX|1K|172
2:00 PM - 17 Nov 2015|Amazing Kid Gives Classmate A Pair Of LeBrons After Being Mocked For His Shoes http www brobible com sports article amazing-kid-gives-classmate-pair-of-lebrons|9|18
3:53 PM - 16 Nov 2015|Retweet congratulate @Lindor12BC amazing season #ROY hearts pic twitter com 4lorz8jllw|135|121
