1:38 PM - 12 Dec 2015|Olly Murs spent 87 year #XFactor apologising|101|245
1:16 PM - 12 Dec 2015|OH MY GAAAAAWD Does get better @ReggieNBollie Fuze ODG AND @CraigDavid #Winning #XFactor pic twitter com qxenplbciq|131|158
1:28 PM - 12 Dec 2015|Was hoping Jennifer Hudson going walk #XFactorFinal|4|16
1:26 PM - 12 Dec 2015|Rita friend always tries steal shine #XFactor|18|64
1:37 PM - 12 Dec 2015|Every time I see Perry I mentally punch air tell 'you go show douche don't need #XFactorFinal|69|127
1:47 PM - 12 Dec 2015|Rod Stewart This X Factor final we're talking The FINAL Rod It's Royal variety ffs pic twitter com ufl7lJSJdK|12|30
1:19 PM - 12 Dec 2015|Everyone home @CraigDavid came #XFactorFinal pic twitter com lUjSMIh6fF|842|613
1:27 PM - 12 Dec 2015|Poor Rod needed lyrics song Rita didn't need Beyonce's lol|10|108
2:02 PM - 10 Dec 2015|I REALLY Justin Bieber's new album|1|0
12:40 AM - 11 Dec 2015|Sometimes I worry I look I see state first year realise it'll never THAT bad|1|3
2:01 PM - 10 Dec 2015|My mama don't like likes everyone Justin gets us @jessrose91x|1|1
1:27 PM - 10 Dec 2015|Aw 13 signs mum actually best friend http lookm ag eAGJAD pic twitter com 4TknHjw1UZ|2|5
1:34 PM - 10 Dec 2015|1 Sometimes I get real sick shit talking Especially people hide behind anonymous accounts think makes|514|1.7K
12:19 PM - 10 Dec 2015|Things I like Thursday night guilt trip boyfriend buying new coat I'm period|14|68
1:31 PM - 9 Dec 2015|Us watching Victoria Secret Fashion Show #VSFashionShow pic twitter com 3iYMhd5gLq|9|16
1:29 PM - 9 Dec 2015|Too much gorgeousness us handle #VSFashionShow|13|42
1:55 AM - 9 Dec 2015|Here's makeup I haven't bought yet I'm coming ya|67|107
1:23 PM - 8 Dec 2015|When you're Christmas shopping you're like 'That's pretty looks fun great I know exactly would love me'|136|122
