9:39 PM - 12 Dec 2015|I love hate relationship squats|1|4
9:12 PM - 11 Dec 2015|Period I Don't Tolerate It https twitter com callmepetty status 675451146027315200|3|2
10:12 PM - 1 Dec 2015|Fuck everybody|23|20
6:20 PM - 11 Dec 2015|WHO DID THIS pic twitter com lzUW1d5a65|1K|1.8K
8:05 AM - 11 Dec 2015|Mood https www instagram com p _KFhtzhRgl|369|1.2K
10:38 PM - 10 Dec 2015|still got love people know i'll never talk|5.4K|4.7K
10:35 PM - 10 Dec 2015|SIGN ME THE FUCK UP pic twitter com 5AgcLkUDc4|164|235
6:36 PM - 6 Dec 2015|roses red I'm going bed|196|120
1:35 AM - 6 Dec 2015|sometimes need good cry that's okay|4|10
7:05 AM - 2 Dec 2015|When big girls starting slay getting noticed lot pic twitter com rQN0hOJKvI|63|117
9:16 AM - 5 Dec 2015|Young Britney pic twitter com Uf94IVZTKP|1.4K|3.1K
9:15 AM - 5 Dec 2015|Literal goals pic twitter com 6bndeRnktA|168|278
9:14 AM - 5 Dec 2015|What entire time Kanye waiting new baby born order drop Swish dedicate album|30|58
9:19 AM - 5 Dec 2015|Be thankful breath took someone took last|616|590
11:24 PM - 4 Dec 2015|@danielaxiomara_ Mood pic twitter com c9V7jNLIBd Same|3|2
8:31 PM - 4 Dec 2015|More moves less feelings|1.9K|1.2K
6:48 PM - 3 Dec 2015|Me vs You @Barista_Life_ @annsucks_ pic twitter com AlYi9sZgBi|11|57
10:24 AM - 4 Dec 2015|I love seeing people win|2|2
11:56 PM - 3 Dec 2015|It's like smarter woman harder find good dude lol|3|1
1:38 PM - 2 Dec 2015|Keeping distance fuck niggas|38|22
3:13 PM - 1 Dec 2015|plot twist give fuck|16|64
7:40 PM - 30 Nov 2015|You said wouldn't fucking|776|590
9:18 PM - 30 Nov 2015|J R R Tolkien's original first page Lord Rings 1937 pic twitter com JwK4bPJZMO|653|1.4K
9:20 PM - 30 Nov 2015|someone physically attractive boring hell pic twitter com 4BCDy13oh6|928|2.6K
10:58 PM - 29 Nov 2015|Headphones In Problems Out|1|4
8:47 AM - 29 Nov 2015|I think comes time meet someone want make smile rest life|741|1K
8:58 PM - 28 Nov 2015|It really pic twitter com iBtlkbIk9W|2.6K|2.4K
9:25 PM - 28 Nov 2015|How I Met Your Mother pic twitter com ET9CtmyTJm|1.6K|1.9K
10:08 PM - 28 Nov 2015|You aren't rich something money can't buy|1.1K|1.4K
11:05 PM - 27 Nov 2015|may foundation match neck concealer creaseless winged eyeliner sharp enough kill amen|158|191
10:01 AM - 27 Nov 2015|Dear frank ocean EVEN ADELE looking pic twitter com uHl1dfm3CJ|859|2.4K
4:57 PM - 26 Nov 2015|thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks|8.8K|20K
9:34 AM - 26 Nov 2015|Young ladies taunting law 1934 Miami Beach pic twitter com QKc6FDSTPw|432|1.1K
9:37 AM - 26 Nov 2015|Don dare tell Kanye inspirational pic twitter com CHuyNl19Wg|2.9K|7.4K
6:55 PM - 25 Nov 2015|Kid Cudi - Pursuit Of Happiness pic twitter com KU1MOvcblW|2.4K|2.6K
10:30 PM - 25 Nov 2015|When bae looking fine pic twitter com nc6aPMElDD|895|2.2K
8:02 PM - 19 Nov 2015|changed|1.1K|608
10:02 AM - 25 Nov 2015|When want play defense Steph Curry way stop pray jesus doesn't score pic twitter com TeJrq3yweQ|692|719
4:23 PM - 20 Nov 2015|melts heart pic twitter com iBPv5QoLTT|58K|86K
7:41 PM - 18 Nov 2015|Kid Cudi - Mojo So Dope pic twitter com DhbOCwPhyC|1.6K|1.6K
12:37 PM - 22 Nov 2015|WHEN BAE TEXTS YOU BACK LATE pic twitter com EpvIh4ubPM|2.7K|1.8K
8:54 PM - 20 Nov 2015|Witcho thick ass|30|30
9:18 AM - 18 Nov 2015|back playboy served actual aesthetics #theirrymugler pic twitter com IGfuA26O3W|4.1K|6.5K
1:25 PM - 19 Nov 2015|Sometimes find middle nowhere sometimes middle nowhere find|556|532
12:13 PM - 18 Nov 2015|Me getting ready pic twitter com QR3rcgdrk3|952|1.8K
9:55 PM - 16 Nov 2015|grew never text first phase since realized nothing wrong showing someone care pride|82|116
9:55 PM - 16 Nov 2015|Her attitude kinda savage heart gold|134|114
11:45 AM - 16 Nov 2015|If ask it's harder prepare food get calories workout easy part|1|4
