1:53 PM - 9 Dec 2015|RT high-five Season 9 Finalists @BarrettBaber @JefferyAustin @emilyann_music @JordanSmithLive #TheVoice pic twitter com 46zuIQqsmh|796|1.6K
6:54 PM - 8 Dec 2015|WATCH An excited @BarrettBaber reacts landing spot #VoiceFinale pic twitter com TGafctdmYL|59|236
5:52 PM - 8 Dec 2015|Yall help get boy @ZachSeabaugh RT #VoiceSaveZach|6.3K|1.6K
5:53 PM - 8 Dec 2015|RT #VoiceSaveZach http www nbc com the-voice app|80|10
5:26 PM - 8 Dec 2015|Watch Mid-South's Barrett Baber TONIGHT see makes finals http shout lt blNzY utm_source dlvr utm_medium twitter|1|1
4:51 PM - 8 Dec 2015|Here go folks Keep Twitter handy case|99|495
2:41 PM - 8 Dec 2015|You're Twitter know people aren't Here's need sign NOW http buff ly 1SKKT7s pic twitter com XnF1ZGGGlW|1|3
5:02 PM - 7 Dec 2015|We're first @BarrettBaber covers @EllaHenderson #Ghost #VoiceTop9 @NBCTheVoice|63|189
4:30 PM - 7 Dec 2015|This dude @BarrettBaber PUMPED hit #TheVoice stage Hear TONIGHT @KNWAnews @KARK4News 10 pic twitter com 6SNjWeIh39|3|15
6:47 PM - 6 Dec 2015|We'll live LA week following @BarrettBaber straight finals #TheVoice @MarissaKargas pic twitter com UyErFoludm|5|13
