12:56 PM - 1 Dec 2015|Puppy love pic twitter com dcYJwGVKzK|3|12
12:28 PM - 29 Nov 2015|imagine look general public carry daily tasks pic twitter com 37MRUc7N6f|1.5K|2.8K
8:21 PM - 26 Nov 2015|Thankful boy calls auntie boy calls baby @jackeezy4 pic twitter com TZZKI2bxW9|3|34
3:43 PM - 26 Nov 2015|Oh The spanx mistake|13|81
2:01 PM - 22 Nov 2015|I get told pic twitter com 9DlFG9E7vC|952|1.6K
2:01 PM - 20 Nov 2015|vine want see u 6 seconds|855|1.4K
11:25 AM - 20 Nov 2015|Why @Adele cross road She wanted say hello side|24K|28K
5:54 AM - 19 Nov 2015|Watch Justin Bieber Body Pop Sing Alanis Morissette's 'Ironic' James Corden http thr cm opZ0kC pic twitter com 4hNxKp65P0|29|57
11:17 AM - 17 Nov 2015|HO HO HO HO HO HO HO KIDS GUESS WHO'S BACK|42|66
9:55 AM - 17 Nov 2015|Let's better humans This reprehensible illogical useless behavior https twitter com 680news status 666466011814764546|707|1.1K
9:35 AM - 17 Nov 2015|breathe i'm beautiful|670|941
