8:40 PM - 11 Dec 2015|People hating|2|2
3:15 PM - 11 Dec 2015|I wish I didn't work tomorrow I wished I money blow|1|1
3:00 PM - 11 Dec 2015|In end regret chances didn't take|230|102
7:42 PM - 10 Dec 2015|When u finally start get ur shit together one tiny little thing happens ur like nvm kidding|1.4K|1.3K
11:24 AM - 11 Dec 2015|What shall today consist|1|1
5:05 PM - 10 Dec 2015|Cuddling bae like pic twitter com Ea9XpN9TC2|708|997
4:45 PM - 10 Dec 2015|Lol real pic twitter com bnaV3kfcTq|8|17
5:00 AM - 10 Dec 2015|never pic twitter com S50Hx0zKyn|4.7K|5.5K
11:05 PM - 9 Dec 2015|smoking weed bed pic twitter com 7vVdTe2Vz8|528|763
9:00 PM - 9 Dec 2015|Vegas baby pic twitter com MdliWGAgUv|6|39
6:48 PM - 9 Dec 2015|Committed making better person|1.8K|1.4K
7:30 PM - 9 Dec 2015|love song listened lot really bad time ur life reminds bad times pic twitter com 9KoYxotdQi|491|927
7:28 PM - 9 Dec 2015|dear focus focus focus focus focus focus focus|422|494
6:36 PM - 9 Dec 2015|Dreaming You - Selena pic twitter com RTEz6259RZ|1.2K|1.4K
4:17 PM - 9 Dec 2015|Sometimes what's best|612|401
2:10 PM - 9 Dec 2015|I can't live day without music|359|302
12:58 PM - 9 Dec 2015|Excuses get whatever work put|3|6
7:17 PM - 8 Dec 2015|drink much pic twitter com qavYHBMEJ7|5K|6.7K
6:05 AM - 9 Dec 2015|Those heartless cared much|37|29
10:29 PM - 8 Dec 2015|RT single af|297|92
7:00 PM - 8 Dec 2015|he's testing fuck outta crazy bitch side shine bright like diamond pic twitter com dUua7H3Fnv|1.4K|1.2K
9:12 AM - 26 Nov 2015|I admire Those eyes seen many places heart felt many things yet still smile darkest feelings|5.5K|7.7K
7:00 PM - 27 Nov 2015|Danksgiving pic twitter com LVyTjyJA7O|544|844
11:05 AM - 6 Dec 2015|Relationship goals pic twitter com IsN34DZJny|460|748
1:38 PM - 5 Dec 2015|Don't rush things Anything worth worth waiting|48|37
11:03 AM - 5 Dec 2015|Don't mad I left mad pushed away|20|31
7:15 AM - 5 Dec 2015|I promise make day pic twitter com kpFJyFG7Ea|2.5K|3.3K
6:20 PM - 4 Dec 2015|Snooki best transformation pic twitter com XfPEkJmGsJ|1K|1.8K
6:40 PM - 4 Dec 2015|DONT SLEEP #SleeperShowcase week away COME VIBE WITCHA BOY FRESNO Doors open 8pm tix 5 #Heirogant pic twitter com 28VImucEhP|6|5
3:24 PM - 4 Dec 2015|i'm thinking like nigga don't get played like bitch|12|6
1:38 PM - 4 Dec 2015|Forgive forget NOT revenge regret|25|22
4:48 PM - 3 Dec 2015|Get holiday spirit Me pic twitter com 5Kw2OXGvGh|991|1.5K
4:19 PM - 3 Dec 2015|Be strong things get better|25|24
3:40 PM - 3 Dec 2015|If don't fight want don't cry lost|18|27
1:49 PM - 3 Dec 2015|Hey Mr Music sure sound good|29|17
10:38 AM - 21 Nov 2015|Wu-Tang Clan crew home-base 160 Park Hill Ave - Staten Island 1992 Photo Chi Modu pic twitter com sExW8S1MJC|747|640
11:03 AM - 3 Dec 2015|I want nothing positive vibes surrounding|23|19
11:03 AM - 3 Dec 2015|Always remember one else|260|124
9:29 AM - 3 Dec 2015|Do everything #Love #Corinthians pic twitter com JXedBgLOfh|2|2
6:38 PM - 2 Dec 2015|Silence better bullshit|27|24
9:36 AM - 28 Nov 2015|High vs Sober pic twitter com 5pT6MBXCB0|267|442
10:19 AM - 2 Dec 2015|It never late make things right|18|15
5:00 PM - 1 Dec 2015|GOD IS SO GOOD pic twitter com a1ZC0Xcphz|437|749
5:00 PM - 1 Dec 2015|drunk texts cute mind isn't functioning correctly you're still|310|670
4:51 PM - 1 Dec 2015|use snapchat camera actual phone camera|703|940
4:51 PM - 1 Dec 2015|REMEMBER WHEN RON BROKE SAM'S GLASSES pic twitter com lLoz9av1D9|894|1.2K
4:06 PM - 1 Dec 2015|Me I'm older pic twitter com p6NRZE6tXw|158|282
5:28 PM - 29 Nov 2015|pic twitter com P4ztULE24G|3.9K|5.2K
10:19 AM - 1 Dec 2015|I hate lied|31|33
10:08 AM - 1 Dec 2015|If God brings He bring|30|19
8:02 AM - 1 Dec 2015|Not everyone understand journey That's okay You're live life make everyone understand|111|112
5:00 AM - 1 Dec 2015|My two moods pic twitter com TIltzfW0nI|8.3K|5.8K
