1:59 PM - 12 Dec 2015|http youtu 25TfRdUeYC4 proud guy @jamestwmusic|4.4K|12K
10:00 AM - 12 Dec 2015|@SabrinaAnnLynn cute|1|1
10:00 AM - 12 Dec 2015|@SabrinaAnnLynn I love much Wendy|1|2
12:44 PM - 29 Nov 2015|unless hear i'm dope af believe every time LMAO|292|1.3K
4:24 PM - 30 Nov 2015|could never teacher bc shawn mendes walked class would go jail|525|1.7K
4:30 PM - 30 Nov 2015|@kingsleyyy I'd rather incriminate|76|342
7:04 PM - 30 Nov 2015|today @ConanOBrien walked set stopped breathing pic twitter com loNhdkrP2a|237|1.2K
9:55 PM - 30 Nov 2015|@JoeyGraceffa fuck would leave I'm one uggs|117|521
10:52 AM - 1 Dec 2015|think milkshake getting spoiled still boys yard|427|1.4K
3:52 PM - 1 Dec 2015|If I describe @TheGabbieShow 's snapchat 3 emojis|102|495
1:32 PM - 1 Dec 2015|sometimes gets little much gotta realize soon fog clear|435|1.3K
6:51 PM - 1 Dec 2015|Three videos week December Do I dare Is excessive|269|1.3K
7:26 PM - 1 Dec 2015|shaved legs intentions letting anyone see feel immediate future omg im girly girl|356|1.7K
11:12 AM - 2 Dec 2015|got stranger's car bc car uber stopped right front lolol|266|1.3K
11:22 AM - 2 Dec 2015|uber driver wearing driving gloves like nascar driving gloves we're going beverly hills indy 500|318|1.5K
1:35 PM - 2 Dec 2015|Telling highshool nightmare stories @LucasCruikshank Make sure subscribe http youtu i1teSDtG5M8|271|976
1:36 PM - 2 Dec 2015|New vid I LOST MY VIRGINITY AT BURGER KING w @thegabbieshow http youtu -Z8Y9XYJgmA|143|627
2:23 PM - 2 Dec 2015|Rumors https vine co v iW6ML3W1d2i|378|1.2K
3:16 PM - 2 Dec 2015|many things u watch today vining driving w @carlyincontro @goddess_eriu http youtu 11TsfpcSCug|206|820
12:06 PM - 3 Dec 2015|waiting boy text like pic twitter com zu5pqyCmDg|363|1.2K
11:17 AM - 4 Dec 2015|text wake feeling good day yeah didn't get either|540|1.4K
2:22 PM - 4 Dec 2015|Wait w @DavidDobrik https vine co v iWYWZEUHAKd|314|1.1K
8:46 PM - 4 Dec 2015|one wish would basic driving skills|348|1.4K
11:44 AM - 5 Dec 2015|threw together another little vine comp sorry hates ok see u l8r http youtu dQtbgxJG1ss|241|904
8:11 PM - 5 Dec 2015|big things coming December YouTube im excited share|284|1.3K
5:39 PM - 5 Dec 2015|don't trust teenagers bc whatever want get charged adults|436|1.6K
11:17 PM - 5 Dec 2015|I disappointed list @Mattdavelewis pic twitter com rTRfeRUPzl|232|1.1K
11:37 AM - 6 Dec 2015|today learned cinnamon crushed red pepper look almost identical|284|1.4K
2:49 PM - 6 Dec 2015|Musical ly ppl grocery store w @zane IB @tharealversace https vine co v i7JWFximrm2|398|1.2K
7:43 PM - 6 Dec 2015|he's funny kind AND polite ew gross thx -girls 2015|464|1.6K
2:35 PM - 7 Dec 2015|My first music parody kinda Make sure share friends family Love http youtu iVSWpTaLRkU|326|1.1K
10:28 AM - 8 Dec 2015|OMG FINAL PERFORMANCE AND MY SHOE RUINED THE ENTIRE THING BUT PLEASE VOTE FOR ME @ http DANCEON COM DANCESHOWDOWN https youtu jHXz5gqGH9s|215|811
11:03 AM - 8 Dec 2015|It's wonderful time year even you're single af @thegabbieshow remind us https youtu 5Mw626nh9jc|127|503
6:23 PM - 8 Dec 2015|Hey @lizzzako I hope you're likin new @UGGaustralia boots Don't fooled ads fakes http bit ly fakess #collab|197|785
6:57 PM - 8 Dec 2015|i'm weird stage life half friends married babies half drunk text back|314|1.2K
9:06 PM - 8 Dec 2015|Im giving #GiftToast sis @monmick89 bc it's perf representation lmfao @JCPenney #sp pic twitter com UFTfXrB48q|200|824
11:13 AM - 9 Dec 2015|I #GiftToast aliens blue UFO LA @JCPenney #sp https twitter com jcpenney status 671548026931015680|170|655
1:51 PM - 9 Dec 2015|like men like like pizza i'm picky|422|1.5K
3:59 PM - 9 Dec 2015|haha see someone watched video today https youtu bmd9AHVaYHc https twitter com lindsay_com status 674739849765781504|222|908
6:47 PM - 9 Dec 2015|When accidentally upload video 1230am PST wake everyone https youtu bmd9AHVaYHc pic twitter com ZmX52KLNWY|303|1.2K
9:08 PM - 9 Dec 2015|half comments im gaining weight half look thinner im probably ive always|270|1.3K
9:15 PM - 9 Dec 2015|one pair underwear put inside every single time it's weird can't explain must haunted idk|274|1.4K
11:30 AM - 10 Dec 2015|@markiplier think you're coolest person|161|468
1:09 PM - 11 Dec 2015|Wow A year ago We've come long way fam Thanks sticking pic twitter com mIBwyV7cMS|355|1.4K
9:25 PM - 10 Dec 2015|GUYS IM AT A PARTY AND MY PSYCHO ROOMMATES BOYFRIEND IS WORKING THE PHOTOBOOTH hahahahhHAHAHAHAHSHDJFKS SAVE ME|406|1.9K
4:48 PM - 10 Dec 2015|single worst thing get whatever fuck want|490|1.6K
2:23 PM - 10 Dec 2015|Happy Camper pt 8 #middlemistcamellia https vine co v iZhX1jqtKh1|449|1.2K
12:33 AM - 9 Dec 2015|You'll never believe guy asked first date FINALLY ANOTHER STORY TIME Subscribe http youtu bmd9AHVaYHc|383|1.2K
8:14 PM - 11 Dec 2015|kid mom used check iron hot touching always thought really cool approach life|469|1.7K
2:58 PM - 11 Dec 2015|doesn't always rain LA it's one day year leave windows open 3|356|1.3K
2:34 PM - 11 Dec 2015|LOVED #FANMAILFRIDAY All packages letters amazing TYSM http youtu hYyZXSD-000|301|905
