6:39 AM - 30 Nov 2015|Hey give hug pic twitter com Hm2MH29G3E|56K|55K
10:58 AM - 7 Dec 2015|BofA shit|1|3
9:18 AM - 7 Dec 2015|I'm proud @ToriKelly nominated Grammy I feel like mom something #FromRocketeerDays #AllGrownUpNow|2|0
3:43 PM - 4 Dec 2015|babe https twitter com buterademetria status 672915113591074816|2|0
5:01 PM - 3 Dec 2015|When song comes car pic twitter com VjU7ipOvhP|1.4K|1.3K
12:46 PM - 2 Dec 2015|These acts terror NEED stop|4|2
7:30 PM - 2 Dec 2015|The chillest mf ever tv pic twitter com z3mDvUtOz5|279|573
8:03 PM - 2 Dec 2015|Like innocent lives lost omg Instagram|1|0
8:02 PM - 2 Dec 2015|It's horrible much I see timeline Instagram yet another shooting People disgust|1|1
9:30 AM - 1 Dec 2015|I really fuck http twitter com WORIDSTARHIPH0P status 671087234783707136 photo 1pic twitter com LYIjNDavJA|1.1K|1.8K
8:01 AM - 2 Dec 2015|Trying make joke doesn't offend anyone 2015 http twitter com WORLDSTARC0MEDY status 671849133267746816 photo 1pic twitter com GfSxviQv6z|1.2K|1.6K
10:17 PM - 30 Nov 2015|#Virgos want facts hate people rearrange truth|15|11
1:51 PM - 29 Nov 2015|Dec 16 paycheck gonna liiiiiiit im scared|1|6
