2:48 PM - 12 Dec 2015|Dresses aren't normally thing pic twitter com 6pvsyFAtsr|7|37
1:53 PM - 12 Dec 2015|I bunch irrelevant pictures phone|9|7
9:45 AM - 12 Dec 2015|severe addiction caffine it's making broke|14|23
5:26 PM - 11 Dec 2015|racist islamophobic homophobic gotta love people Skyview|6|18
7:47 PM - 10 Dec 2015|RIVER VS SKYVIEW TOMORROW @ SKYVIEW Girls @ 6 Boys @ 7 30 Be|19|16
10:15 PM - 10 Dec 2015|School needs end already smh|4|8
10:06 PM - 10 Dec 2015|I text back embarrassingly fast|46|58
5:55 PM - 10 Dec 2015|When whole squad link https vine co v iZzlqpVl71p|1.8K|2.4K
12:54 PM - 10 Dec 2015|I'm braces free pic twitter com TmygBY1juQ|14|30
9:26 PM - 9 Dec 2015|babyyy it's cold outside pic twitter com bmSIyUQFyh|14|49
9:24 AM - 10 Dec 2015|Couldn't stoked senior pictures pic twitter com xYxgy4EhOT|12|73
7:31 PM - 10 Dec 2015|Yo girl got senior pictures pic twitter com xuaocRRo6s|47|243
5:46 AM - 9 Dec 2015|God spent little extra time Kendall Jenner pic twitter com JVSTtfEvhB|7.4K|15K
3:46 PM - 8 Dec 2015|I really liked outfit today pic twitter com 80lXvHoZBM|15|69
5:31 PM - 8 Dec 2015|I'm single af|9|16
5:19 PM - 8 Dec 2015|Is Friday yet|16|21
2:16 PM - 7 Dec 2015|The U S strong nation stand together We weak allow racism xenophobia divide us cc @realDonaldTrump|13K|16K
5:47 PM - 8 Dec 2015|I randomly makeup time 2 I'll literally stare @ think hot I go day|2|5
3:22 PM - 8 Dec 2015|The thing black hair makes look ghostly I'm b w I think I'm cool pic twitter com JkOJ290WtA|7|16
5:10 AM - 8 Dec 2015|A hoe truly never gets cold Our savior lives pic twitter com VMeySkz3LK|3.8K|4.1K
2:39 AM - 8 Dec 2015|Looking back old pictures doesn't make sad makes super angry bc I loved someone much threw away easily|5|12
10:18 PM - 6 Dec 2015|Double trouble #SelfieSunday pic twitter com gMs5ohuBI5|25|128
11:44 PM - 7 Dec 2015|We love fucking stupid|7|20
12:28 PM - 7 Dec 2015|#onlyatfort SHE DOVE IN water RT pic twitter com qQNV3N6NFf|714|755
3:15 AM - 7 Dec 2015|Finals week told Grey Anatomy pic twitter com ilvtCGG6Dz|2.5K|2.1K
6:05 AM - 7 Dec 2015|Monday's suck|2|7
3:40 PM - 6 Dec 2015|I need get life together|7|8
3:54 PM - 6 Dec 2015|Why I get jealous easy|18|42
11:05 AM - 6 Dec 2015|we're good terms December 31st you're left 2015|8|24
9:23 AM - 29 Nov 2015|Justin performed Down To Earth hit iconic note BYE https vine co v eDgKnVQA7Hn|18K|37K
10:37 PM - 4 Dec 2015|iconic moment ever tv pic twitter com hy61hjh5yj|4.1K|10K
10:00 PM - 5 Dec 2015|I COULD WATCH THIS 16151748 TIMES AND NEVER GET TIRED OF IT pic twitter com Dci8v8Op8k|26K|41K
7:43 PM - 20 Nov 2015|Don't pic twitter com ZPUSGuiYRM|26K|27K
1:55 PM - 24 Nov 2015|ever miss person used got heart broken lost someone family fell apart|2.5K|3.2K
3:22 AM - 6 Dec 2015|think New Years resolution gonna squash beef I anyone|5|11
4:04 AM - 6 Dec 2015|I hate feelings|11|20
8:47 PM - 2 Dec 2015|case missed 2015 twitter pic twitter com 6YLpGXNZcV|34K|38K
2:58 PM - 5 Dec 2015|I think adding dj khaled snapchat best worst decision I've ever made|2|15
10:43 PM - 3 Dec 2015|Washington rain - anyone Washington pic twitter com SbQdnhbP5A|287|420
9:48 AM - 5 Dec 2015|ur parents take away electronics https vine co v eZMTlvu9uZv|6.6K|15K
8:22 AM - 5 Dec 2015|I remember last time I didn bags eyes|1.7K|2K
12:29 AM - 4 Dec 2015|presenting powerpoint front class pic twitter com 1jYOagNrS8|4.9K|4.7K
2:24 PM - 4 Dec 2015|there's hottie one classes pic twitter com PqkC2Se1w3|5.5K|12K
9:44 PM - 3 Dec 2015|point I strongly believe EVERYONE deserves happy|7|16
2:17 PM - 4 Dec 2015|Sitting math like pic twitter com j2sNODpVtn|3.1K|5.3K
8:17 AM - 3 Dec 2015|What time alive pic twitter com bM2NRf2fiZ|2.3K|3.6K
7:57 AM - 2 Dec 2015|Snow covered Washington pic twitter com eN7mCznPvN|2.7K|3.3K
8:03 PM - 3 Dec 2015|throwback pic twitter com E5Gn9j87Km|12K|24K
9:22 AM - 3 Dec 2015|Skyview feelin Christmas spirit they're playing music school|7|22
9:47 AM - 1 Dec 2015|If bring coffee without ask thats I love|1.3K|2.6K
10:59 PM - 3 Dec 2015|wish feelings would taken consideration|3|8
3:36 PM - 2 Dec 2015|wus good pic twitter com VooCHdxVRr|15|63
7:22 AM - 4 Dec 2015|How amazing would wake one day tired|1.4K|1.7K
4:48 PM - 3 Dec 2015|If subbed everyday I would never miss day #Gibby pic twitter com MHSopTGFhX|56|167
8:33 PM - 2 Dec 2015|This Pippin He terrified new little yellow giraffe 11 10 pic twitter com ZICNl6tIr5|3.9K|7.1K
11:33 AM - 3 Dec 2015|Bible homosexuality sin People HYFR Bible premarital sex bad People pic twitter com nLSwtBHEWa|1.4K|1.3K
7:25 AM - 3 Dec 2015|I love school security guards know name ask day|8|26
6:15 PM - 2 Dec 2015|Why Adele cross road To say hello side|5|22
9:51 AM - 1 Dec 2015|Why get snapchat filter pic twitter com EMzJNfj8CL|64|202
11:02 PM - 1 Dec 2015|Usher's old stuff timeless|2|7
10:08 PM - 1 Dec 2015|truth hurts|5|9
