11:39 AM - 12 Dec 2015|@Nasty_CSA @Bwoiluh_Profit Big|1|0
11:34 AM - 12 Dec 2015|@CappelloBfort @moflavadj coming @CappelloBfort soon yes indeed|4|4
11:15 AM - 12 Dec 2015|#ChoDlozi @Maggz100 #KeSummer @MaEzeeDoesIt #iMadlanaYogcina @KiDXSA #DingDong @MrCashTime #OneTimeRemix @SanMfusi #CT4L|4|2
6:31 AM - 12 Dec 2015|From Bottom Top YOU PERFECT - https www sunfrog com Perfect-Girl html 9823 pic twitter com DYNtg7NJtn|197|444
11:21 AM - 12 Dec 2015|How I feel almost EVERYtime pic twitter com 0Q1PphDFAW|20|21
10:54 AM - 12 Dec 2015|People don't appreciate cassper's work https twitter com unique_nations status 675749259967336448|1|1
11:55 AM - 11 Dec 2015|You stop laughing application Fart Jokes #nzflag https cards twitter com cards 18ce53v53xm 19yct|1|3
9:58 AM - 11 Dec 2015|Juice back @METROFMSA @Nasty_CSA|3|5
10:44 PM - 9 Dec 2015|@Shimza_dj ft @drmalinga #akulalwa song @PastortheDJ #songofyear|3|4
11:13 AM - 11 Dec 2015|introduction CEO #Muvhango|3|1
12:03 AM - 11 Dec 2015|RADIO TIME#Its #Bonang O'clock #ThefrontRow With #NOMVEEZUS @bonang_m @METROFMSA|3|4
11:35 PM - 10 Dec 2015|Yes RT @People_SA Guess official host #BETXAfrica fashion shows Yours truly @bonang_m YES pic twitter com 0p22rxEzsr|26|82
8:19 AM - 8 Dec 2015|Check Q A session @MaEzeeDoesIt today - http ow ly VCDP0 #AskMaE #SouthAfrica pic twitter com FdeU83H1u8|2|7
4:47 AM - 7 Dec 2015|Guys AKA best rap artist South Africa Yesterday's performance #PopBottlesFinale incredible|66|34
6:30 AM - 7 Dec 2015|Something heatwave #BlackMotion #BlackMotionFamily #Soshanguve1stSunday #1stSundayZiyawa pic twitter com dxlrob0SyY|5|9
11:46 PM - 6 Dec 2015|Trust I know First hand experience https twitter com khayadlanga status 673769553743233024|15|11
11:35 PM - 6 Dec 2015|@Shimza_dj u really inspiration listened yo interview @METROFMSA dankie shimza|3|4
10:40 PM - 6 Dec 2015|Just checking see #ZiseRightiGals Track link http ow ly Vh35I pic twitter com SbQBfXOoXm|33|28
11:10 PM - 6 Dec 2015|Tell us feel take number 1 spot What #SongOfTheWeek pic twitter com CwLOpIvxVW|24|14
5:08 PM - 21 Nov 2015|This possibly worst video Internet pic twitter com xZxVwH5O6o|694|473
9:06 AM - 6 Dec 2015|@Shimza_dj counting days nw cnt wit #akulalwa|2|1
10:11 AM - 6 Dec 2015|NP @DJXCLUSIVE ft @sarkodie @CassperNyovests - cash money Listen classicbeat radio http classicbeatradio radiostream321 com @djdeedon deck|5|7
5:49 PM - 4 Dec 2015|Fear Father's good pleasure give kingdom -Luke 12 32|350|749
