10:19 PM - 7 Dec 2015|Don't choose better person choose person makes better|681|487
7:45 AM - 12 Dec 2015|Neither women Kim Kardashian I several questions pic twitter com tgeb6A8DFE|3K|6.8K
7:59 AM - 12 Dec 2015|people poor money|285|266
9:16 AM - 12 Dec 2015|people needa understand im joking like 99 9 time|541|384
5:08 PM - 10 Dec 2015|I two moods pic twitter com bmx1hIVAOZ|434|634
7:32 PM - 11 Dec 2015|Dreams interesting cool things ever|117|194
8:50 PM - 11 Dec 2015|i'd rather 1297 https vine co v iaAzIh9V05P|342|517
9:02 PM - 8 Dec 2015|girls wear makeup false advertising first i'm product ur consumption second even u couldn't afford|1.4K|2.7K
8:45 PM - 9 Dec 2015|Sadly There people dislike dislike|63|109
2:59 PM - 29 Nov 2015|Comparing Donald Trump really insulting|5.9K|5.5K
9:08 PM - 28 Nov 2015|I fell love personality looks bonus|3.5K|3.8K
5:51 PM - 11 Dec 2015|sometimes I feel good look friends I'm like oh wait I garbage|10|10
8:17 PM - 27 Nov 2015|WTF IS THIS https vine co v izuI0TOWZJA|1.9K|2.6K
11:53 AM - 11 Dec 2015|I've always risk taker I'd never give love|394|614
11:55 AM - 11 Dec 2015|PEOPLE WHO MAKE YOU FEEL BETTER ABOUT YOURSELF WHEN YOU'RE SAD ARE SO IMPORTANT|159|226
7:41 AM - 11 Dec 2015|The bus DJ Khaled's kids take school pic twitter com EAoqtmUsHY|6K|7.9K
7:23 AM - 11 Dec 2015|Kanye attitude Drake feelings|390|266
12:00 PM - 10 Dec 2015|My deepest regret going Dunkin today|1|1
2:46 PM - 9 Dec 2015|PLEASE HELP YA GIRL OUT pic twitter com 1ipodtZYf9|150K|24K
3:08 PM - 9 Dec 2015|My 9 year old cousin got new phone girlfriend I think it's getting serious pic twitter com BVWvp0dwbZ|5|9
7:15 PM - 9 Dec 2015|Money great thing I don't|5|12
7:00 AM - 10 Dec 2015|looks good pic twitter com yUW69VKNwL|143|280
