2:25 PM - 12 Dec 2015|Saturday feeling #WTF @kaelynnharris @MissyElliott @Pharrell pic twitter com ZEeQXuoBjI|27|52
10:38 AM - 28 Nov 2015|LIKE IF YOU LOVE THE NEW CHRISTMAS CHANNEL ART pic twitter com Sh7I5JPedw|376|1.6K
3:44 PM - 12 Dec 2015|I SAID WHO WANTS ANOTHER VIDEO|73|228
3:45 PM - 12 Dec 2015|HUGE LEAK DROPPING|72|216
3:49 PM - 12 Dec 2015|1 LIKE READY|67|322
4:10 PM - 12 Dec 2015|RETWEET TWEET OUT THE VIDEO GTA 5 DLC UPDATE GAMEPLAY - NEW WEAPONS REVOLVER https youtu NpGvTn_yWpE WHOEVER DOES IT THE MOST WINS|426|337
4:07 PM - 12 Dec 2015|CAN I MAKE THIS A LITTLE MORE FUN|170|339
4:05 PM - 12 Dec 2015|WHO WAS FIRST LOL|152|309
4:00 PM - 12 Dec 2015|GTA 5 DLC UPDATE GAMEPLAY - NEW WEAPONS REVOLVER AK74U MORE GTA 5 http youtu NpGvTn_yWpE|163|232
3:58 PM - 12 Dec 2015|RETWEET TO WIN PSN OR XBOX CODE GTA 5 DLC UPDATE GAMEPLAY - NEW WEAPONS REVOLVER AK74U GTA 5 https youtu NpGvTn_yWpE #GTAOnline|544|289
4:06 PM - 12 Dec 2015|WANT ME TO JUST PICK RANDOM ON TWITTER|225|376
3:51 PM - 12 Dec 2015|FINE YOU WANT A PSN XBOX CODE|180|358
3:53 PM - 12 Dec 2015|OK HOES PSN OR XBOX CODE TO WHOEVER RETWEETS THIS TWEET FOLLOWERS ONLY NEW VIDEO IN 5 MINUTES HUGE MUST BE FIRST|554|348
