2:26 PM - 12 Dec 2015|Everyone vote @louisa win xfactor #XFactorFinal #LouisaToWin|156|120
11:21 PM - 5 Dec 2015|Red diamonds worth 1 million per carat More world's expensive gemstones http onforb es 1OAyK3N pic twitter com 1hFyWUxPog|364|448
4:01 AM - 28 Nov 2015|@AntonStephans @ThisIs7sn You still look amazing honey|1|0
3:30 AM - 28 Nov 2015|Swimmin pussy https vine co v O9VLnPaiBiI|99|129
11:00 AM - 25 Nov 2015|I loved @onedirection's #AMAs performance #Directioners agree http bit ly 1MLXh38 #AMAs1D pic twitter com fuJKKWRydd|967|1.6K
8:30 AM - 23 Nov 2015|Our #MCM #AMAs1D pic twitter com N9vT8gnvY0|2.9K|3.2K
4:30 AM - 22 Nov 2015|Who still can't stop watching guys performance @TheXFactor last weekend Watch https www youtube com watch v EOeEHNy40Y0|26K|41K
2:29 AM - 22 Nov 2015|@Hassan_Omer91 True|1|1
11:57 AM - 21 Nov 2015|Back Stage @edsheeran Such cool simple guy @TheXFactor Starts 3mins pic twitter com DmB0BQuqX6|310|707
9:36 AM - 21 Nov 2015|Tap Uptown Funk vote @BrunoMars @MarkRonson #AMAs Collab Year Un-leashed @TMobile http bit ly COLLABUptownFunk|86|114
9:34 AM - 21 Nov 2015|Tap See You Again vote @wizkhalifa @charlieputh #AMAs Collab Year Un-leashed @TMobile http bit ly COLLABSeeYou|58|103
9:32 AM - 21 Nov 2015|Tap FourFiveSeconds vote @rihanna @kanyewest @PaulMcCartney #AMAs Collab Year Un-leashed @TMobile http bit ly COLLAB45Second|316|296
9:43 AM - 18 Nov 2015|Tris loves lost I love @loosewomen James https twitter com hassan_omer91 status 667034203821842433|637|1.4K
9:16 AM - 18 Nov 2015|Never ever hooked fan pic twitter com PKBtwj0o8J|552|767
9:18 AM - 18 Nov 2015|never ever made someone double age Harry even game starts laughing pic twitter com 1wWn5jMIsG|443|651
6:29 AM - 18 Nov 2015|#MTVStars One Direction|290|39
7:10 PM - 15 Nov 2015|Hello pic twitter com ta5B56j170|19K|37K
5:49 AM - 16 Nov 2015|Help guys win #BestInternationalAct Australian @ARIA_Official Awards VOTE HERE http smarturl 1DARIA|24K|32K
12:19 PM - 15 Nov 2015|Praying world Thinking families friends lost loved ones week https instagram com p -Hl5LSw0cw|2.2K|4.2K
