11:07 PM - 12 Dec 2015|Why selena lying tho says 'I've always loved Niall he's amazing' always wanted Zayn|1|1
9:56 PM - 29 Nov 2015|justin kendall gigi zayn hang together squad would LIT|40|22
1:31 AM - 6 Dec 2015|Niall likes Selena Selena would gladly date Zayn Zayn dating Gigi Gigi wants go double date Selena Justin WTF lmao|54|52
10:00 AM - 6 Dec 2015|Zayn Selena last night pic twitter com CO7NnhWPD0|9|13
7:24 AM - 7 Dec 2015|This Zayn Selena pic twitter com tnmYJKKHuf|79|89
7:03 PM - 8 Dec 2015|I always thought zayn Selena's type since left settle first part bread black people skip|8|24
1:30 PM - 12 Dec 2015|it's year since legendary note change https vine co v O6lJn5j0WwM|224|236
1:50 PM - 12 Dec 2015|#Update Zayn nominated @BritishGQ's Best Dressed Man poll make sure vote http demographix com surveys QM2V-44C7 8ZZFF9K2 #v724477|288|271
2:38 PM - 12 Dec 2015|zayn whenever call cute adorable pic twitter com SKt4NLc2dF|97|91
9:45 PM - 12 Dec 2015|Me zarrie means I stan Zayn Harry I never thought secret relationship zarry real tweets always jokes|34|32
2:15 PM - 12 Dec 2015|zayn gigi appreciation tweet pic twitter com GeFKdgjCvW|8|10
1:25 PM - 12 Dec 2015|Just sliding say I CAN'T BELIEVE PEOPLE WERE STUPID ENOUGH TO BUY THE CHEATER HEADLINES GOOD JOB WORLD https twitter com Iouisperries status 675009664447340544|2|1
5:07 PM - 9 Dec 2015|Really diggin' Master None Nicely done @ericwareheim @azizansari - I laugh|757|2.9K
9:02 AM - 12 Dec 2015|Planning start watching THE LEFTOVERS weekend I'm blaming doesn't turn well Twitter feed|2|19
9:30 AM - 12 Dec 2015|How love zayn He's literally perfection finest #MTVStars One Direction pic twitter com zonuducrgW|2.9K|1.4K
11:15 AM - 12 Dec 2015|Zayn's birthday one month away please donate The British Asian Trust show appreciation https www justgiving com zayn23|268|256
11:11 AM - 12 Dec 2015|#Update We're month away Zayn's birthday make sure donate birthday drive https www justgiving com zayn23|647|578
11:27 AM - 12 Dec 2015|Zayn ambassador British Asian Trust The money donated honor 23rd birthday|627|560
3:11 AM - 12 Dec 2015|zayn lauren pic twitter com mgAP0W9CXR|21|20
4:10 PM - 2 Dec 2015|This zayn lauren pic twitter com lfoafeXed2|10|6
8:20 PM - 10 Dec 2015|lauren lana zayn weeknd zauren real pic twitter com lL7Z0cpNa3|4|12
8:28 PM - 11 Dec 2015|lauren jauregui zayn malik need take another picture together see glo pic twitter com Y2kbzkCpB7|30|34
8:30 AM - 12 Dec 2015|#Update Make sure nominate Zayn @sugarscape's hottest male human 2015 http bit ly 1jUXTuW pic twitter com dbDie8i4d4|209|161
10:13 AM - 12 Dec 2015|omg know mum told zayn girlfriend gigi|2|1
12:48 AM - 11 Dec 2015|RT IF THAT SHOULD BE YOU HOLDING ZAYN HAND pic twitter com sq03GkrxqU|30|88
10:16 AM - 22 Nov 2015|@zaynmalik hi really like monkey follow please I love pic twitter com WGqydVxonq|161|35
8:13 AM - 12 Dec 2015|@christmasmellet Zayn Zayn pronounced ZANE seventh letter many Semi http zayn urbanup com 2753177 pic twitter com b6qegKSogc|4|4
3:43 AM - 12 Dec 2015|Zayn's voice soothing pic twitter com OSklYOZHOE|146|117
12:21 PM - 11 Dec 2015|Let's NOT compare Kendall Gigi 90's supermodels http thefashionlaw com home are-the-social-media-girls-really-the-industrys-it-girls pic twitter com dTg5OHRQtK|279|356
4:30 AM - 12 Dec 2015|Zayn Malik's new hair looks Niall Horan meets Luke Hemmings http mtvne ws SqMOA5 pic twitter com cjpBRz5PHe|1.5K|1.4K
8:59 AM - 29 Nov 2015|Movies helped shape bad bitch I today pic twitter com jPN6PPsMPb|961|1.3K
2:55 AM - 12 Dec 2015|I'm gonna tweet funny Tumblr posts gain votes #MTVStars One Direction pic twitter com WKdR5VtStP|135|42
11:24 AM - 11 Dec 2015|god nO pic twitter com O6DzL9WalW|50|43
4:56 PM - 11 Dec 2015|Former #OneDirection heartthrob Zayn Malik shocking new look http vntyfr com PRLOdQW|631|528
7:03 PM - 11 Dec 2015|Iconic https vine co v OJLVgrjD00g|62|70
5:17 AM - 12 Dec 2015|Zayn Malik Voted Most Eligible Used To Fight Trump Islamophobia http inq cm tdgr70A pic twitter com FlQWMlyokr|14|16
6:56 AM - 10 Dec 2015|zayn london pic twitter com jMFXyYaHnp|21|13
2:03 AM - 10 Dec 2015|Is Zayn UK Or 2am LA https twitter com zaynmalik status 674890862535553024|1|0
3:21 AM - 12 Dec 2015|HEADBAND ZAYN pic twitter com 3E2E6JuIMK|174|137
5:35 AM - 18 Nov 2015|Zayn Malik Fader Magazine pic twitter com V6Ae2TH6Py|3.1K|2.9K
3:12 AM - 12 Dec 2015|Harry Styles Zayn Malik Ed Sheeran eligible bachelors didn't already know http bit ly 1Rg9weC pic twitter com t3U6BNq9sk|292|457
4:06 AM - 12 Dec 2015|Don't chase people Be thing work hard The right people belong life come stay|564|480
2:53 AM - 12 Dec 2015|How zayn's face pic twitter com 6FZpZKLIJx|133|205
10:14 AM - 11 Dec 2015|FUCKING BYE pic twitter com Hd440jtO5b|125|136
12:20 AM - 12 Dec 2015|When zayn finally release music pic twitter com 3kkz2SZOf3|298|269
12:30 PM - 27 Nov 2015|Zayn Malik Is Now A Gorgeous Silver Fox via @thefrisky http tmz TgQPf4S|26|69
9:31 PM - 29 Nov 2015|zayn like ken doll I mean he's papi somebody gorgeous someone explain|4|3
1:03 PM - 24 Nov 2015|Dear Zayn Malik You gorgeous Love The World pic twitter com yY23rvYY5k|589|513
4:14 AM - 10 Dec 2015|LOOKING AT ZAYN'S NEW SELFIE HAS GOT ME LIKE He's gorgeous gorgeous man #MTVStars One Direction pic twitter com EGfIwjbDpP|7|1
10:52 AM - 30 Nov 2015|If Zayn Gigi really dating I'm going cry another hot couple remind much failure love life|1|6
8:33 PM - 11 Dec 2015|But Selena Zayn pic twitter com CYZaf7Z6Ye|2|2
2:55 PM - 30 Nov 2015|much zayn gigi drama like talk hot zayn pics tho pic twitter com jyYasEw5gz|1|1
4:27 PM - 30 Nov 2015|living zayn gigi right they're hot|2|3
4:11 PM - 30 Nov 2015|Zayn Malik hot gives heart pain|4|4
5:04 PM - 30 Nov 2015|Zayn pretty fuck Zayn hot fuck I dead fuck pic twitter com ooJA2txNwV|227|168
6:33 PM - 30 Nov 2015|Zayn type hot makes fall chair|2|13
4:25 PM - 1 Dec 2015|zayn malik comes tv grandma- damn hes hot|10|11
5:28 PM - 1 Dec 2015|zayn fucking hot someone hOLD ME BACK|1|4
5:27 PM - 1 Dec 2015|Schneebs texts lmk thinks Zayn hot That's real man right #3pointers|2|6
8:29 AM - 6 Dec 2015|Zayn type back don't even need see face know he's hot tell back pic twitter com XZk4I01zpj|5|4
2:25 PM - 6 Dec 2015|zayn knows hes hot|4|5
3:04 PM - 6 Dec 2015|Zayn's hot people wanna post every page|9|8
