10:04 PM - 7 Dec 2015|If it's true don't know I anymore maybe tread lightly Damn mr white staring fate muthafucking throat|4|46
3:01 PM - 9 Dec 2015|I always think heartbroken Jen things ended weirdo Brad Pitt fate dreamboat Justin Theroux waiting|1|5
1:13 AM - 6 Dec 2015|Maybe like scientist doctor probably https twitter com time status 673419127193735168|37K|48K
12:37 PM - 7 Dec 2015|Doc uses hair tie whiskey help save man flight http nbc10 com pmVfAEG|7|9
9:13 AM - 7 Dec 2015|Don't know dude looks like Councilman Jeremy Jamm badass You depend upon japes pic twitter com LSBs5Ipo6n|433|1.8K
10:00 AM - 3 Dec 2015|A menagerie emotional-support animals takes tour New York City new @tnyshouts video Watch http nyer cm 2CMkQx3|28|37
9:25 PM - 30 Nov 2015|Mr white let Jesse girl damn need|3|13
10:50 PM - 30 Nov 2015|All I wait cancer come back oooo Skyler whore Babylon that's cold blooded|4|47
3:58 PM - 30 Nov 2015|When Humans New York post starts 1 3 know whole day get fucked|4|15
9:32 AM - 28 Nov 2015|Me wife pic twitter com 2ADXPhlc8A|8.3K|12K
2:32 PM - 27 Nov 2015|@christinaaa_d woof pic twitter com SVtKcNQHeh|1|0
4:58 PM - 22 Nov 2015|It's nearly Christmas it's time bring back legendary video pic twitter com kbyeEWWq3f|9.6K|13K
2:41 PM - 20 Nov 2015|When it's finally weekend pic twitter com g2Mdfb55hV|2|5
8:01 PM - 16 Nov 2015|Life doesn't change based prayer Life changes based action I'm srry insane rare knowledge I dropped blows mind|1|0
6:00 PM - 16 Nov 2015|give puppies https amp twimg com v dc5db2d4-6855-4b29-9726-30c15279a18f|8.7K|12K
11:59 AM - 15 Nov 2015|Zebras custody They already sporting old-timey prisoner getup ahead trial sentencing Have faith fellas|1.5K|1.3K
11:47 AM - 15 Nov 2015|ZEBRA CHASE pic twitter com NmidSuIrZS|127|75
