8:15 AM - 12 Dec 2015|I LIKE IT WHEN YOU SLEEP FOR YOU ARE SO BEAUTIFUL YET SO UNAWARE OF IT pic twitter com UwxbJmPL9R|699|1.5K
12:58 PM - 9 Dec 2015|I'd give cuddles rn|246|563
1:35 PM - 8 Dec 2015|Me coming #TrumpIsDisqualifiedParty vs finding isn't officially disqualified pic twitter com qzzgRk6dsw|3K|3.5K
1:09 PM - 7 Dec 2015|call pretty boy kiss neck|7|18
9:04 AM - 7 Dec 2015|MY BRAND NEW CHRISTMAS SONG CHRISTMAS SPIRITS https www youtube com watch v 6kN_uJSy4IQ|170|189
10:29 AM - 5 Dec 2015|#behind-the-mise @BelvedereMedia @felixmufti @laujones69 @ajmcdonald_ pic twitter com 79wOHaQMmr|2|4
9:30 PM - 2 Dec 2015|Reid's getting ready 4his next #CriminalMinds case Until check dreamy pics http bit ly 1VqWeip pic twitter com UDlkPhGXRK|180|510
2:24 PM - 2 Dec 2015|know tories fucked head even farage saying bomb https twitter com ukip status 670176330118492160|669|504
2:46 PM - 2 Dec 2015|@David_Cameron fuck|81|114
2:37 PM - 2 Dec 2015|I'd quite like live UK anymore|693|1.9K
12:34 AM - 2 Dec 2015|man says hey lets bomb syria n kill innocent ppl fuck fuckging hell wtf must terrioritst smh #terroristsympathiser fucin terroris|3|2
3:03 PM - 1 Dec 2015|whats Ya'll pic twitter com sqmvZa4ANr|249|1.1K
5:43 PM - 29 Nov 2015|Still waiting Sam Pepper's next room tour video pic twitter com FAZDKfY8JZ|12K|18K
7:03 AM - 1 Dec 2015|@felixmufti @lily_daviesx lest forget pic twitter com lBg2g1lDlV|3|4
3:46 AM - 30 Nov 2015|U G H L O V E pic twitter com GbtaexjzjM|6.3K|12K
11:11 AM - 30 Nov 2015|We could changed world together pic twitter com CoHcCO0vIH|391|1.4K
10:30 PM - 28 Nov 2015|See much hatred slips ya mouth lips ain't stop https twitter com _charlliii status 670786430684241920|3.4K|4K
9:05 AM - 28 Nov 2015|V O T E F O R T H E 1 9 7 5 @NME L O V E http po st 46vuHx pic twitter com j7kFm3KgP0|927|2.9K
3:42 AM - 28 Nov 2015|new blog post went small rant people unedited raw excuse spelling grammar shit http opinionsandanecdotes wordpress com|1|4
2:57 AM - 28 Nov 2015|HOLY SHIT MY FAVOURITE CUPCAKE IS VERIFIED @doddleoddle CONGRATS I LAV U|1|5
2:37 PM - 27 Nov 2015|@felixmufti @MusicBelvedere OH MY GOD CHRISTMAS|1|2
2:35 PM - 26 Nov 2015|He bumped Simon got say Carly I love pic twitter com HITO8F5xZR|3K|4.6K
5:47 PM - 23 Nov 2015|i'm excited guys hear play Simon Alvin Chipmunks 4 @20thcenturyfox @AlvinMovies pic twitter com 54p8K9f6yP|3.4K|12K
12:29 PM - 21 Nov 2015|'panic disco impression' pic twitter com QJONtHVrEk|4|4
12:28 PM - 21 Nov 2015|'arctic monkeys impression' pic twitter com acJkcOpNvf|4|5
7:33 AM - 19 Nov 2015|#InternationalMensDay boys sexually assaulted way girl except boys sexual assault usually unnoticed|7|8
9:17 AM - 19 Nov 2015|victim sexual assault #InternationalMensDay makes feel like I voice I'm worth something|160|364
10:36 AM - 19 Nov 2015|Men fighting depression suicidal thoughts self-harm body image eating disorders silenced hypermasculinity #InternationalMensDay|1.9K|1.6K
11:25 AM - 19 Nov 2015|@felixmufti Today ALL men|1|3
11:19 AM - 19 Nov 2015|Happy #InternationalMensDay trans men overlooked marginalized every aspect society|275|280
1:59 PM - 16 Nov 2015|@amillionhooks i'm actually busier I've year workload isn't equating stress levels|3|20
2:17 PM - 16 Nov 2015|horrible mean ugly pic twitter com 9su9cVXG19|132|1K
8:30 AM - 16 Nov 2015|Knock knock #AHSHotel pic twitter com uHnpHVmntN|906|1.6K
3:38 PM - 15 Nov 2015|paris love pic twitter com Dd4dP8q2wo|4.7K|13K
5:33 PM - 15 Nov 2015|The 1975 The Guardian pic twitter com vQkmB1dpzx|1K|2K
