8:53 AM - 8 Dec 2015|Me I buy Brain Wallet Parents Cat Universe Me sold|610|683
12:01 PM - 11 Dec 2015|TOO DAMN CUTE pic twitter com cyp4mrRLDk|1.1K|2K
8:00 PM - 10 Dec 2015|GOD DAMN JUSTIN BIEBER http vine co v eID7VdbjI7m|2.7K|4.3K
2:53 PM - 12 Dec 2015|Chris Brown Royalty pic twitter com Es0edAmFuZ|487|211
2:32 PM - 9 Dec 2015|This color pic twitter com wOUxOLhcLf|2.9K|1.4K
2:53 PM - 10 Dec 2015|Louboutin lipsticks pic twitter com tjWa6zsdYG|1K|537
5:06 PM - 9 Dec 2015|Gonna show #wcw @samisabellee pic twitter com zmBfTQpWuw|2|9
3:42 PM - 11 Dec 2015|I want time|63|50
4:02 PM - 11 Dec 2015|I need go tonight|4|6
12:50 PM - 12 Dec 2015|When u need somebody ain't nobody ya|4|1
12:53 PM - 12 Dec 2015|everyone deserves chance waste time|12|4
7:06 AM - 12 Dec 2015|When squad beat y'all high score Holiday Balls pic twitter com VCeHh0XeJn|753|753
7:06 AM - 12 Dec 2015|I need one bad omg pic twitter com cpvEvJUlex|897|859
1:40 PM - 10 Dec 2015|When see ex public pic twitter com FrB5P24l7q|1.7K|2.6K
7:37 AM - 12 Dec 2015|moods like pic twitter com PzTTL7zwpn|44|101
3:44 PM - 30 Nov 2015|Why I still want|2.1K|2.9K
3:39 PM - 10 Dec 2015|If ur girl ever asks U better lyin cuz 100 already knows lives color room painted|1.8K|1.9K
9:39 PM - 11 Dec 2015|Crazy I started 2015 I'm ending|43|22
3:00 PM - 12 Dec 2015|arguing w jealous Latina like pic twitter com GDGXiralbG|197|116
12:10 PM - 10 Dec 2015|Destruction every corner pic twitter com pwpqozOOij|418|676
2:18 PM - 10 Dec 2015|Adventure time pic twitter com hO0TYmjXtb|768|904
3:20 PM - 10 Dec 2015|Seize pic twitter com XnBcjdE7Lk|640|646
10:18 PM - 10 Dec 2015|Who agrees pic twitter com skkclvlbAG|278|505
12:10 PM - 12 Dec 2015|When it's choice broken happy always choose happy|452|466
2:34 PM - 12 Dec 2015|I think attractive guys know dress|7|2
