3:08 AM - 13 Dec 2015|Loving Peter Lilley keeping pine cone ashtray #bbcsp pic twitter com rsfGuI6IAG|7|11
12:34 AM - 13 Dec 2015|And I've got best pundits business alongside morning - @jennirsl @paulwaugh|1|1
12:25 AM - 13 Dec 2015|This morning Pienaar's Politics 10am @bbc5live I'll joined @DavidMundellDCT @vincecable @PeterBoneMP|5|2
2:34 PM - 12 Dec 2015|Call switch Now 10 30 Saturday night Every Saturday night The inhumanity|5|8
12:40 PM - 12 Dec 2015|@paulwaugh @lukerigg bride #EdithMeadowcroft local celeb http www itnsource com es shotlist RTV 1955 01 06 BGX501210146 v 0|1|1
11:20 AM - 12 Dec 2015|Close though https twitter com jbarro status 675506384893575169|66|73
10:53 AM - 12 Dec 2015|2pm Thurs 16 June - England V Wales - Govnt Heathrow Gatwick decision #EURO2016|6|0
10:54 AM - 12 Dec 2015|We must We We #COP21 #ParisAgreement pic twitter com qGm7nF5yv1|1.3K|1K
10:26 AM - 12 Dec 2015|The big gavel moment - Paris Agreement adopted without objection|29|25
10:17 AM - 12 Dec 2015|#COP21 @LaurentFabius proposing start moving towards plenary adoption Paris deal Details http www carbonbrief org analysis-the-final-paris-climate-deal|8|1
9:36 AM - 12 Dec 2015|@polleetickle @paulwaugh @Pam_nAshes Inwould say 14 years I lied non-MPs MPs|3|1
5:01 AM - 12 Dec 2015|#COP21 final text Facilitative non-intrusive non-punitive transparency framework pic twitter com 1RF0pPgbZy|25|6
3:15 AM - 12 Dec 2015|Busy Pienaar's Politics tomorrow featuring @DavidMundellDCT @vincecable @PeterBoneMP @LouHaigh @rickedwards1 @jennirsl @paulwaugh|8|5
3:07 AM - 12 Dec 2015|Agree And teams around @James_BG @edking_CH - luckily spoilt climate expertise big day https twitter com paulwaugh status 675630785953726464|3|0
3:14 PM - 11 Dec 2015|Great see Reeves Mortimer musical number #GrahamNorton show|5|6
2:55 PM - 11 Dec 2015|@paulwaugh @marcusaroberts @LordAshcroft @StanGreenberg I might support Hillary|3|2
7:02 AM - 11 Dec 2015|If MP place today Royal Mail sorting office https twitter com GraemeDemianyk timelines 675270711037022208|12|6
9:01 AM - 11 Dec 2015|These brilliant recollections @TheoBertram made laugh reminded many misspent Saturday evenings https twitter com paulwaugh timelines 675292500911890432|28|27
8:21 AM - 11 Dec 2015|Look Edward @Snowden's cooking @BRITDOC http huff 1J04w5L pic twitter com sGTnfDBQJW|3|2
8:11 AM - 11 Dec 2015|Super-helpful @some_yeo The five issues look final Paris text http bit ly 1Q7s296|3|0
7:16 AM - 11 Dec 2015|Tory plans council housing damage communities like one I grew http www mirror co uk news uk-news tory-council-house-plans-destroy-6994710 pic twitter com Ei52GpG3xh|57|51
5:33 AM - 11 Dec 2015|Of 28 journalists arrested charged suspicion hacking since 2011 eight convicted http ow ly VLaWC full table|6|2
3:49 AM - 11 Dec 2015|Just spotted Tony Blair posing selfies Houses Parliament evidence session phone calls Col Gaddafi|26|17
3:10 AM - 11 Dec 2015|Blair's Air Quotes pic twitter com bWUXuehga2|7|7
3:09 AM - 11 Dec 2015|Blair I wasn't trying 'Save Gaddafi' complete air quotes|3|3
2:32 AM - 11 Dec 2015|Trump story machine https twitter com nityagrajan status 675260795878563840|2|0
1:10 AM - 11 Dec 2015|Farage Tyson Fury SPOTY ban Get Ladbrookes get money Tyson Fury going win @LBC|7|2
1:06 PM - 10 Dec 2015|@paulwaugh @HuffPostUKPol @owenjbennett @GraemeDemianyk I'll drink|2|4
11:26 AM - 10 Dec 2015|Exclusive David Cameron admits defeat 4 year migrant benefit plan Poland rejection http app ft com cms 2f253ee8-9f6c-11e5-8613-08e211ea5317 html pic twitter com DM9TVbYJxs|92|42
4:15 AM - 10 Dec 2015|Britain 2015 https twitter com metpoliceuk status 674885139638300673|6|0
1:33 AM - 10 Dec 2015|Convince people you're Donald Trump simply sticking pile dead leaves head pic twitter com gBdL6E7OQp|503|715
1:27 AM - 10 Dec 2015|I might set splinter group called Labour Pains people labour vote Labour|66|110
12:45 AM - 10 Dec 2015|EXCL RAF wiped 396 IS fighters year @RoyalAirForce #ISIS|15|6
7:23 AM - 9 Dec 2015|Netanyahu receive Trump despite racist comments http huff 1YYAVmt pic twitter com QKsmVV5JSH|10|6
7:12 AM - 9 Dec 2015|looking forward bilat President Trump Prime Minister Johnson https twitter com paulwaugh status 674606649173254144|6|3
4:37 AM - 9 Dec 2015|Alistair Carmichael seek legal costs 150 000 failed attempt oust MP http huff 1Nbes0h pic twitter com FXVm7PFlXy|17|6
3:31 AM - 9 Dec 2015|Lib Dem MP Alistair #Carmichael accuses Scottish nationalists bringing politically motivated case http www huffingtonpost co uk 2015 12 09 alistair-carmichael-court-memo-verdict-cleared_n_8757042 html 1449659633|16|4
1:09 AM - 9 Dec 2015|Tim Montogomerie Donal Trump could learn evangelical Christian Tory http www thetimes co uk redbox topic in-other-news tory-minister-wants-more-to-pray|3|1
2:56 PM - 8 Dec 2015|BBC Threatens To Suspend TV Reporter For Tyson Fury Facebook Comments http www buzzfeed com patrickstrudwick bbc-threatens-to-suspend-tv-reporter-for-tyson-fury-facebook utm_term td7rMNlkJ via @PatrickStrud @buzzfeed|29|13
2:49 PM - 8 Dec 2015|Clinton trumps Trump https www hillaryclinton com feed no-donald-trump-were-not-barring-muslims-entering-country|59|56
10:49 AM - 8 Dec 2015|In @OnnMel's 15 15 love karaoke Kings Leon 'opposition hero' @heidiallen75 http www huffingtonpost co uk 2015 12 08 melanie-onn-tories-trade-unions_n_8750520 html pic twitter com ZA3FJTF912|4|2
6:54 AM - 8 Dec 2015|@paulwaugh @StrongerIn It's bad go Europe Arsenal hopefully won't prove tomorrow night|1|3
5:02 AM - 8 Dec 2015|Caroline Lucas acceptable face Stop War says light recent StWC positions resigned http order-order com 2015 12 08 caroline-lucas-quits-stop-the-war|30|7
4:43 AM - 8 Dec 2015|Nadine Dorries calling Cameron arrogant posh boy I wouldn't make comments today Adds I'm including George Osborne #bbcdp|7|4
